"ple0055","year","bildungsniveau","migback","n","percent","lower_confidence_percent","upper_confidence_percent"
"0","1984","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"0","1984","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"0","1984","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"0","1984","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"0","1984","Hauptschule","kein Migrationshintergrund","1","","",""
"0","1984","Hauptschule","direkter Migrationshintergrund","","","",""
"0","1984","Hauptschule","indirekter Migrationshintergrund","","","",""
"0","1984","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"0","1984","Realschule","kein Migrationshintergrund","","","",""
"0","1984","Realschule","direkter Migrationshintergrund","","","",""
"0","1984","Realschule","indirekter Migrationshintergrund","","","",""
"0","1984","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"0","1984","(Fach-)Abitur","kein Migrationshintergrund","1","","",""
"0","1984","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"0","1984","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"0","1984","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"0","1984","AkademikerIn","kein Migrationshintergrund","","","",""
"0","1984","AkademikerIn","direkter Migrationshintergrund","","","",""
"0","1984","AkademikerIn","indirekter Migrationshintergrund","","","",""
"0","1984","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"1","1984","(noch) kein Abschluss","kein Migrationshintergrund","11","","",""
"1","1984","(noch) kein Abschluss","direkter Migrationshintergrund","112","0.852727399460743","0.79272594492318","0.912728853998306"
"1","1984","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"1","1984","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"1","1984","Hauptschule","kein Migrationshintergrund","486","0.80252532208796","0.770777444209369","0.834273199966551"
"1","1984","Hauptschule","direkter Migrationshintergrund","170","0.879391012003716","0.833913591235148","0.924868432772284"
"1","1984","Hauptschule","indirekter Migrationshintergrund","2","","",""
"1","1984","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"1","1984","Realschule","kein Migrationshintergrund","145","0.843472524652877","0.789012128481936","0.897932920823818"
"1","1984","Realschule","direkter Migrationshintergrund","7","","",""
"1","1984","Realschule","indirekter Migrationshintergrund","3","","",""
"1","1984","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"1","1984","(Fach-)Abitur","kein Migrationshintergrund","32","0.771195851826331","0.642616730960568","0.899774972692093"
"1","1984","(Fach-)Abitur","direkter Migrationshintergrund","32","0.862015139482657","0.747756977108422","0.976273301856892"
"1","1984","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"1","1984","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"1","1984","AkademikerIn","kein Migrationshintergrund","44","0.769716182989687","0.658449852687484","0.880982513291891"
"1","1984","AkademikerIn","direkter Migrationshintergrund","3","","",""
"1","1984","AkademikerIn","indirekter Migrationshintergrund","","","",""
"1","1984","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"2","1984","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"2","1984","(noch) kein Abschluss","direkter Migrationshintergrund","16","","",""
"2","1984","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"2","1984","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"2","1984","Hauptschule","kein Migrationshintergrund","74","0.124190238232429","0.0978888760012238","0.150491600463634"
"2","1984","Hauptschule","direkter Migrationshintergrund","16","","",""
"2","1984","Hauptschule","indirekter Migrationshintergrund","1","","",""
"2","1984","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"2","1984","Realschule","kein Migrationshintergrund","17","","",""
"2","1984","Realschule","direkter Migrationshintergrund","1","","",""
"2","1984","Realschule","indirekter Migrationshintergrund","","","",""
"2","1984","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"2","1984","(Fach-)Abitur","kein Migrationshintergrund","4","","",""
"2","1984","(Fach-)Abitur","direkter Migrationshintergrund","3","","",""
"2","1984","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"2","1984","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"2","1984","AkademikerIn","kein Migrationshintergrund","9","","",""
"2","1984","AkademikerIn","direkter Migrationshintergrund","","","",""
"2","1984","AkademikerIn","indirekter Migrationshintergrund","","","",""
"2","1984","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"3","1984","(noch) kein Abschluss","kein Migrationshintergrund","1","","",""
"3","1984","(noch) kein Abschluss","direkter Migrationshintergrund","3","","",""
"3","1984","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"3","1984","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"3","1984","Hauptschule","kein Migrationshintergrund","22","","",""
"3","1984","Hauptschule","direkter Migrationshintergrund","7","","",""
"3","1984","Hauptschule","indirekter Migrationshintergrund","","","",""
"3","1984","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"3","1984","Realschule","kein Migrationshintergrund","4","","",""
"3","1984","Realschule","direkter Migrationshintergrund","1","","",""
"3","1984","Realschule","indirekter Migrationshintergrund","","","",""
"3","1984","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"3","1984","(Fach-)Abitur","kein Migrationshintergrund","2","","",""
"3","1984","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"3","1984","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"3","1984","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"3","1984","AkademikerIn","kein Migrationshintergrund","1","","",""
"3","1984","AkademikerIn","direkter Migrationshintergrund","","","",""
"3","1984","AkademikerIn","indirekter Migrationshintergrund","","","",""
"3","1984","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"4","1984","(noch) kein Abschluss","kein Migrationshintergrund","1","","",""
"4","1984","(noch) kein Abschluss","direkter Migrationshintergrund","2","","",""
"4","1984","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"4","1984","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"4","1984","Hauptschule","kein Migrationshintergrund","6","","",""
"4","1984","Hauptschule","direkter Migrationshintergrund","3","","",""
"4","1984","Hauptschule","indirekter Migrationshintergrund","","","",""
"4","1984","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"4","1984","Realschule","kein Migrationshintergrund","2","","",""
"4","1984","Realschule","direkter Migrationshintergrund","","","",""
"4","1984","Realschule","indirekter Migrationshintergrund","","","",""
"4","1984","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"4","1984","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"4","1984","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"4","1984","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"4","1984","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"4","1984","AkademikerIn","kein Migrationshintergrund","1","","",""
