"ple0055","year","migback","quintil_oecd","n","percent","lower_confidence_percent","upper_confidence_percent"
"0","1995","kein Migrationshintergrund","1 Einkommensschwächstes Quintil","3","","",""
"0","1995","kein Migrationshintergrund","2","2","","",""
"0","1995","kein Migrationshintergrund","3","1","","",""
"0","1995","kein Migrationshintergrund","4","1","","",""
"0","1995","kein Migrationshintergrund","5 Einkommensstärkstes Quintil","","","",""
"0","1995","direkter Migrationshintergrund","1 Einkommensschwächstes Quintil","","","",""
"0","1995","direkter Migrationshintergrund","2","","","",""
"0","1995","direkter Migrationshintergrund","3","","","",""
"0","1995","direkter Migrationshintergrund","4","","","",""
"0","1995","direkter Migrationshintergrund","5 Einkommensstärkstes Quintil","","","",""
"0","1995","indirekter Migrationshintergrund","1 Einkommensschwächstes Quintil","","","",""
"0","1995","indirekter Migrationshintergrund","2","","","",""
"0","1995","indirekter Migrationshintergrund","3","","","",""
"0","1995","indirekter Migrationshintergrund","4","","","",""
"0","1995","indirekter Migrationshintergrund","5 Einkommensstärkstes Quintil","","","",""
"0","1995","Migrationshintergrund - n. w. differenzierbar","1 Einkommensschwächstes Quintil","","","",""
"0","1995","Migrationshintergrund - n. w. differenzierbar","2","","","",""
"0","1995","Migrationshintergrund - n. w. differenzierbar","3","","","",""
"0","1995","Migrationshintergrund - n. w. differenzierbar","4","","","",""
"0","1995","Migrationshintergrund - n. w. differenzierbar","5 Einkommensstärkstes Quintil","","","",""
"1","1995","kein Migrationshintergrund","1 Einkommensschwächstes Quintil","331","0.703614145500748","0.661232610829079","0.745995680172418"
"1","1995","kein Migrationshintergrund","2","223","0.705379650609101","0.653879597531925","0.756879703686277"
"1","1995","kein Migrationshintergrund","3","156","0.808192878122535","0.752646044139712","0.863739712105358"
"1","1995","kein Migrationshintergrund","4","99","0.78533289704532","0.714479140853098","0.856186653237542"
"1","1995","kein Migrationshintergrund","5 Einkommensstärkstes Quintil","44","0.810749103084167","0.704283668580922","0.917214537587413"
"1","1995","direkter Migrationshintergrund","1 Einkommensschwächstes Quintil","128","0.780734119180102","0.717216911534613","0.844251326825591"
"1","1995","direkter Migrationshintergrund","2","67","0.795599756883815","0.70831685239665","0.882882661370981"
"1","1995","direkter Migrationshintergrund","3","26","","",""
"1","1995","direkter Migrationshintergrund","4","15","","",""
"1","1995","direkter Migrationshintergrund","5 Einkommensstärkstes Quintil","5","","",""
"1","1995","indirekter Migrationshintergrund","1 Einkommensschwächstes Quintil","12","","",""
"1","1995","indirekter Migrationshintergrund","2","10","","",""
"1","1995","indirekter Migrationshintergrund","3","4","","",""
"1","1995","indirekter Migrationshintergrund","4","1","","",""
"1","1995","indirekter Migrationshintergrund","5 Einkommensstärkstes Quintil","1","","",""
"1","1995","Migrationshintergrund - n. w. differenzierbar","1 Einkommensschwächstes Quintil","","","",""
"1","1995","Migrationshintergrund - n. w. differenzierbar","2","","","",""
"1","1995","Migrationshintergrund - n. w. differenzierbar","3","","","",""
"1","1995","Migrationshintergrund - n. w. differenzierbar","4","","","",""
"1","1995","Migrationshintergrund - n. w. differenzierbar","5 Einkommensstärkstes Quintil","","","",""
"2","1995","kein Migrationshintergrund","1 Einkommensschwächstes Quintil","73","0.189038871292148","0.152701271420151","0.225376471164145"
"2","1995","kein Migrationshintergrund","2","45","0.160188215770478","0.118752856628826","0.201623574912129"
"2","1995","kein Migrationshintergrund","3","21","","",""
"2","1995","kein Migrationshintergrund","4","20","","",""
"2","1995","kein Migrationshintergrund","5 Einkommensstärkstes Quintil","7","","",""
"2","1995","direkter Migrationshintergrund","1 Einkommensschwächstes Quintil","22","","",""
"2","1995","direkter Migrationshintergrund","2","11","","",""
"2","1995","direkter Migrationshintergrund","3","8","","",""
"2","1995","direkter Migrationshintergrund","4","","","",""
"2","1995","direkter Migrationshintergrund","5 Einkommensstärkstes Quintil","2","","",""
"2","1995","indirekter Migrationshintergrund","1 Einkommensschwächstes Quintil","5","","",""
"2","1995","indirekter Migrationshintergrund","2","1","","",""
"2","1995","indirekter Migrationshintergrund","3","1","","",""
"2","1995","indirekter Migrationshintergrund","4","","","",""
"2","1995","indirekter Migrationshintergrund","5 Einkommensstärkstes Quintil","","","",""
"2","1995","Migrationshintergrund - n. w. differenzierbar","1 Einkommensschwächstes Quintil","","","",""
"2","1995","Migrationshintergrund - n. w. differenzierbar","2","","","",""
"2","1995","Migrationshintergrund - n. w. differenzierbar","3","","","",""
"2","1995","Migrationshintergrund - n. w. differenzierbar","4","","","",""
"2","1995","Migrationshintergrund - n. w. differenzierbar","5 Einkommensstärkstes Quintil","","","",""
"3","1995","kein Migrationshintergrund","1 Einkommensschwächstes Quintil","23","","",""
"3","1995","kein Migrationshintergrund","2","14","","",""
"3","1995","kein Migrationshintergrund","3","7","","",""
"3","1995","kein Migrationshintergrund","4","3","","",""
"3","1995","kein Migrationshintergrund","5 Einkommensstärkstes Quintil","","","",""
"3","1995","direkter Migrationshintergrund","1 Einkommensschwächstes Quintil","6","","",""
"3","1995","direkter Migrationshintergrund","2","","","",""
"3","1995","direkter Migrationshintergrund","3","","","",""
"3","1995","direkter Migrationshintergrund","4","","","",""
"3","1995","direkter Migrationshintergrund","5 Einkommensstärkstes Quintil","","","",""
"3","1995","indirekter Migrationshintergrund","1 Einkommensschwächstes Quintil","","","",""
"3","1995","indirekter Migrationshintergrund","2","1","","",""
"3","1995","indirekter Migrationshintergrund","3","","","",""
"3","1995","indirekter Migrationshintergrund","4","1","","",""
"3","1995","indirekter Migrationshintergrund","5 Einkommensstärkstes Quintil","","","",""
"3","1995","Migrationshintergrund - n. w. differenzierbar","1 Einkommensschwächstes Quintil","","","",""
"3","1995","Migrationshintergrund - n. w. differenzierbar","2","","","",""
"3","1995","Migrationshintergrund - n. w. differenzierbar","3","","","",""
"3","1995","Migrationshintergrund - n. w. differenzierbar","4","","","",""
"3","1995","Migrationshintergrund - n. w. differenzierbar","5 Einkommensstärkstes Quintil","","","",""
"4","1995","kein Migrationshintergrund","1 Einkommensschwächstes Quintil","7","","",""
"4","1995","kein Migrationshintergrund","2","5","","",""
"4","1995","kein Migrationshintergrund","3","4","","",""
"4","1995","kein Migrationshintergrund","4","3","","",""
"4","1995","kein Migrationshintergrund","5 Einkommensstärkstes Quintil","","","",""
"4","1995","direkter Migrationshintergrund","1 Einkommensschwächstes Quintil","3","","",""
"4","1995","direkter Migrationshintergrund","2","2","","",""
"4","1995","direkter Migrationshintergrund","3","1","","",""
"4","1995","direkter Migrationshintergrund","4","","","",""
"4","1995","direkter Migrationshintergrund","5 Einkommensstärkstes Quintil","","","",""
"4","1995","indirekter Migrationshintergrund","1 Einkommensschwächstes Quintil","1","","",""
