"ple0055","year","migback","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"0","1984","kein Migrationshintergrund","maennlich","1","","",""
"0","1984","kein Migrationshintergrund","weiblich","1","","",""
"0","1984","direkter Migrationshintergrund","maennlich","","","",""
"0","1984","direkter Migrationshintergrund","weiblich","","","",""
"0","1984","indirekter Migrationshintergrund","maennlich","","","",""
"0","1984","indirekter Migrationshintergrund","weiblich","","","",""
"0","1984","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"0","1984","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"1","1984","kein Migrationshintergrund","maennlich","291","0.779432846891163","0.73724174119492","0.821623952587407"
"1","1984","kein Migrationshintergrund","weiblich","429","0.828009885031967","0.795417662218451","0.860602107845484"
"1","1984","direkter Migrationshintergrund","maennlich","138","0.818673994810569","0.760062932698884","0.877285056922253"
"1","1984","direkter Migrationshintergrund","weiblich","193","0.896772811088319","0.856568278514552","0.936977343662085"
"1","1984","indirekter Migrationshintergrund","maennlich","4","","",""
"1","1984","indirekter Migrationshintergrund","weiblich","1","","",""
"1","1984","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"1","1984","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"2","1984","kein Migrationshintergrund","maennlich","53","0.149452091758347","0.11317257233209","0.185731611184604"
"2","1984","kein Migrationshintergrund","weiblich","51","0.101585388372999","0.0754939211131161","0.127676855632882"
"2","1984","direkter Migrationshintergrund","maennlich","16","","",""
"2","1984","direkter Migrationshintergrund","weiblich","21","","",""
"2","1984","indirekter Migrationshintergrund","maennlich","","","",""
"2","1984","indirekter Migrationshintergrund","weiblich","1","","",""
"2","1984","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"2","1984","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"3","1984","kein Migrationshintergrund","maennlich","14","","",""
"3","1984","kein Migrationshintergrund","weiblich","16","","",""
"3","1984","direkter Migrationshintergrund","maennlich","7","","",""
"3","1984","direkter Migrationshintergrund","weiblich","4","","",""
"3","1984","indirekter Migrationshintergrund","maennlich","","","",""
"3","1984","indirekter Migrationshintergrund","weiblich","","","",""
"3","1984","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"3","1984","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"4","1984","kein Migrationshintergrund","maennlich","3","","",""
"4","1984","kein Migrationshintergrund","weiblich","7","","",""
"4","1984","direkter Migrationshintergrund","maennlich","3","","",""
"4","1984","direkter Migrationshintergrund","weiblich","2","","",""
"4","1984","indirekter Migrationshintergrund","maennlich","","","",""
"4","1984","indirekter Migrationshintergrund","weiblich","","","",""
"4","1984","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"4","1984","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"5","1984","kein Migrationshintergrund","maennlich","1","","",""
"5","1984","kein Migrationshintergrund","weiblich","3","","",""
"5","1984","direkter Migrationshintergrund","maennlich","1","","",""
"5","1984","direkter Migrationshintergrund","weiblich","","","",""
"5","1984","indirekter Migrationshintergrund","maennlich","","","",""
"5","1984","indirekter Migrationshintergrund","weiblich","","","",""
"5","1984","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"5","1984","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"6","1984","kein Migrationshintergrund","maennlich","3","","",""
"6","1984","kein Migrationshintergrund","weiblich","1","","",""
"6","1984","direkter Migrationshintergrund","maennlich","1","","",""
"6","1984","direkter Migrationshintergrund","weiblich","","","",""
"6","1984","indirekter Migrationshintergrund","maennlich","","","",""
"6","1984","indirekter Migrationshintergrund","weiblich","","","",""
"6","1984","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"6","1984","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"7","1984","kein Migrationshintergrund","maennlich","1","","",""
"7","1984","kein Migrationshintergrund","weiblich","3","","",""
"7","1984","direkter Migrationshintergrund","maennlich","","","",""
"7","1984","direkter Migrationshintergrund","weiblich","","","",""
"7","1984","indirekter Migrationshintergrund","maennlich","","","",""
"7","1984","indirekter Migrationshintergrund","weiblich","","","",""
"7","1984","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"7","1984","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"8","1984","kein Migrationshintergrund","maennlich","","","",""
"8","1984","kein Migrationshintergrund","weiblich","1","","",""
"8","1984","direkter Migrationshintergrund","maennlich","","","",""
"8","1984","direkter Migrationshintergrund","weiblich","","","",""
"8","1984","indirekter Migrationshintergrund","maennlich","","","",""
"8","1984","indirekter Migrationshintergrund","weiblich","","","",""
"8","1984","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"8","1984","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"9","1984","kein Migrationshintergrund","maennlich","1","","",""
"9","1984","kein Migrationshintergrund","weiblich","1","","",""
"9","1984","direkter Migrationshintergrund","maennlich","","","",""
"9","1984","direkter Migrationshintergrund","weiblich","","","",""
"9","1984","indirekter Migrationshintergrund","maennlich","","","",""
"9","1984","indirekter Migrationshintergrund","weiblich","","","",""
"9","1984","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"9","1984","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"10","1984","kein Migrationshintergrund","maennlich","2","","",""
