year,regtyp,pgcasmin,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Urban regions,(0) No qualification (yet),0.01525,150,8538,0.01265,0.01785
1985,Urban regions,(1a) Inadequately completed,0.02114,792,8538,0.01809,0.02420
1985,Urban regions,(1b) General Elementary School,0.18268,1970,8538,0.17448,0.19088
1985,Urban regions,(1c) Basic Vocational Qualification,0.31907,2906,8538,0.30918,0.32896
1985,Urban regions,(2) Intermediate General/Vocational Qualification,0.16613,1409,8538,0.15823,0.17402
1985,Urban regions,(2c_gen) General Maturity Certificate,0.02871,338,8538,0.02516,0.03225
1985,Urban regions,(2c_voc) Vocational Maturity Certificate,0.03380,340,8538,0.02996,0.03763
1985,Urban regions,(3a) Lower Tertiary Education,0.02458,210,8538,0.02129,0.02786
1985,Urban regions,(3b) Higher Tertiary Education,0.04432,423,8538,0.03996,0.04869
1985,Rural regions,(0) No qualification (yet),0.01333,37,2347,0.00869,0.01797
1985,Rural regions,(1a) Inadequately completed,0.01541,108,2347,0.01042,0.02039
1985,Rural regions,(1b) General Elementary School,0.23288,646,2347,0.21577,0.24998
1985,Rural regions,(1c) Basic Vocational Qualification,0.33175,919,2347,0.31269,0.35080
1985,Rural regions,(2) Intermediate General/Vocational Qualification,0.15032,406,2347,0.13586,0.16478
1985,Rural regions,(2c_gen) General Maturity Certificate,0.01190,39,2347,0.00751,0.01629
1985,Rural regions,(2c_voc) Vocational Maturity Certificate,0.02346,70,2347,0.01734,0.02959
1985,Rural regions,(3a) Lower Tertiary Education,0.01474,38,2347,0.00987,0.01962
1985,Rural regions,(3b) Higher Tertiary Education,0.02976,84,2347,0.02288,0.03663
1986,Urban regions,(0) No qualification (yet),0.01417,166,8212,0.01162,0.01673
1986,Urban regions,(1a) Inadequately completed,0.02129,734,8212,0.01817,0.02442
1986,Urban regions,(1b) General Elementary School,0.17690,1860,8212,0.16865,0.18516
1986,Urban regions,(1c) Basic Vocational Qualification,0.31632,2758,8212,0.30626,0.32638
