year,age_gr,migback,pgcasmin,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,No migration background,(0) No qualification (yet),0.06849,159,2344,0.05826,0.07872
1984,17-29 y.,No migration background,(1a) Inadequately completed,0.01699,39,2344,0.01176,0.02222
1984,17-29 y.,No migration background,(1b) General Elementary School,0.13847,322,2344,0.12449,0.15246
1984,17-29 y.,No migration background,(1c) Basic Vocational Qualification,0.27262,639,2344,0.25458,0.29065
1984,17-29 y.,No migration background,(2) Intermediate General/Vocational Qualification,0.31017,728,2344,0.29144,0.32890
1984,17-29 y.,No migration background,(2c_gen) General Maturity Certificate,0.10476,245,2344,0.09236,0.11716
1984,17-29 y.,No migration background,(2c_voc) Vocational Maturity Certificate,0.04811,113,2344,0.03944,0.05677
1984,17-29 y.,No migration background,(3a) Lower Tertiary Education,0.01264,33,2344,0.00812,0.01716
1984,17-29 y.,No migration background,(3b) Higher Tertiary Education,0.02511,66,2344,0.01878,0.03145
1984,17-29 y.,Direct migration background,(1a) Inadequately completed,0.12537,170,931,0.10409,0.14665
1984,17-29 y.,Direct migration background,(1b) General Elementary School,0.27667,359,931,0.24792,0.30542
1984,17-29 y.,Direct migration background,(1c) Basic Vocational Qualification,0.24294,215,931,0.21538,0.27050
1984,17-29 y.,Direct migration background,(2) Intermediate General/Vocational Qualification,0.11401,68,931,0.09359,0.13444
1984,17-29 y.,Direct migration background,(2c_gen) General Maturity Certificate,0.08829,75,931,0.07006,0.10653
1984,17-29 y.,Direct migration background,(2c_voc) Vocational Maturity Certificate,0.07948,44,931,0.06210,0.09687
1984,30-45 y.,No migration background,(1b) General Elementary School,0.14547,364,2456,0.13152,0.15942
1984,30-45 y.,No migration background,(1c) Basic Vocational Qualification,0.49331,1215,2456,0.47353,0.51308
1984,30-45 y.,No migration background,(2) Intermediate General/Vocational Qualification,0.19028,483,2456,0.17475,0.20580
1984,30-45 y.,No migration background,(2c_voc) Vocational Maturity Certificate,0.02933,74,2456,0.02265,0.03600
1984,30-45 y.,No migration background,(3a) Lower Tertiary Education,0.04040,103,2456,0.03261,0.04819
1984,30-45 y.,No migration background,(3b) Higher Tertiary Education,0.08685,217,2456,0.07571,0.09799
1984,30-45 y.,Direct migration background,(1a) Inadequately completed,0.21016,433,1350,0.18842,0.23191
1984,30-45 y.,Direct migration background,(1b) General Elementary School,0.23408,404,1350,0.21148,0.25668
1984,30-45 y.,Direct migration background,(1c) Basic Vocational Qualification,0.27984,313,1350,0.25589,0.30380
1984,30-45 y.,Direct migration background,(2) Intermediate General/Vocational Qualification,0.07287,34,1350,0.05900,0.08674
1984,30-45 y.,Direct migration background,(2c_gen) General Maturity Certificate,0.03313,38,1350,0.02358,0.04268
1984,30-45 y.,Direct migration background,(2c_voc) Vocational Maturity Certificate,0.06951,77,1350,0.05594,0.08309
1984,30-45 y.,Direct migration background,(3b) Higher Tertiary Education,0.06545,51,1350,0.05226,0.07865
1984,46-65 y.,No migration background,(1b) General Elementary School,0.30782,792,2575,0.28998,0.32565
1984,46-65 y.,No migration background,(1c) Basic Vocational Qualification,0.45232,1179,2575,0.43309,0.47155
1984,46-65 y.,No migration background,(2) Intermediate General/Vocational Qualification,0.12985,336,2575,0.11686,0.14283
1984,46-65 y.,No migration background,(2c_voc) Vocational Maturity Certificate,0.03086,82,2575,0.02418,0.03755
1984,46-65 y.,No migration background,(3a) Lower Tertiary Education,0.03268,84,2575,0.02581,0.03955
1984,46-65 y.,No migration background,(3b) Higher Tertiary Education,0.03787,102,2575,0.03050,0.04524
1984,46-65 y.,Direct migration background,(1a) Inadequately completed,0.19500,407,857,0.16846,0.22154
1984,46-65 y.,Direct migration background,(1b) General Elementary School,0.28014,234,857,0.25006,0.31023
1984,46-65 y.,Direct migration background,(1c) Basic Vocational Qualification,0.29147,182,857,0.26103,0.32192
1984,46-65 y.,Direct migration background,(2) Intermediate General/Vocational Qualification,0.11601,34,857,0.09455,0.13746
1984,66 and older,No migration background,(1b) General Elementary School,0.38751,469,1188,0.35979,0.41522
1984,66 and older,No migration background,(1c) Basic Vocational Qualification,0.37736,469,1188,0.34978,0.40494
1984,66 and older,No migration background,(2) Intermediate General/Vocational Qualification,0.14321,172,1188,0.12328,0.16313
1984,66 and older,No migration background,(2c_voc) Vocational Maturity Certificate,0.02975,40,1188,0.02009,0.03942
1984,66 and older,No migration background,(3b) Higher Tertiary Education,0.03060,38,1188,0.02080,0.04040
1985,17-29 y.,No migration background,(0) No qualification (yet),0.07264,155,2170,0.06172,0.08357
1985,17-29 y.,No migration background,(1a) Inadequately completed,0.01935,41,2170,0.01355,0.02514
1985,17-29 y.,No migration background,(1b) General Elementary School,0.13887,304,2170,0.12432,0.15343
1985,17-29 y.,No migration background,(1c) Basic Vocational Qualification,0.24658,542,2170,0.22844,0.26472
1985,17-29 y.,No migration background,(2) Intermediate General/Vocational Qualification,0.31998,696,2170,0.30035,0.33961
1985,17-29 y.,No migration background,(2c_gen) General Maturity Certificate,0.09644,228,2170,0.08402,0.10886
1985,17-29 y.,No migration background,(2c_voc) Vocational Maturity Certificate,0.05119,108,2170,0.04191,0.06046
1985,17-29 y.,No migration background,(3a) Lower Tertiary Education,0.01342,31,2170,0.00858,0.01826
1985,17-29 y.,No migration background,(3b) Higher Tertiary Education,0.02585,65,2170,0.01918,0.03253
1985,17-29 y.,Direct migration background,(1a) Inadequately completed,0.10617,118,751,0.08412,0.12821
1985,17-29 y.,Direct migration background,(1b) General Elementary School,0.25448,285,751,0.22331,0.28566
1985,17-29 y.,Direct migration background,(1c) Basic Vocational Qualification,0.23725,179,751,0.20680,0.26769
1985,17-29 y.,Direct migration background,(2) Intermediate General/Vocational Qualification,0.14629,70,751,0.12100,0.17158
1985,17-29 y.,Direct migration background,(2c_gen) General Maturity Certificate,0.08829,66,751,0.06799,0.10860
1985,17-29 y.,Direct migration background,(2c_voc) Vocational Maturity Certificate,0.07288,33,751,0.05428,0.09148
1985,17-29 y.,Indirect migration background,(1b) General Elementary School,0.26970,34,34,0.11828,0.42112
1985,30-45 y.,No migration background,(1b) General Elementary School,0.12809,296,2238,0.11424,0.14194
1985,30-45 y.,No migration background,(1c) Basic Vocational Qualification,0.48348,1086,2238,0.46277,0.50419
1985,30-45 y.,No migration background,(2) Intermediate General/Vocational Qualification,0.20215,468,2238,0.18551,0.21879
1985,30-45 y.,No migration background,(2c_voc) Vocational Maturity Certificate,0.03480,78,2238,0.02720,0.04239
1985,30-45 y.,No migration background,(3a) Lower Tertiary Education,0.04018,96,2238,0.03204,0.04832
1985,30-45 y.,No migration background,(3b) Higher Tertiary Education,0.09568,214,2238,0.08349,0.10787
1985,30-45 y.,Direct migration background,(1a) Inadequately completed,0.18677,340,1112,0.16385,0.20969
1985,30-45 y.,Direct migration background,(1b) General Elementary School,0.23203,350,1112,0.20720,0.25685
1985,30-45 y.,Direct migration background,(1c) Basic Vocational Qualification,0.30678,285,1112,0.27966,0.33390
1985,30-45 y.,Direct migration background,(2c_gen) General Maturity Certificate,0.03631,34,1112,0.02531,0.04731
1985,30-45 y.,Direct migration background,(2c_voc) Vocational Maturity Certificate,0.05815,59,1112,0.04439,0.07192
1985,30-45 y.,Direct migration background,(3b) Higher Tertiary Education,0.06623,44,1112,0.05161,0.08086
1985,46-65 y.,No migration background,(1b) General Elementary School,0.30214,732,2406,0.28378,0.32049
1985,46-65 y.,No migration background,(1c) Basic Vocational Qualification,0.45180,1097,2406,0.43191,0.47169
1985,46-65 y.,No migration background,(2) Intermediate General/Vocational Qualification,0.13420,323,2406,0.12057,0.14782
1985,46-65 y.,No migration background,(2c_voc) Vocational Maturity Certificate,0.02913,72,2406,0.02241,0.03585
1985,46-65 y.,No migration background,(3a) Lower Tertiary Education,0.03137,75,2406,0.02440,0.03834
1985,46-65 y.,No migration background,(3b) Higher Tertiary Education,0.04105,107,2406,0.03312,0.04898
1985,46-65 y.,Direct migration background,(1a) Inadequately completed,0.18447,357,774,0.15713,0.21181
1985,46-65 y.,Direct migration background,(1b) General Elementary School,0.28316,213,774,0.25140,0.31492
1985,46-65 y.,Direct migration background,(1c) Basic Vocational Qualification,0.28812,169,774,0.25619,0.32005
1985,46-65 y.,Direct migration background,(2) Intermediate General/Vocational Qualification,0.12362,35,774,0.10042,0.14682
1985,66 and older,No migration background,(1b) General Elementary School,0.36135,380,995,0.33149,0.39121
1985,66 and older,No migration background,(1c) Basic Vocational Qualification,0.38713,420,995,0.35685,0.41741
1985,66 and older,No migration background,(2) Intermediate General/Vocational Qualification,0.15506,160,995,0.13256,0.17756
1985,66 and older,No migration background,(2c_voc) Vocational Maturity Certificate,0.03045,35,995,0.01977,0.04113
1986,17-29 y.,No migration background,(0) No qualification (yet),0.06022,147,2096,0.05003,0.07041
1986,17-29 y.,No migration background,(1a) Inadequately completed,0.02067,43,2096,0.01458,0.02677
1986,17-29 y.,No migration background,(1b) General Elementary School,0.13783,303,2096,0.12307,0.15259
1986,17-29 y.,No migration background,(1c) Basic Vocational Qualification,0.24225,505,2096,0.22390,0.26059
1986,17-29 y.,No migration background,(2) Intermediate General/Vocational Qualification,0.31723,668,2096,0.29730,0.33716
1986,17-29 y.,No migration background,(2c_gen) General Maturity Certificate,0.11585,251,2096,0.10215,0.12956
1986,17-29 y.,No migration background,(2c_voc) Vocational Maturity Certificate,0.05221,100,2096,0.04268,0.06173
1986,17-29 y.,No migration background,(3a) Lower Tertiary Education,0.01524,32,2096,0.00999,0.02048
1986,17-29 y.,No migration background,(3b) Higher Tertiary Education,0.01974,47,2096,0.01378,0.02569
1986,17-29 y.,Direct migration background,(0) No qualification (yet),0.04259,31,761,0.02823,0.05694
1986,17-29 y.,Direct migration background,(1a) Inadequately completed,0.09984,108,761,0.07853,0.12116
1986,17-29 y.,Direct migration background,(1b) General Elementary School,0.26848,283,761,0.23698,0.29999
1986,17-29 y.,Direct migration background,(1c) Basic Vocational Qualification,0.23511,171,761,0.20496,0.26526
1986,17-29 y.,Direct migration background,(2) Intermediate General/Vocational Qualification,0.15356,76,761,0.12792,0.17919
1986,17-29 y.,Direct migration background,(2c_gen) General Maturity Certificate,0.08994,59,761,0.06960,0.11028
1986,17-29 y.,Direct migration background,(2c_voc) Vocational Maturity Certificate,0.06001,33,761,0.04312,0.07689
1986,17-29 y.,Indirect migration background,(1b) General Elementary School,0.24819,35,35,0.10299,0.39339
1986,30-45 y.,No migration background,(1b) General Elementary School,0.11485,256,2109,0.10123,0.12846
1986,30-45 y.,No migration background,(1c) Basic Vocational Qualification,0.47359,996,2109,0.45227,0.49490
1986,30-45 y.,No migration background,(2) Intermediate General/Vocational Qualification,0.21081,455,2109,0.19339,0.22822
1986,30-45 y.,No migration background,(2c_voc) Vocational Maturity Certificate,0.03959,85,2109,0.03127,0.04792
1986,30-45 y.,No migration background,(3a) Lower Tertiary Education,0.04133,92,2109,0.03283,0.04983
1986,30-45 y.,No migration background,(3b) Higher Tertiary Education,0.10419,225,2109,0.09115,0.11723
1986,30-45 y.,Direct migration background,(1a) Inadequately completed,0.17632,298,1066,0.15344,0.19921
1986,30-45 y.,Direct migration background,(1b) General Elementary School,0.22253,322,1066,0.19755,0.24751
1986,30-45 y.,Direct migration background,(1c) Basic Vocational Qualification,0.30374,267,1066,0.27612,0.33136
1986,30-45 y.,Direct migration background,(2) Intermediate General/Vocational Qualification,0.07612,31,1066,0.06019,0.09204
1986,30-45 y.,Direct migration background,(2c_gen) General Maturity Certificate,0.04128,35,1066,0.02934,0.05323
1986,30-45 y.,Direct migration background,(2c_voc) Vocational Maturity Certificate,0.06341,63,1066,0.04878,0.07805
