year,age_gr,regtyp,pgcasmin,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,17-29 y.,Urban regions,(0) No qualification (yet),0.07107,150,2428,0.06085,0.08130
1985,17-29 y.,Urban regions,(1a) Inadequately completed,0.02447,135,2428,0.01833,0.03062
1985,17-29 y.,Urban regions,(1b) General Elementary School,0.14170,493,2428,0.12782,0.15557
1985,17-29 y.,Urban regions,(1c) Basic Vocational Qualification,0.22530,549,2428,0.20868,0.24192
1985,17-29 y.,Urban regions,(2) Intermediate General/Vocational Qualification,0.30108,603,2428,0.28283,0.31933
1985,17-29 y.,Urban regions,(2c_gen) General Maturity Certificate,0.11000,266,2428,0.09755,0.12245
1985,17-29 y.,Urban regions,(2c_voc) Vocational Maturity Certificate,0.06093,123,2428,0.05142,0.07045
1985,17-29 y.,Urban regions,(3a) Lower Tertiary Education,0.01476,32,2428,0.00997,0.01956
1985,17-29 y.,Urban regions,(3b) Higher Tertiary Education,0.03187,77,2428,0.02488,0.03886
1985,17-29 y.,Rural regions,(0) No qualification (yet),0.06464,37,585,0.04470,0.08459
1985,17-29 y.,Rural regions,(1b) General Elementary School,0.17848,130,585,0.14742,0.20954
1985,17-29 y.,Rural regions,(1c) Basic Vocational Qualification,0.30832,197,585,0.27086,0.34577
1985,17-29 y.,Rural regions,(2) Intermediate General/Vocational Qualification,0.31416,188,585,0.27651,0.35180
1985,17-29 y.,Rural regions,(2c_gen) General Maturity Certificate,0.04745,33,585,0.03020,0.06469
1985,30-45 y.,Urban regions,(1a) Inadequately completed,0.03457,310,2716,0.02769,0.04144
1985,30-45 y.,Urban regions,(1b) General Elementary School,0.13257,512,2716,0.11981,0.14532
1985,30-45 y.,Urban regions,(1c) Basic Vocational Qualification,0.44990,1050,2716,0.43118,0.46861
1985,30-45 y.,Urban regions,(2) Intermediate General/Vocational Qualification,0.18376,383,2716,0.16920,0.19833
1985,30-45 y.,Urban regions,(2c_gen) General Maturity Certificate,0.01307,48,2716,0.00880,0.01734
1985,30-45 y.,Urban regions,(2c_voc) Vocational Maturity Certificate,0.03994,112,2716,0.03258,0.04731
1985,30-45 y.,Urban regions,(3a) Lower Tertiary Education,0.04203,88,2716,0.03449,0.04958
1985,30-45 y.,Urban regions,(3b) Higher Tertiary Education,0.09910,213,2716,0.08786,0.11034
1985,30-45 y.,Rural regions,(1a) Inadequately completed,0.01285,42,672,0.00433,0.02138
1985,30-45 y.,Rural regions,(1b) General Elementary School,0.17413,138,672,0.14544,0.20283
1985,30-45 y.,Rural regions,(1c) Basic Vocational Qualification,0.49222,329,672,0.45439,0.53004
1985,30-45 y.,Rural regions,(2) Intermediate General/Vocational Qualification,0.18724,118,672,0.15772,0.21675
1985,30-45 y.,Rural regions,(3b) Higher Tertiary Education,0.06668,45,672,0.04780,0.08555
1985,46-65 y.,Urban regions,(1a) Inadequately completed,0.02542,334,2561,0.01933,0.03152
1985,46-65 y.,Urban regions,(1b) General Elementary School,0.28128,696,2561,0.26386,0.29870
1985,46-65 y.,Urban regions,(1c) Basic Vocational Qualification,0.43577,983,2561,0.41656,0.45498
1985,46-65 y.,Urban regions,(2) Intermediate General/Vocational Qualification,0.14101,290,2561,0.12753,0.15449
1985,46-65 y.,Urban regions,(2c_voc) Vocational Maturity Certificate,0.02870,76,2561,0.02223,0.03517
1985,46-65 y.,Urban regions,(3a) Lower Tertiary Education,0.03581,73,2561,0.02861,0.04301
1985,46-65 y.,Urban regions,(3b) Higher Tertiary Education,0.04338,109,2561,0.03549,0.05127
1985,46-65 y.,Rural regions,(1a) Inadequately completed,0.01359,33,641,0.00462,0.02257
1985,46-65 y.,Rural regions,(1b) General Elementary School,0.35746,251,641,0.32032,0.39459
1985,46-65 y.,Rural regions,(1c) Basic Vocational Qualification,0.43332,289,641,0.39493,0.47172
1985,46-65 y.,Rural regions,(2) Intermediate General/Vocational Qualification,0.10718,68,641,0.08321,0.13114
1985,66 and older,Urban regions,(1b) General Elementary School,0.34111,269,726,0.30661,0.37562
1985,66 and older,Urban regions,(1c) Basic Vocational Qualification,0.39411,324,726,0.35854,0.42968
1985,66 and older,Urban regions,(2) Intermediate General/Vocational Qualification,0.16632,133,726,0.13922,0.19343
1985,66 and older,Rural regions,(1b) General Elementary School,0.42911,127,263,0.36918,0.48904
1985,66 and older,Rural regions,(1c) Basic Vocational Qualification,0.35056,104,263,0.29278,0.40834
1985,66 and older,Rural regions,(2) Intermediate General/Vocational Qualification,0.12300,32,263,0.08323,0.16277
1986,17-29 y.,Urban regions,(0) No qualification (yet),0.06729,166,2331,0.05712,0.07746
1986,17-29 y.,Urban regions,(1a) Inadequately completed,0.02595,132,2331,0.01949,0.03240
1986,17-29 y.,Urban regions,(1b) General Elementary School,0.13736,474,2331,0.12338,0.15134
1986,17-29 y.,Urban regions,(1c) Basic Vocational Qualification,0.22491,529,2331,0.20796,0.24187
1986,17-29 y.,Urban regions,(2) Intermediate General/Vocational Qualification,0.29777,589,2331,0.27921,0.31634
1986,17-29 y.,Urban regions,(2c_gen) General Maturity Certificate,0.12611,273,2331,0.11263,0.13959
1986,17-29 y.,Urban regions,(2c_voc) Vocational Maturity Certificate,0.05938,114,2331,0.04978,0.06897
1986,17-29 y.,Urban regions,(3b) Higher Tertiary Education,0.02522,54,2331,0.01885,0.03158
1986,17-29 y.,Rural regions,(1b) General Elementary School,0.19172,147,547,0.15870,0.22474
1986,17-29 y.,Rural regions,(1c) Basic Vocational Qualification,0.29006,175,547,0.25200,0.32812
1986,17-29 y.,Rural regions,(2) Intermediate General/Vocational Qualification,0.31521,180,547,0.27624,0.35418
1986,17-29 y.,Rural regions,(2c_gen) General Maturity Certificate,0.07089,45,547,0.04937,0.09242
1986,30-45 y.,Urban regions,(1a) Inadequately completed,0.03330,271,2563,0.02635,0.04024
1986,30-45 y.,Urban regions,(1b) General Elementary School,0.12571,467,2563,0.11287,0.13855
1986,30-45 y.,Urban regions,(1c) Basic Vocational Qualification,0.43160,958,2563,0.41242,0.45078
1986,30-45 y.,Urban regions,(2) Intermediate General/Vocational Qualification,0.19143,379,2563,0.17620,0.20667
1986,30-45 y.,Urban regions,(2c_gen) General Maturity Certificate,0.01411,48,2563,0.00954,0.01868
1986,30-45 y.,Urban regions,(2c_voc) Vocational Maturity Certificate,0.04676,125,2563,0.03859,0.05494
1986,30-45 y.,Urban regions,(3a) Lower Tertiary Education,0.04348,85,2563,0.03559,0.05138
1986,30-45 y.,Urban regions,(3b) Higher Tertiary Education,0.10845,230,2563,0.09641,0.12049
1986,30-45 y.,Rural regions,(1a) Inadequately completed,0.01338,38,623,0.00435,0.02241
1986,30-45 y.,Rural regions,(1b) General Elementary School,0.14708,117,623,0.11925,0.17492
1986,30-45 y.,Rural regions,(1c) Basic Vocational Qualification,0.50900,312,623,0.46971,0.54829
1986,30-45 y.,Rural regions,(2) Intermediate General/Vocational Qualification,0.19444,111,623,0.16334,0.22555
1986,30-45 y.,Rural regions,(3b) Higher Tertiary Education,0.07120,45,623,0.05099,0.09141
1986,46-65 y.,Urban regions,(1a) Inadequately completed,0.02483,315,2506,0.01873,0.03092
1986,46-65 y.,Urban regions,(1b) General Elementary School,0.26830,669,2506,0.25095,0.28565
1986,46-65 y.,Urban regions,(1c) Basic Vocational Qualification,0.44190,975,2506,0.42245,0.46135
1986,46-65 y.,Urban regions,(2) Intermediate General/Vocational Qualification,0.14664,286,2506,0.13278,0.16049
1986,46-65 y.,Urban regions,(2c_voc) Vocational Maturity Certificate,0.02713,71,2506,0.02077,0.03349
1986,46-65 y.,Urban regions,(3a) Lower Tertiary Education,0.03787,76,2506,0.03039,0.04534
1986,46-65 y.,Urban regions,(3b) Higher Tertiary Education,0.04343,114,2506,0.03545,0.05141
1986,46-65 y.,Rural regions,(1a) Inadequately completed,0.01551,36,618,0.00576,0.02526
1986,46-65 y.,Rural regions,(1b) General Elementary School,0.34351,232,618,0.30604,0.38098
1986,46-65 y.,Rural regions,(1c) Basic Vocational Qualification,0.43649,283,618,0.39735,0.47562
1986,46-65 y.,Rural regions,(2) Intermediate General/Vocational Qualification,0.11453,67,618,0.08941,0.13966
1986,66 and older,Urban regions,(1b) General Elementary School,0.33729,250,705,0.30237,0.37222
1986,66 and older,Urban regions,(1c) Basic Vocational Qualification,0.38739,296,705,0.35141,0.42338
1986,66 and older,Urban regions,(2) Intermediate General/Vocational Qualification,0.17298,128,705,0.14504,0.20092
1986,66 and older,Urban regions,(2c_voc) Vocational Maturity Certificate,0.03507,31,705,0.02148,0.04866
1986,66 and older,Rural regions,(1b) General Elementary School,0.41407,114,238,0.35136,0.47678
1986,66 and older,Rural regions,(1c) Basic Vocational Qualification,0.34594,92,238,0.28538,0.40650
1986,66 and older,Rural regions,(2) Intermediate General/Vocational Qualification,0.13322,32,238,0.08996,0.17649
1987,17-29 y.,Urban regions,(0) No qualification (yet),0.06276,166,2266,0.05277,0.07274
1987,17-29 y.,Urban regions,(1a) Inadequately completed,0.02177,108,2266,0.01576,0.02778
1987,17-29 y.,Urban regions,(1b) General Elementary School,0.13491,481,2266,0.12084,0.14898
1987,17-29 y.,Urban regions,(1c) Basic Vocational Qualification,0.23256,516,2266,0.21516,0.24996
1987,17-29 y.,Urban regions,(2) Intermediate General/Vocational Qualification,0.29174,575,2266,0.27302,0.31046
1987,17-29 y.,Urban regions,(2c_gen) General Maturity Certificate,0.12379,258,2266,0.11023,0.13735
1987,17-29 y.,Urban regions,(2c_voc) Vocational Maturity Certificate,0.06534,116,2266,0.05516,0.07552
1987,17-29 y.,Urban regions,(3b) Higher Tertiary Education,0.02396,46,2266,0.01766,0.03026
1987,17-29 y.,Rural regions,(1b) General Elementary School,0.18866,148,553,0.15603,0.22130
1987,17-29 y.,Rural regions,(1c) Basic Vocational Qualification,0.27813,176,553,0.24075,0.31551
1987,17-29 y.,Rural regions,(2) Intermediate General/Vocational Qualification,0.33485,188,553,0.29548,0.37422
1987,17-29 y.,Rural regions,(2c_gen) General Maturity Certificate,0.07081,41,553,0.04941,0.09221
1987,30-45 y.,Urban regions,(1a) Inadequately completed,0.03624,266,2487,0.02889,0.04359
1987,30-45 y.,Urban regions,(1b) General Elementary School,0.12235,443,2487,0.10946,0.13523
1987,30-45 y.,Urban regions,(1c) Basic Vocational Qualification,0.41996,917,2487,0.40056,0.43936
1987,30-45 y.,Urban regions,(2) Intermediate General/Vocational Qualification,0.19643,379,2487,0.18081,0.21205
1987,30-45 y.,Urban regions,(2c_gen) General Maturity Certificate,0.01382,47,2487,0.00923,0.01840
1987,30-45 y.,Urban regions,(2c_voc) Vocational Maturity Certificate,0.05240,127,2487,0.04364,0.06115
1987,30-45 y.,Urban regions,(3a) Lower Tertiary Education,0.04446,81,2487,0.03636,0.05256
1987,30-45 y.,Urban regions,(3b) Higher Tertiary Education,0.10912,227,2487,0.09686,0.12137
1987,30-45 y.,Rural regions,(1a) Inadequately completed,0.01595,40,600,0.00592,0.02599
1987,30-45 y.,Rural regions,(1b) General Elementary School,0.14486,111,600,0.11667,0.17305
1987,30-45 y.,Rural regions,(1c) Basic Vocational Qualification,0.50902,298,600,0.46899,0.54906
1987,30-45 y.,Rural regions,(2) Intermediate General/Vocational Qualification,0.20592,113,600,0.17353,0.23830
1987,30-45 y.,Rural regions,(3b) Higher Tertiary Education,0.06173,38,600,0.04246,0.08100
1987,46-65 y.,Urban regions,(1a) Inadequately completed,0.02807,322,2503,0.02160,0.03454
1987,46-65 y.,Urban regions,(1b) General Elementary School,0.26076,658,2503,0.24356,0.27796
1987,46-65 y.,Urban regions,(1c) Basic Vocational Qualification,0.45015,984,2503,0.43066,0.46965
1987,46-65 y.,Urban regions,(2) Intermediate General/Vocational Qualification,0.14213,278,2503,0.12845,0.15581
1987,46-65 y.,Urban regions,(2c_voc) Vocational Maturity Certificate,0.02600,70,2503,0.01977,0.03224
1987,46-65 y.,Urban regions,(3a) Lower Tertiary Education,0.03613,73,2503,0.02882,0.04344
1987,46-65 y.,Urban regions,(3b) Higher Tertiary Education,0.04713,118,2503,0.03883,0.05543
1987,46-65 y.,Rural regions,(1a) Inadequately completed,0.01413,35,600,0.00468,0.02359
1987,46-65 y.,Rural regions,(1b) General Elementary School,0.32160,216,600,0.28420,0.35901
1987,46-65 y.,Rural regions,(1c) Basic Vocational Qualification,0.45549,285,600,0.41561,0.49538
1987,46-65 y.,Rural regions,(2) Intermediate General/Vocational Qualification,0.10802,64,600,0.08316,0.13288
1987,66 and older,Urban regions,(1b) General Elementary School,0.33434,262,699,0.29934,0.36934
1987,66 and older,Urban regions,(1c) Basic Vocational Qualification,0.38921,308,699,0.35304,0.42539
1987,66 and older,Urban regions,(2) Intermediate General/Vocational Qualification,0.16868,129,699,0.14090,0.19646
