year,migback,pgcasmin,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No migration background,(0) No qualification (yet),0.01426,159,8650,0.01176,0.01675
1984,No migration background,(1a) Inadequately completed,0.00658,68,8650,0.00488,0.00828
1984,No migration background,(1b) General Elementary School,0.20164,1947,8650,0.19318,0.21009
1984,No migration background,(1c) Basic Vocational Qualification,0.34032,3502,8650,0.33033,0.35030
1984,No migration background,(2) Intermediate General/Vocational Qualification,0.16196,1719,8650,0.15420,0.16973
1984,No migration background,(2c_gen) General Maturity Certificate,0.02501,280,8650,0.02172,0.02830
1984,No migration background,(2c_voc) Vocational Maturity Certificate,0.02907,309,8650,0.02553,0.03261
1984,No migration background,(3a) Lower Tertiary Education,0.02251,243,8650,0.01938,0.02564
1984,No migration background,(3b) Higher Tertiary Education,0.03860,423,8650,0.03454,0.04266
1984,Direct migration background,(1a) Inadequately completed,0.15905,1019,3256,0.14648,0.17161
1984,Direct migration background,(1b) General Elementary School,0.23986,1011,3256,0.22519,0.25453
1984,Direct migration background,(1c) Basic Vocational Qualification,0.23993,716,3256,0.22526,0.25460
1984,Direct migration background,(2) Intermediate General/Vocational Qualification,0.08796,139,3256,0.07823,0.09769
1984,Direct migration background,(2c_gen) General Maturity Certificate,0.03465,129,3256,0.02836,0.04093
1984,Direct migration background,(2c_voc) Vocational Maturity Certificate,0.04765,143,3256,0.04034,0.05497
1984,Direct migration background,(3b) Higher Tertiary Education,0.04210,99,3256,0.03520,0.04900
1984,Indirect migration background,(1b) General Elementary School,0.02549,37,73,-0.01092,0.06190
1984,Indirect migration background,(1c) Basic Vocational Qualification,0.03931,36,73,-0.00558,0.08419
1985,No migration background,(0) No qualification (yet),0.01570,155,7923,0.01296,0.01843
1985,No migration background,(1a) Inadequately completed,0.00777,71,7923,0.00583,0.00970
1985,No migration background,(1b) General Elementary School,0.19557,1712,7923,0.18684,0.20431
1985,No migration background,(1c) Basic Vocational Qualification,0.33785,3145,7923,0.32744,0.34827
1985,No migration background,(2) Intermediate General/Vocational Qualification,0.17245,1647,7923,0.16413,0.18076
1985,No migration background,(2c_gen) General Maturity Certificate,0.02424,259,7923,0.02085,0.02762
1985,No migration background,(2c_voc) Vocational Maturity Certificate,0.03105,293,7923,0.02723,0.03487
1985,No migration background,(3a) Lower Tertiary Education,0.02293,225,7923,0.01963,0.02622
1985,No migration background,(3b) Higher Tertiary Education,0.04134,416,7923,0.03695,0.04572
1985,Direct migration background,(1a) Inadequately completed,0.14774,822,2782,0.13455,0.16093
1985,Direct migration background,(1b) General Elementary School,0.24584,864,2782,0.22984,0.26185
1985,Direct migration background,(1c) Basic Vocational Qualification,0.25400,640,2782,0.23782,0.27018
1985,Direct migration background,(2) Intermediate General/Vocational Qualification,0.09908,138,2782,0.08798,0.11019
1985,Direct migration background,(2c_gen) General Maturity Certificate,0.03480,113,2782,0.02799,0.04161
1985,Direct migration background,(2c_voc) Vocational Maturity Certificate,0.04323,117,2782,0.03568,0.05079
1985,Direct migration background,(3b) Higher Tertiary Education,0.04377,88,2782,0.03617,0.05137
1985,Indirect migration background,(1b) General Elementary School,0.03215,40,80,-0.00675,0.07105
1985,Indirect migration background,(1c) Basic Vocational Qualification,0.04636,40,80,-0.00000,0.09273
1986,No migration background,(0) No qualification (yet),0.01298,147,7546,0.01043,0.01553
1986,No migration background,(1a) Inadequately completed,0.00822,72,7546,0.00618,0.01026
1986,No migration background,(1b) General Elementary School,0.18704,1569,7546,0.17824,0.19584
1986,No migration background,(1c) Basic Vocational Qualification,0.33581,2956,7546,0.32515,0.34646
1986,No migration background,(2) Intermediate General/Vocational Qualification,0.17682,1597,7546,0.16821,0.18543
1986,No migration background,(2c_gen) General Maturity Certificate,0.02854,281,7546,0.02478,0.03229
1986,No migration background,(2c_voc) Vocational Maturity Certificate,0.03255,289,7546,0.02854,0.03655
1986,No migration background,(3a) Lower Tertiary Education,0.02426,224,7546,0.02079,0.02773
1986,No migration background,(3b) Higher Tertiary Education,0.04172,411,7546,0.03721,0.04623
1986,Direct migration background,(0) No qualification (yet),0.00880,31,2731,0.00530,0.01230
1986,Direct migration background,(1a) Inadequately completed,0.14032,758,2731,0.12729,0.15335
1986,Direct migration background,(1b) General Elementary School,0.25371,857,2731,0.23738,0.27003
