year,regtyp,petyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Urban regions,Yes,0.31734,1466,4408,0.30360,0.33108
1996,Urban regions,No,0.68266,2942,4408,0.66892,0.69640
1996,Rural regions,Yes,0.40236,1015,2223,0.38197,0.42275
1996,Rural regions,No,0.59764,1208,2223,0.57725,0.61803
2001,Urban regions,Yes,0.32007,2694,7783,0.30970,0.33043
2001,Urban regions,No,0.67993,5089,7783,0.66957,0.69030
2001,Rural regions,Yes,0.43108,1883,3897,0.41553,0.44663
2001,Rural regions,No,0.56892,2014,3897,0.55337,0.58447
2006,Urban regions,Yes,0.29887,2757,8168,0.28894,0.30880
2006,Urban regions,No,0.70113,5411,8168,0.69120,0.71106
2006,Rural regions,Yes,0.43516,1953,4097,0.41997,0.45034
2006,Rural regions,No,0.56484,2144,4097,0.54966,0.58003
2011,Urban regions,Yes,0.27328,2647,7873,0.26343,0.28312
2011,Urban regions,No,0.65145,5226,7873,0.64093,0.66198
2011,Rural regions,Yes,0.36379,1836,4211,0.34926,0.37832
2011,Rural regions,No,0.55685,2375,4211,0.54184,0.57185
2016,Urban regions,Yes,0.27916,3086,9377,0.27008,0.28824
2016,Urban regions,No,0.71535,6291,9377,0.70622,0.72449
2016,Rural regions,Yes,0.39672,2199,4925,0.38305,0.41038
2016,Rural regions,No,0.59837,2726,4925,0.58468,0.61206
2021,Urban regions,Yes,0.28469,2434,7434,0.27443,0.29495
2021,Urban regions,No,0.70326,5000,7434,0.69288,0.71365
2021,Rural regions,Yes,0.38327,1664,3657,0.36751,0.39903
2021,Rural regions,No,0.61014,1993,3657,0.59433,0.62595
