year,regtyp,rentown,petyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Urban regions,Owner,Yes,0.38903,591,1397,0.36346,0.41461
1996,Urban regions,Owner,No,0.61097,806,1397,0.58539,0.63654
1996,Urban regions,Tenant,Yes,0.27553,875,3011,0.25957,0.29149
1996,Urban regions,Tenant,No,0.72447,2136,3011,0.70851,0.74043
1996,Rural regions,Owner,Yes,0.47462,564,998,0.44363,0.50562
1996,Rural regions,Owner,No,0.52538,434,998,0.49438,0.55637
1996,Rural regions,Tenant,Yes,0.33592,451,1225,0.30946,0.36238
1996,Rural regions,Tenant,No,0.66408,774,1225,0.63762,0.69054
2001,Urban regions,Owner,Yes,0.37090,1267,3142,0.35401,0.38779
2001,Urban regions,Owner,No,0.62910,1875,3142,0.61221,0.64599
2001,Urban regions,Tenant,Yes,0.28870,1427,4641,0.27566,0.30174
2001,Urban regions,Tenant,No,0.71130,3214,4641,0.69826,0.72434
2001,Rural regions,Owner,Yes,0.52363,1212,2125,0.50239,0.54487
2001,Rural regions,Owner,No,0.47637,913,2125,0.45513,0.49761
2001,Rural regions,Tenant,Yes,0.33357,671,1772,0.31161,0.35553
2001,Rural regions,Tenant,No,0.66643,1101,1772,0.64447,0.68839
2006,Urban regions,Owner,Yes,0.34586,1424,3709,0.33055,0.36117
2006,Urban regions,Owner,No,0.65414,2285,3709,0.63883,0.66945
2006,Urban regions,Tenant,Yes,0.27069,1333,4458,0.25764,0.28373
2006,Urban regions,Tenant,No,0.72931,3125,4458,0.71627,0.74236
2006,Rural regions,Owner,Yes,0.51274,1251,2294,0.49228,0.53320
2006,Rural regions,Owner,No,0.48726,1043,2294,0.46680,0.50772
2006,Rural regions,Tenant,Yes,0.35580,701,1802,0.33368,0.37791
2006,Rural regions,Tenant,No,0.64420,1101,1802,0.62209,0.66632
2011,Urban regions,Owner,Yes,0.31751,1328,3595,0.30229,0.33273
2011,Urban regions,Owner,No,0.62500,2267,3595,0.60918,0.64083
2011,Urban regions,Tenant,Yes,0.24080,1319,4278,0.22799,0.25362
2011,Urban regions,Tenant,No,0.67087,2959,4278,0.65679,0.68496
2011,Rural regions,Owner,Yes,0.43201,1179,2349,0.41197,0.45204
2011,Rural regions,Owner,No,0.50082,1170,2349,0.48060,0.52105
2011,Rural regions,Tenant,Yes,0.28775,657,1862,0.26719,0.30832
2011,Rural regions,Tenant,No,0.61929,1205,1862,0.59723,0.64135
2016,Urban regions,Owner,Yes,0.32088,1425,3771,0.30598,0.33578
2016,Urban regions,Owner,No,0.67912,2346,3771,0.66422,0.69402
2016,Urban regions,Tenant,Yes,0.25006,1661,5605,0.23872,0.26139
2016,Urban regions,Tenant,No,0.74994,3944,5605,0.73861,0.76128
2016,Rural regions,Owner,Yes,0.45284,1290,2531,0.43344,0.47224
2016,Rural regions,Owner,No,0.54716,1241,2531,0.52776,0.56656
2016,Rural regions,Tenant,Yes,0.33875,909,2394,0.31979,0.35772
2016,Rural regions,Tenant,No,0.66125,1485,2394,0.64228,0.68021
2021,Urban regions,Owner,Yes,0.33541,1242,3126,0.31886,0.35196
2021,Urban regions,Owner,No,0.66446,1884,3126,0.64791,0.68102
2021,Urban regions,Tenant,Yes,0.24477,1191,4304,0.23192,0.25762
2021,Urban regions,Tenant,No,0.73374,3113,4304,0.72053,0.74695
2021,Rural regions,Owner,Yes,0.44464,1012,1957,0.42261,0.46666
2021,Rural regions,Owner,No,0.55522,945,1957,0.53320,0.57725
2021,Rural regions,Tenant,Yes,0.31583,651,1699,0.29372,0.33794
2021,Rural regions,Tenant,No,0.67052,1048,1699,0.64816,0.69287
