year,quintil_oecd_hh,regtyp,petyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,1st Quintile,Urban regions,Yes,0.31417,283,908,0.28396,0.34438
1996,1st Quintile,Urban regions,No,0.68583,625,908,0.65562,0.71604
1996,1st Quintile,Rural regions,Yes,0.34995,200,503,0.30823,0.39167
1996,1st Quintile,Rural regions,No,0.65005,303,503,0.60833,0.69177
1996,2nd Quintile,Urban regions,Yes,0.29842,293,890,0.26834,0.32850
1996,2nd Quintile,Urban regions,No,0.70158,597,890,0.67150,0.73166
1996,2nd Quintile,Rural regions,Yes,0.41848,242,511,0.37566,0.46129
1996,2nd Quintile,Rural regions,No,0.58152,269,511,0.53871,0.62434
1996,3rd Quintile,Urban regions,Yes,0.34140,295,850,0.30950,0.37329
1996,3rd Quintile,Urban regions,No,0.65860,555,850,0.62671,0.69050
1996,3rd Quintile,Rural regions,Yes,0.42869,269,544,0.38706,0.47031
1996,3rd Quintile,Rural regions,No,0.57131,275,544,0.52969,0.61294
1996,4th Quintile,Urban regions,Yes,0.34156,320,906,0.31066,0.37246
1996,4th Quintile,Urban regions,No,0.65844,586,906,0.62754,0.68934
1996,4th Quintile,Rural regions,Yes,0.45871,194,392,0.40932,0.50810
1996,4th Quintile,Rural regions,No,0.54129,198,392,0.49190,0.59068
1996,5th Quintile,Urban regions,Yes,0.29309,274,850,0.26247,0.32371
1996,5th Quintile,Urban regions,No,0.70691,576,850,0.67629,0.73753
1996,5th Quintile,Rural regions,Yes,0.34182,109,272,0.28535,0.39830
1996,5th Quintile,Rural regions,No,0.65818,163,272,0.60170,0.71465
2001,1st Quintile,Urban regions,Yes,0.30396,455,1434,0.28015,0.32778
2001,1st Quintile,Urban regions,No,0.69604,979,1434,0.67222,0.71985
2001,1st Quintile,Rural regions,Yes,0.42128,365,797,0.38698,0.45558
2001,1st Quintile,Rural regions,No,0.57872,432,797,0.54442,0.61302
2001,2nd Quintile,Urban regions,Yes,0.32548,543,1494,0.30171,0.34925
2001,2nd Quintile,Urban regions,No,0.67452,951,1494,0.65075,0.69829
2001,2nd Quintile,Rural regions,Yes,0.44647,490,966,0.41511,0.47784
2001,2nd Quintile,Rural regions,No,0.55353,476,966,0.52216,0.58489
2001,3rd Quintile,Urban regions,Yes,0.34169,571,1555,0.31811,0.36527
2001,3rd Quintile,Urban regions,No,0.65831,984,1555,0.63473,0.68189
2001,3rd Quintile,Rural regions,Yes,0.44358,443,881,0.41075,0.47640
2001,3rd Quintile,Rural regions,No,0.55642,438,881,0.52360,0.58925
2001,4th Quintile,Urban regions,Yes,0.33988,593,1615,0.31678,0.36299
2001,4th Quintile,Urban regions,No,0.66012,1022,1615,0.63701,0.68322
2001,4th Quintile,Rural regions,Yes,0.43194,365,754,0.39655,0.46732
2001,4th Quintile,Rural regions,No,0.56806,389,754,0.53268,0.60345
2001,5th Quintile,Urban regions,Yes,0.29432,532,1682,0.27254,0.31611
2001,5th Quintile,Urban regions,No,0.70568,1150,1682,0.68389,0.72746
2001,5th Quintile,Rural regions,Yes,0.39762,220,499,0.35464,0.44060
2001,5th Quintile,Rural regions,No,0.60238,279,499,0.55940,0.64536
