year,hhtyp,petyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Single-person household,Yes,0.19665,298,1433,0.17606,0.21723
1996,Single-person household,No,0.80335,1135,1433,0.78277,0.82394
1996,Couple without children,Yes,0.33214,625,1841,0.31062,0.35366
1996,Couple without children,No,0.66786,1216,1841,0.64634,0.68938
1996,Single parent,Yes,0.48461,172,387,0.43476,0.53447
1996,Single parent,No,0.51539,215,387,0.46553,0.56524
1996,Couple with children,Yes,0.48482,1248,2686,0.46591,0.50372
1996,Couple with children,No,0.51518,1438,2686,0.49628,0.53409
1996,Multi-generational household,Yes,0.50360,54,124,0.41524,0.59196
1996,Multi-generational household,No,0.49640,70,124,0.40804,0.58476
1996,Other Combinations,Yes,0.58615,84,160,0.50959,0.66270
1996,Other Combinations,No,0.41385,76,160,0.33730,0.49041
2001,Single-person household,Yes,0.22974,706,2926,0.21450,0.24499
2001,Single-person household,No,0.77026,2220,2926,0.75501,0.78550
2001,Couple without children,Yes,0.33943,1286,3589,0.32393,0.35492
2001,Couple without children,No,0.66057,2303,3589,0.64508,0.67607
2001,Single parent,Yes,0.42164,314,706,0.38519,0.45810
2001,Single parent,No,0.57836,392,706,0.54190,0.61481
2001,Couple with children,Yes,0.51340,2134,4175,0.49823,0.52856
2001,Couple with children,No,0.48660,2041,4175,0.47144,0.50177
2001,Multi-generational household,Yes,0.53964,78,159,0.46193,0.61736
2001,Multi-generational household,No,0.46036,81,159,0.38264,0.53807
2001,Other Combinations,Yes,0.48963,59,125,0.40164,0.57762
2001,Other Combinations,No,0.51037,66,125,0.42238,0.59836
2006,Single-person household,Yes,0.21075,738,3288,0.19681,0.22470
2006,Single-person household,No,0.78925,2550,3288,0.77530,0.80319
2006,Couple without children,Yes,0.33050,1446,4158,0.31620,0.34480
2006,Couple without children,No,0.66950,2712,4158,0.65520,0.68380
2006,Single parent,Yes,0.47410,362,772,0.43886,0.50935
2006,Single parent,No,0.52590,410,772,0.49065,0.56114
2006,Couple with children,Yes,0.52563,2064,3837,0.50983,0.54143
2006,Couple with children,No,0.47437,1773,3837,0.45857,0.49017
2006,Multi-generational household,Yes,0.47698,59,105,0.38098,0.57297
2006,Multi-generational household,No,0.52302,46,105,0.42703,0.61902
2006,Other Combinations,Yes,0.37271,41,105,0.27978,0.46564
2006,Other Combinations,No,0.62729,64,105,0.53436,0.72022
2011,Single-person household,Yes,0.22152,798,3510,0.20778,0.23526
2011,Single-person household,No,0.77666,2712,3510,0.76288,0.79044
2011,Couple without children,Yes,0.32879,1494,4371,0.31486,0.34272
2011,Couple without children,No,0.67092,2877,4371,0.65699,0.68485
2011,Single parent,Yes,0.21897,344,784,0.19000,0.24793
2011,Single parent,No,0.30588,440,784,0.27360,0.33815
2011,Couple with children,Yes,0.42503,1762,3240,0.40800,0.44205
2011,Couple with children,No,0.36935,1478,3240,0.35273,0.38597
2011,Multi-generational household,Yes,0.43278,45,84,0.32619,0.53937
2011,Multi-generational household,No,0.44644,39,84,0.33949,0.55339
2011,Other Combinations,Yes,0.40182,40,95,0.30271,0.50093
2011,Other Combinations,No,0.55800,55,95,0.45761,0.65840
2016,Single-person household,Yes,0.19996,688,3388,0.18649,0.21343
2016,Single-person household,No,0.79383,2700,3388,0.78020,0.80745
2016,Couple without children,Yes,0.32739,1346,4097,0.31302,0.34177
2016,Couple without children,No,0.67183,2751,4097,0.65745,0.68621
2016,Single parent,Yes,0.47328,736,1524,0.44820,0.49835
2016,Single parent,No,0.52035,788,1524,0.49526,0.54544
2016,Couple with children,Yes,0.47314,2402,4990,0.45929,0.48700
2016,Couple with children,No,0.51929,2588,4990,0.50542,0.53315
2016,Multi-generational household,Yes,0.57869,59,108,0.48513,0.67225
2016,Multi-generational household,No,0.41321,49,108,0.31991,0.50652
2016,Other Combinations,Yes,0.31632,54,195,0.25088,0.38176
2016,Other Combinations,No,0.64571,141,195,0.57840,0.71301
2021,Single-person household,Yes,0.20562,671,3199,0.19161,0.21962
2021,Single-person household,No,0.78487,2528,3199,0.77063,0.79911
2021,Couple without children,Yes,0.32258,1126,3422,0.30692,0.33825
2021,Couple without children,No,0.67566,2296,3422,0.65998,0.69135
2021,Single parent,Yes,0.54138,509,896,0.50874,0.57403
2021,Single parent,No,0.44293,387,896,0.41038,0.47547
2021,Couple with children,Yes,0.46165,1631,3175,0.44431,0.47900
2021,Couple with children,No,0.51784,1544,3175,0.50046,0.53523
2021,Multi-generational household,Yes,0.53306,44,75,0.41939,0.64673
2021,Multi-generational household,No,0.44976,31,75,0.33642,0.56311
2021,Other Combinations,Yes,0.35947,99,265,0.30158,0.41735
2021,Other Combinations,No,0.61448,166,265,0.55577,0.67320
