year,regtyp,rentown,hlc0083_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1995,Urban regions,Owner,No,0.91812,1279,1279,0.90309,0.93315
1995,Urban regions,Tenant,Yes,0.08213,247,2914,0.07216,0.09210
1995,Urban regions,Tenant,No,0.87399,2667,2914,0.86194,0.88604
1995,Rural regions,Owner,Yes,0.02475,32,902,0.01461,0.03490
1995,Rural regions,Owner,No,0.90714,870,902,0.88818,0.92609
1995,Rural regions,Tenant,Yes,0.12361,152,1180,0.10482,0.14240
1995,Rural regions,Tenant,No,0.80622,1028,1180,0.78366,0.82878
1996,Urban regions,Owner,No,0.90600,1281,1281,0.89001,0.92198
1996,Urban regions,Tenant,Yes,0.06781,220,2845,0.05857,0.07705
1996,Urban regions,Tenant,No,0.86898,2625,2845,0.85658,0.88138
1996,Rural regions,Owner,No,0.90100,894,894,0.88141,0.92059
1996,Rural regions,Tenant,Yes,0.10534,125,1145,0.08755,0.12313
1996,Rural regions,Tenant,No,0.82321,1020,1145,0.80110,0.84532
1997,Urban regions,Owner,No,0.91891,1314,1314,0.90415,0.93368
1997,Urban regions,Tenant,Yes,0.06601,213,2756,0.05673,0.07528
1997,Urban regions,Tenant,No,0.86984,2543,2756,0.85728,0.88241
1997,Rural regions,Owner,No,0.88376,914,914,0.86297,0.90455
1997,Rural regions,Tenant,Yes,0.08726,93,1096,0.07054,0.10397
1997,Rural regions,Tenant,No,0.82659,1003,1096,0.80416,0.84901
1998,Urban regions,Owner,No,0.94286,1593,1593,0.93146,0.95426
1998,Urban regions,Tenant,Yes,0.07460,241,3117,0.06538,0.08383
1998,Urban regions,Tenant,No,0.88303,2876,3117,0.87174,0.89431
1998,Rural regions,Owner,No,0.93271,1131,1131,0.91810,0.94732
1998,Rural regions,Tenant,Yes,0.11220,144,1232,0.09457,0.12984
1998,Rural regions,Tenant,No,0.84562,1088,1232,0.82544,0.86580
1999,Urban regions,Owner,No,0.99633,1652,1652,0.99341,0.99925
1999,Urban regions,Tenant,Yes,0.06208,197,3054,0.05352,0.07064
1999,Urban regions,Tenant,No,0.93792,2857,3054,0.92936,0.94648
1999,Rural regions,Owner,Yes,0.01856,33,1196,0.01091,0.02621
1999,Rural regions,Owner,No,0.98144,1163,1196,0.97379,0.98909
1999,Rural regions,Tenant,Yes,0.11342,142,1230,0.09569,0.13115
1999,Rural regions,Tenant,No,0.88658,1088,1230,0.86885,0.90431
