year,regtyp,hlc0083_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1995,Urban regions,Yes,0.05452,264,4210,0.04766,0.06137
1995,Urban regions,No,0.89018,3946,4210,0.88074,0.89963
1995,Rural regions,Yes,0.07731,184,2082,0.06584,0.08879
1995,Rural regions,No,0.85349,1898,2082,0.83829,0.86868
1996,Urban regions,Yes,0.04556,235,4141,0.03921,0.05191
1996,Urban regions,No,0.88262,3906,4141,0.87281,0.89242
1996,Rural regions,Yes,0.06392,151,2065,0.05336,0.07447
1996,Rural regions,No,0.86047,1914,2065,0.84552,0.87542
1997,Urban regions,Yes,0.04312,222,4079,0.03689,0.04936
1997,Urban regions,No,0.88805,3857,4079,0.87837,0.89773
1997,Rural regions,Yes,0.05393,111,2028,0.04410,0.06376
1997,Rural regions,No,0.85440,1917,2028,0.83904,0.86975
1998,Urban regions,Yes,0.04861,250,4719,0.04248,0.05475
1998,Urban regions,No,0.90510,4469,4719,0.89673,0.91346
1998,Rural regions,Yes,0.06328,163,2382,0.05350,0.07305
1998,Rural regions,No,0.88947,2219,2382,0.87688,0.90207
1999,Urban regions,Yes,0.04023,208,4717,0.03462,0.04584
1999,Urban regions,No,0.95977,4509,4717,0.95416,0.96538
1999,Rural regions,Yes,0.06562,175,2426,0.05577,0.07548
1999,Rural regions,No,0.93438,2251,2426,0.92452,0.94423
2000,Urban regions,Yes,0.03858,346,8599,0.03451,0.04265
2000,Urban regions,No,0.96142,8253,8599,0.95735,0.96549
2000,Rural regions,Yes,0.04734,222,4351,0.04103,0.05365
2000,Rural regions,No,0.95266,4129,4351,0.94635,0.95897
2001,Urban regions,Yes,0.03099,258,7783,0.02714,0.03485
2001,Urban regions,No,0.96901,7525,7783,0.96515,0.97286
2001,Rural regions,Yes,0.04255,176,3897,0.03621,0.04889
2001,Rural regions,No,0.95745,3721,3897,0.95111,0.96379
2002,Urban regions,Yes,0.03419,250,8252,0.03027,0.03811
2002,Urban regions,No,0.96581,8002,8252,0.96189,0.96973
2002,Rural regions,Yes,0.04442,163,3960,0.03800,0.05084
2002,Rural regions,No,0.95558,3797,3960,0.94916,0.96200
2003,Urban regions,Yes,0.03930,261,7982,0.03504,0.04357
2003,Urban regions,No,0.96070,7721,7982,0.95643,0.96496
2003,Rural regions,Yes,0.04964,194,3822,0.04276,0.05653
2003,Rural regions,No,0.95036,3628,3822,0.94347,0.95724
2004,Urban regions,Yes,0.04427,272,7785,0.03970,0.04884
2004,Urban regions,No,0.95573,7513,7785,0.95116,0.96030
2004,Rural regions,Yes,0.05630,200,3758,0.04893,0.06367
2004,Rural regions,No,0.94370,3558,3758,0.93633,0.95107
2005,Urban regions,Yes,0.03264,219,7553,0.02863,0.03665
2005,Urban regions,No,0.96736,7334,7553,0.96335,0.97137
2005,Rural regions,Yes,0.03607,137,3646,0.03002,0.04213
2005,Rural regions,No,0.96393,3509,3646,0.95787,0.96998
2006,Urban regions,Yes,0.02980,208,8168,0.02611,0.03348
2006,Urban regions,No,0.97020,7960,8168,0.96652,0.97389
2006,Rural regions,Yes,0.03671,141,4097,0.03095,0.04247
2006,Rural regions,No,0.96329,3956,4097,0.95753,0.96905
2007,Urban regions,Yes,0.02978,181,7609,0.02596,0.03360
2007,Urban regions,No,0.97022,7428,7609,0.96640,0.97404
2007,Rural regions,Yes,0.03107,115,3844,0.02559,0.03656
2007,Rural regions,No,0.96893,3729,3844,0.96344,0.97441
2008,Urban regions,Yes,0.02687,165,7190,0.02313,0.03060
2008,Urban regions,No,0.97313,7025,7190,0.96940,0.97687
2008,Rural regions,Yes,0.02640,97,3632,0.02118,0.03161
2008,Rural regions,No,0.97360,3535,3632,0.96839,0.97882
2009,Urban regions,Yes,0.02471,147,6699,0.02099,0.02843
2009,Urban regions,No,0.97529,6552,6699,0.97157,0.97901
2009,Rural regions,Yes,0.02724,99,3478,0.02183,0.03265
2009,Rural regions,No,0.97276,3379,3478,0.96735,0.97817
2010,Urban regions,Yes,0.02660,383,8830,0.02324,0.02995
2010,Urban regions,No,0.93698,8447,8830,0.93191,0.94205
2010,Rural regions,Yes,0.02597,230,4567,0.02136,0.03059
2010,Rural regions,No,0.92881,4337,4567,0.92135,0.93627
2011,Urban regions,Yes,0.02394,435,10519,0.02102,0.02686
2011,Urban regions,No,0.94772,10084,10519,0.94346,0.95197
2011,Rural regions,Yes,0.02709,295,5708,0.02288,0.03130
2011,Rural regions,No,0.93934,5413,5708,0.93315,0.94554
2012,Urban regions,Yes,0.02011,332,10236,0.01740,0.02283
2012,Urban regions,No,0.95577,9904,10236,0.95179,0.95975
2012,Rural regions,Yes,0.02502,249,5718,0.02097,0.02907
2012,Rural regions,No,0.94562,5469,5718,0.93974,0.95150
2013,Urban regions,Yes,0.01919,371,11627,0.01670,0.02168
2013,Urban regions,No,0.95561,11256,11627,0.95187,0.95935
2013,Rural regions,Yes,0.02339,237,5888,0.01953,0.02725
2013,Rural regions,No,0.94850,5651,5888,0.94285,0.95414
2014,Urban regions,Yes,0.01621,241,10265,0.01376,0.01865
2014,Urban regions,No,0.96129,10024,10265,0.95756,0.96502
2014,Rural regions,Yes,0.02008,168,5338,0.01632,0.02385
2014,Rural regions,No,0.95002,5170,5338,0.94418,0.95587
2015,Urban regions,Yes,0.01386,220,9322,0.01149,0.01624
2015,Urban regions,No,0.83187,9102,9322,0.82427,0.83946
2015,Rural regions,Yes,0.01393,129,4744,0.01060,0.01727
2015,Rural regions,No,0.80229,4615,4744,0.79096,0.81363
2016,Urban regions,Yes,0.01492,326,10668,0.01262,0.01723
2016,Urban regions,No,0.96791,10342,10668,0.96457,0.97126
2016,Rural regions,Yes,0.01694,172,5462,0.01352,0.02036
2016,Rural regions,No,0.95390,5290,5462,0.94833,0.95946
2017,Urban regions,Yes,0.01445,362,11902,0.01231,0.01660
2017,Urban regions,No,0.96754,11540,11902,0.96436,0.97072
2017,Rural regions,Yes,0.01727,224,6159,0.01401,0.02052
2017,Rural regions,No,0.95972,5935,6159,0.95481,0.96463
2018,Urban regions,Yes,0.01535,470,11819,0.01314,0.01757
2018,Urban regions,No,0.97177,11349,11819,0.96879,0.97476
2018,Rural regions,Yes,0.01922,254,5869,0.01571,0.02274
2018,Rural regions,No,0.95878,5615,5869,0.95369,0.96387
2019,Urban regions,Yes,0.01489,288,11898,0.01271,0.01707
2019,Urban regions,No,0.97153,11610,11898,0.96854,0.97452
2019,Rural regions,Yes,0.02046,163,5926,0.01685,0.02406
2019,Rural regions,No,0.96634,5763,5926,0.96175,0.97093
2020,Urban regions,Yes,0.01388,356,13181,0.01189,0.01588
2020,Urban regions,No,0.96086,12825,13181,0.95755,0.96417
2020,Rural regions,Yes,0.01454,162,5841,0.01147,0.01761
2020,Rural regions,No,0.96336,5679,5841,0.95854,0.96818
2021,Urban regions,Yes,0.01667,306,8550,0.01395,0.01938
2021,Urban regions,No,0.97397,8244,8550,0.97059,0.97734
2021,Rural regions,Yes,0.01913,105,3916,0.01484,0.02342
2021,Rural regions,No,0.97421,3811,3916,0.96925,0.97918
2022,Urban regions,Yes,0.01826,333,13929,0.01604,0.02049
2022,Urban regions,No,0.96299,13596,13929,0.95986,0.96613
2022,Rural regions,Yes,0.01931,132,6227,0.01589,0.02273
2022,Rural regions,No,0.96368,6095,6227,0.95904,0.96833
