"year","sampreg","sex","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lowerconfidence_mean","upperconfidence_mean","minimum","maximum","lowerconfidence_median","upperconfidence_median"
"1984","Ostdeutschland","maennlich","","","","","","","","","","","","","",""
"1984","Ostdeutschland","weiblich","","","","","","","","","","","","","",""
"1984","Westdeutschland","maennlich","7.42","7.5","5927","5","6","9","10","10","7.37","7.47","0","10","8","8"
"1984","Westdeutschland","weiblich","7.43","7.5","6184","5","6","9","10","10","7.38","7.48","0","10","8","8"
"1985","Ostdeutschland","maennlich","","","","","","","","","","","","","",""
"1985","Ostdeutschland","weiblich","","","","","","","","","","","","","",""
"1985","Westdeutschland","maennlich","7.24","7.5","5400","5","6","8","10","10","7.19","7.29","0","10","8","8"
"1985","Westdeutschland","weiblich","7.23","7.5","5586","5","6","9","10","10","7.18","7.28","0","10","8","8"
"1986","Ostdeutschland","maennlich","","","","","","","","","","","","","",""
"1986","Ostdeutschland","weiblich","","","","","","","","","","","","","",""
"1986","Westdeutschland","maennlich","7.32","7.5","5212","5","6","8","10","10","7.27","7.37","0","10","8","8"
"1986","Westdeutschland","weiblich","7.29","7.5","5336","5","6","9","10","10","7.24","7.34","0","10","8","8"
"1987","Ostdeutschland","maennlich","","","","","","","","","","","","","",""
"1987","Ostdeutschland","weiblich","","","","","","","","","","","","","",""
"1987","Westdeutschland","maennlich","7.12","6.5","5155","5","6","8","9","10","7.07","7.17","0","10","7","8"
"1987","Westdeutschland","weiblich","7.08","6.5","5263","5","6","8","10","10","7.03","7.13","0","10","7","8"
"1988","Ostdeutschland","maennlich","","","","","","","","","","","","","",""
"1988","Ostdeutschland","weiblich","","","","","","","","","","","","","",""
"1988","Westdeutschland","maennlich","7.01","6.5","4913","5","6","8","9","10","6.96","7.06","0","10","7","8"
"1988","Westdeutschland","weiblich","7.02","6.5","5015","4","6","8","10","10","6.96","7.08","0","10","7","8"
"1989","Ostdeutschland","maennlich","","","","","","","","","","","","","",""
"1989","Ostdeutschland","weiblich","","","","","","","","","","","","","",""
"1989","Westdeutschland","maennlich","7.07","6.5","4743","5","6","8","9","10","7.02","7.12","0","10","7","8"
"1989","Westdeutschland","weiblich","7.05","7.5","4888","5","6","8","9","10","6.99","7.11","0","10","7","8"
"1990","Ostdeutschland","maennlich","6.63","6.5","2090","5","5","8","9","10","6.55","6.71","0","10","7","7"
"1990","Ostdeutschland","weiblich","6.51","6.5","2308","5","5","8","9","10","6.43","6.59","0","10","7","7"
"1990","Westdeutschland","maennlich","7.28","7.5","4645","5","6","8","9","10","7.23","7.33","0","10","8","8"
"1990","Westdeutschland","weiblich","7.22","7.5","4776","5","6","8","9","10","7.17","7.27","0","10","8","8"
"1991","Ostdeutschland","maennlich","6.07","5.5","1960","3","5","8","8","10","5.98","6.16","0","10","6","6"
"1991","Ostdeutschland","weiblich","6","5.5","2132","3","5","8","8","10","5.92","6.08","0","10","6","6"
"1991","Westdeutschland","maennlich","7.34","7.5","4620","5","7","8","9","10","7.29","7.39","0","10","8","8"
"1991","Westdeutschland","weiblich","7.33","7.5","4741","5","6","8","9","10","7.28","7.38","0","10","8","8"
"1992","Ostdeutschland","maennlich","6.09","5.5","1873","4","5","7","8","10","6.01","6.17","0","10","6","6"
"1992","Ostdeutschland","weiblich","6.09","5.5","2069","4","5","7","8","10","6.01","6.17","0","10","6","6"
"1992","Westdeutschland","maennlich","7.28","7.5","4541","5","6","8","9","10","7.23","7.33","0","10","8","8"
"1992","Westdeutschland","weiblich","7.21","7.5","4744","5","6","8","9","10","7.16","7.26","0","10","8","8"
"1993","Ostdeutschland","maennlich","6.22","5.5","1807","4","5","8","8","10","6.14","6.3","0","10","6","7"
"1993","Ostdeutschland","weiblich","6.19","5.5","1997","4","5","8","8","10","6.1","6.28","0","10","6","7"
"1993","Westdeutschland","maennlich","7.16","7.5","4528","5","6","8","9","10","7.11","7.21","0","10","7","8"
"1993","Westdeutschland","weiblich","7.17","7.5","4705","5","6","8","9","10","7.12","7.22","0","10","7","8"
"1994","Ostdeutschland","maennlich","6.3","6.5","1786","4","5","8","8","10","6.22","6.38","0","10","7","7"
"1994","Ostdeutschland","weiblich","6.26","5.5","1973","4","5","8","8","10","6.18","6.34","0","10","6","7"
"1994","Westdeutschland","maennlich","7.07","6.5","4393","5","6","8","9","10","7.02","7.12","0","10","7","8"
"1994","Westdeutschland","weiblich","7.04","6.5","4650","5","6","8","9","10","6.99","7.09","0","10","7","7"
