"year","migback","sampreg","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lowerconfidence_mean","upperconfidence_mean","minimum","maximum","lowerconfidence_median","upperconfidence_median"
"1984","direkter Migrationshintergrund","Ostdeutschland","","","","","","","","","","","","","",""
"1984","direkter Migrationshintergrund","Westdeutschland","7.33","7.5","3353","5","6","9","10","10","7.25","7.41","0","10","8","8"
"1984","indirekter Migrationshintergrund","Ostdeutschland","","","","","","","","","","","","","",""
"1984","indirekter Migrationshintergrund","Westdeutschland","7.6","7.5","126","5","6","9","10","10","7.28","7.92","2","10","8","9"
"1984","kein Migrationshintergrund","Ostdeutschland","","","","","","","","","","","","","",""
"1984","kein Migrationshintergrund","Westdeutschland","7.43","7.5","8632","5","6","9","10","10","7.39","7.47","0","10","8","8"
"1984","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","","","","","","","","","","","",""
"1984","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","","","","","","","","","","","",""
"1985","direkter Migrationshintergrund","Ostdeutschland","","","","","","","","","","","","","",""
"1985","direkter Migrationshintergrund","Westdeutschland","7.12","7.5","2895","5","6","9","10","10","7.04","7.2","0","10","7","8"
"1985","indirekter Migrationshintergrund","Ostdeutschland","","","","","","","","","","","","","",""
"1985","indirekter Migrationshintergrund","Westdeutschland","7.56","7.5","140","5","7","9","10","10","7.24","7.88","0","10","8","8"
"1985","kein Migrationshintergrund","Ostdeutschland","","","","","","","","","","","","","",""
"1985","kein Migrationshintergrund","Westdeutschland","7.24","7.5","7951","5","6","9","10","10","7.2","7.28","0","10","8","8"
"1985","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","","","","","","","","","","","",""
"1985","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","","","","","","","","","","","",""
"1986","direkter Migrationshintergrund","Ostdeutschland","","","","","","","","","","","","","",""
"1986","direkter Migrationshintergrund","Westdeutschland","7.2","7.5","2816","5","6","9","10","10","7.12","7.28","0","10","7","8"
"1986","indirekter Migrationshintergrund","Ostdeutschland","","","","","","","","","","","","","",""
"1986","indirekter Migrationshintergrund","Westdeutschland","7.33","7.5","154","5","6","9","9","10","7.05","7.61","3","10","8","8"
"1986","kein Migrationshintergrund","Ostdeutschland","","","","","","","","","","","","","",""
"1986","kein Migrationshintergrund","Westdeutschland","7.31","7.5","7578","5","6","9","10","10","7.27","7.35","0","10","8","8"
"1986","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","","","","","","","","","","","",""
"1986","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","","","","","","","","","","","",""
"1987","direkter Migrationshintergrund","Ostdeutschland","","","","","","","","","","","","","",""
"1987","direkter Migrationshintergrund","Westdeutschland","7.1","6.5","2807","5","6","8","10","10","7.02","7.18","0","10","7","8"
"1987","indirekter Migrationshintergrund","Ostdeutschland","","","","","","","","","","","","","",""
"1987","indirekter Migrationshintergrund","Westdeutschland","7.3","7.5","174","5","7","9","10","10","7.02","7.58","0","10","8","8"
"1987","kein Migrationshintergrund","Ostdeutschland","","","","","","","","","","","","","",""
"1987","kein Migrationshintergrund","Westdeutschland","7.1","6.5","7437","5","6","8","9","10","7.06","7.14","0","10","7","8"
"1987","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","","","","","","","","","","","",""
"1987","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","","","","","","","","","","","",""
"1988","direkter Migrationshintergrund","Ostdeutschland","","","","","","","","","","","","","",""
"1988","direkter Migrationshintergrund","Westdeutschland","7.07","6.5","2657","5","6","8","9","10","7","7.14","0","10","7","8"
"1988","indirekter Migrationshintergrund","Ostdeutschland","","","","","","","","","","","","","",""
"1988","indirekter Migrationshintergrund","Westdeutschland","7.33","7.5","221","4","6","9","10","10","7.09","7.57","0","10","8","8"
"1988","kein Migrationshintergrund","Ostdeutschland","","","","","","","","","","","","","",""
"1988","kein Migrationshintergrund","Westdeutschland","7","6.5","7050","4","6","8","9","10","6.95","7.05","0","10","7","8"
"1988","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","","","","","","","","","","","",""
"1988","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","","","","","","","","","","","",""
"1989","direkter Migrationshintergrund","Ostdeutschland","","","","","","","","","","","","","",""
"1989","direkter Migrationshintergrund","Westdeutschland","6.99","6.5","2584","5","6","8","9","10","6.92","7.06","0","10","7","7"
"1989","indirekter Migrationshintergrund","Ostdeutschland","","","","","","","","","","","","","",""
"1989","indirekter Migrationshintergrund","Westdeutschland","7.53","7.5","258","5","7","9","10","10","7.32","7.74","0","10","8","8"
"1989","kein Migrationshintergrund","Ostdeutschland","","","","","","","","","","","","","",""
"1989","kein Migrationshintergrund","Westdeutschland","7.07","7.5","6789","5","6","8","9","10","7.02","7.12","0","10","8","8"
"1989","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","","","","","","","","","","","",""
