"year","alter_gr","sex","mean","median","n","lower_confidence","upper_confidence"
"1984","16-34 J.","männlich","7.32","7.5","2253","7.23","7.41"
"1984","16-34 J.","weiblich","7.43","7.5","2317","7.34","7.52"
"1984","35-65 J.","männlich","7.46","7.5","3173","7.39","7.53"
"1984","35-65 J.","weiblich","7.48","7.5","3109","7.41","7.55"
"1984","66 und älter","männlich","7.52","7.5","501","7.32","7.72"
"1984","66 und älter","weiblich","7.3","7.5","758","7.13","7.47"
"1985","16-34 J.","männlich","7.22","7.5","2087","7.14","7.3"
"1985","16-34 J.","weiblich","7.2","7.5","2064","7.11","7.29"
"1985","35-65 J.","männlich","7.2","7.5","2871","7.13","7.27"
"1985","35-65 J.","weiblich","7.24","7.5","2866","7.16","7.32"
"1985","66 und älter","männlich","7.4","7.5","442","7.19","7.61"
"1985","66 und älter","weiblich","7.24","7.5","656","7.07","7.41"
"1986","16-34 J.","männlich","7.36","7.5","2071","7.28","7.44"
"1986","16-34 J.","weiblich","7.29","7.5","2003","7.21","7.37"
"1986","35-65 J.","männlich","7.25","7.5","2722","7.18","7.32"
"1986","35-65 J.","weiblich","7.2","7.5","2725","7.13","7.27"
"1986","66 und älter","männlich","7.49","7.5","419","7.29","7.69"
"1986","66 und älter","weiblich","7.49","7.5","608","7.32","7.66"
"1987","16-34 J.","männlich","7.14","6.5","2059","7.06","7.22"
"1987","16-34 J.","weiblich","7.1","7.5","1952","7.01","7.19"
"1987","35-65 J.","männlich","7.06","6.5","2673","6.99","7.13"
"1987","35-65 J.","weiblich","7.03","6.5","2668","6.96","7.1"
"1987","66 und älter","männlich","7.3","7.5","423","7.1","7.5"
"1987","66 und älter","weiblich","7.17","7.5","643","7","7.34"
"1988","16-34 J.","männlich","7.01","6.5","1966","6.93","7.09"
"1988","16-34 J.","weiblich","7.14","7.5","1864","7.05","7.23"
"1988","35-65 J.","männlich","6.96","6.5","2534","6.89","7.03"
"1988","35-65 J.","weiblich","6.99","6.5","2533","6.91","7.07"
"1988","66 und älter","männlich","7.16","7.5","413","6.95","7.37"
"1988","66 und älter","weiblich","6.89","6.5","618","6.71","7.07"
"1989","16-34 J.","männlich","7.12","6.5","1923","7.04","7.2"
"1989","16-34 J.","weiblich","7.17","7.5","1828","7.08","7.26"
"1989","35-65 J.","männlich","6.99","6.5","2426","6.91","7.07"
"1989","35-65 J.","weiblich","7.03","6.5","2445","6.95","7.11"
"1989","66 und älter","männlich","7.26","7.5","394","7.05","7.47"
"1989","66 und älter","weiblich","6.96","6.5","615","6.79","7.13"
"1990","16-34 J.","männlich","7.21","7.5","2673","7.14","7.28"
"1990","16-34 J.","weiblich","7.19","7.5","2642","7.12","7.26"
"1990","35-65 J.","männlich","7.09","6.5","3513","7.03","7.15"
"1990","35-65 J.","weiblich","7.11","6.5","3541","7.05","7.17"
"1990","66 und älter","männlich","7.27","7.5","549","7.1","7.44"
"1990","66 und älter","weiblich","6.86","6.5","901","6.72","7"
"1991","16-34 J.","männlich","7.12","6.5","2569","7.05","7.19"
"1991","16-34 J.","weiblich","7.15","6.5","2527","7.08","7.22"
"1991","35-65 J.","männlich","7.01","6.5","3464","6.95","7.07"
"1991","35-65 J.","weiblich","7.01","6.5","3473","6.95","7.07"
"1991","66 und älter","männlich","7.29","7.5","547","7.12","7.46"
"1991","66 und älter","weiblich","7.04","7.5","873","6.9","7.18"
"1992","16-34 J.","männlich","7.13","6.5","2470","7.06","7.2"
"1992","16-34 J.","weiblich","7.11","6.5","2475","7.04","7.18"
"1992","35-65 J.","männlich","6.97","6.5","3398","6.91","7.03"
"1992","35-65 J.","weiblich","6.95","6.5","3449","6.89","7.01"
"1992","66 und älter","männlich","7.13","6.5","546","6.96","7.3"
"1992","66 und älter","weiblich","6.89","6.5","889","6.75","7.03"
"1993","16-34 J.","männlich","7.04","6.5","2449","6.97","7.11"
"1993","16-34 J.","weiblich","7.08","6.5","2422","7.01","7.15"
"1993","35-65 J.","männlich","6.86","6.5","3336","6.8","6.92"
"1993","35-65 J.","weiblich","6.9","6.5","3371","6.83","6.97"
"1993","66 und älter","männlich","7.21","7.5","550","7.04","7.38"
"1993","66 und älter","weiblich","7","6.5","909","6.86","7.14"
