"year","quintil","regtyp","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1995","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","","","","","","","","","","","",""
"1995","1 Einkommensschwächstes Quintil","Staedtischer Raum","3.16","2.5","4287","1","2","4","5","8","3.11","3.21","1","11","4","4"
"1995","2","Laendlicher Raum","","","","","","","","","","","","","",""
"1995","2","Staedtischer Raum","2.84","2.5","3185","1","2","4","4","7","2.79","2.89","1","9","3","3"
"1995","3","Laendlicher Raum","2.93","2.5","983","2","2","4","4","6","2.86","3","1","6","3","3"
"1995","3","Staedtischer Raum","","","","","","","","","","","","","",""
"1995","4","Laendlicher Raum","2.67","1.5","478","1","2","3","4","5","2.57","2.77","1","5","2","3"
"1995","4","Staedtischer Raum","","","","","","","","","","","","","",""
"1995","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","","","","","","","","","","","",""
"1995","5 Einkommensstärkstes Quintil","Staedtischer Raum","2.3","1.5","685","1","2","3","4","5","2.22","2.38","1","6","2","2"
"1996","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","","","","","","","","","","","",""
"1996","1 Einkommensschwächstes Quintil","Staedtischer Raum","3.09","2.5","3899","1","2","4","5","8","3.04","3.14","1","11","4","4"
"1996","2","Laendlicher Raum","","","","","","","","","","","","","",""
"1996","2","Staedtischer Raum","2.94","2.5","3081","1","2","4","5","6","2.89","2.99","1","10","3","3"
"1996","3","Laendlicher Raum","","","","","","","","","","","","","",""
"1996","3","Staedtischer Raum","","","","","","","","","","","","","",""
"1996","4","Laendlicher Raum","2.68","1.5","490","1","2","3","5","5","2.58","2.78","1","6","2","3"
"1996","4","Staedtischer Raum","","","","","","","","","","","","","",""
"1996","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","","","","","","","","","","","",""
"1996","5 Einkommensstärkstes Quintil","Staedtischer Raum","2.33","1.5","759","1","2","3","4","5","2.25","2.41","1","5","2","2"
"1997","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","","","","","","","","","","","",""
"1997","1 Einkommensschwächstes Quintil","Staedtischer Raum","3.09","2.5","3651","1","2","4","5","7","3.04","3.14","1","12","4","4"
"1997","2","Laendlicher Raum","","","","","","","","","","","","","",""
"1997","2","Staedtischer Raum","","","","","","","","","","","","","",""
"1997","3","Laendlicher Raum","","","","","","","","","","","","","",""
"1997","3","Staedtischer Raum","","","","","","","","","","","","","",""
"1997","4","Laendlicher Raum","2.74","1.5","550","1","2","4","4","6","2.65","2.83","1","6","3","3"
"1997","4","Staedtischer Raum","","","","","","","","","","","","","",""
"1997","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","","","","","","","","","","","",""
"1997","5 Einkommensstärkstes Quintil","Staedtischer Raum","2.35","1.5","781","1","2","3","4","5","2.27","2.43","1","6","2","2"
"1998","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","","","","","","","","","","","",""
"1998","1 Einkommensschwächstes Quintil","Staedtischer Raum","3.12","2.5","3857","1","2","4","5","7","3.07","3.17","1","12","3","4"
"1998","2","Laendlicher Raum","","","","","","","","","","","","","",""
"1998","2","Staedtischer Raum","2.86","2.5","3269","1","2","4","5","7","2.81","2.91","1","9","3","3"
"1998","3","Laendlicher Raum","","","","","","","","","","","","","",""
"1998","3","Staedtischer Raum","","","","","","","","","","","","","",""
"1998","4","Laendlicher Raum","2.74","2.5","639","1","2","3","4","6","2.66","2.82","1","6","3","3"
"1998","4","Staedtischer Raum","","","","","","","","","","","","","",""
"1998","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","","","","","","","","","","","",""
"1998","5 Einkommensstärkstes Quintil","Staedtischer Raum","2.26","1.5","896","1","2","3","4","5","2.19","2.33","1","6","2","2"
"1999","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","","","","","","","","","","","",""
"1999","1 Einkommensschwächstes Quintil","Staedtischer Raum","3.06","2.5","3156","1","2","4","5","7","3","3.12","1","13","3","4"
"1999","2","Laendlicher Raum","","","","","","","","","","","","","",""
"1999","2","Staedtischer Raum","2.9","2.5","3237","1","2","4","5","7","2.85","2.95","1","9","3","3"
"1999","3","Laendlicher Raum","","","","","","","","","","","","","",""
"1999","3","Staedtischer Raum","","","","","","","","","","","","","",""
"1999","4","Laendlicher Raum","2.52","1.5","691","1","2","3","4","5","2.44","2.6","1","6","3","3"
"1999","4","Staedtischer Raum","","","","","","","","","","","","","",""
"1999","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","","","","","","","","","","","",""
"1999","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","","","","","","","","","","","",""
"2000","1 Einkommensschwächstes Quintil","Laendlicher Raum","3.19","2.5","3506","1","2","4","5","7","3.14","3.24","1","9","4","4"
"2000","1 Einkommensschwächstes Quintil","Staedtischer Raum","3.1","2.5","5183","1","2","4","5","7","3.06","3.14","1","13","3","4"
"2000","2","Laendlicher Raum","2.96","2.5","3437","1","2","4","5","6","2.92","3","1","7","3","3"
"2000","2","Staedtischer Raum","2.95","2.5","5277","1","2","4","5","6","2.91","2.99","1","10","3","3"
"2000","3","Laendlicher Raum","","","","","","","","","","","","","",""
"2000","3","Staedtischer Raum","2.77","2.5","4474","1","2","4","4","6","2.73","2.81","1","8","3","3"
"2000","4","Laendlicher Raum","","","","","","","","","","","","","",""
"2000","4","Staedtischer Raum","2.51","1.5","3427","1","2","3","4","6","2.47","2.55","1","8","2","3"
"2000","5 Einkommensstärkstes Quintil","Laendlicher Raum","2.33","1.5","617","1","2","3","4","6","2.24","2.42","1","6","2","2"
"2000","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","","","","","","","","","","","",""
"2001","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","","","","","","","","","","","",""
"2001","1 Einkommensschwächstes Quintil","Staedtischer Raum","3.04","2.5","4332","1","2","4","5","7","2.99","3.09","1","12","3","4"
"2001","2","Laendlicher Raum","","","","","","","","","","","","","",""
"2001","2","Staedtischer Raum","2.99","2.5","4676","1","2","4","5","6","2.95","3.03","1","11","3","3"
"2001","3","Laendlicher Raum","","","","","","","","","","","","","",""
"2001","3","Staedtischer Raum","2.79","2.5","4188","1","2","4","4","6","2.75","2.83","1","8","3","3"
"2001","4","Laendlicher Raum","","","","","","","","","","","","","",""
"2001","4","Staedtischer Raum","2.5","1.5","3318","1","2","3","4","5","2.46","2.54","1","7","2","3"
"2001","5 Einkommensstärkstes Quintil","Laendlicher Raum","2.32","1.5","625","1","2","3","4","5","2.24","2.4","1","6","2","2"
"2001","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","","","","","","","","","","","",""
"2002","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","","","","","","","","","","","",""
"2002","1 Einkommensschwächstes Quintil","Staedtischer Raum","3.03","2.5","3725","1","2","4","5","7","2.98","3.08","1","12","3","3"
"2002","2","Laendlicher Raum","","","","","","","","","","","","","",""
"2002","2","Staedtischer Raum","3.02","2.5","4086","1","2","4","5","6","2.98","3.06","1","11","3","3"
"2002","3","Laendlicher Raum","","","","","","","","","","","","","",""
"2002","3","Staedtischer Raum","2.76","2.5","3874","1","2","4","4","5","2.72","2.8","1","9","3","3"
"2002","4","Laendlicher Raum","","","","","","","","","","","","","",""
"2002","4","Staedtischer Raum","2.35","1.5","4011","1","2","3","4","5","2.31","2.39","1","7","3","3"
"2002","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","","","","","","","","","","","",""
"2002","5 Einkommensstärkstes Quintil","Staedtischer Raum","2.34","1.5","4297","1","2","3","4","6","2.31","2.37","1","7","2","3"
"2003","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","","","","","","","","","","","",""
"2003","1 Einkommensschwächstes Quintil","Staedtischer Raum","3.01","2.5","3438","1","2","4","5","7","2.96","3.06","1","8","3","3"
"2003","2","Laendlicher Raum","","","","","","","","","","","","","",""
"2003","2","Staedtischer Raum","2.99","2.5","3812","1","2","4","5","6","2.94","3.04","1","13","3","3"
"2003","3","Laendlicher Raum","","","","","","","","","","","","","",""
"2003","3","Staedtischer Raum","2.81","2.5","3965","1","2","4","4","6","2.77","2.85","1","11","3","3"
"2003","4","Laendlicher Raum","","","","","","","","","","","","","",""
"2003","4","Staedtischer Raum","2.4","1.5","4070","1","2","3","4","5","2.36","2.44","1","7","3","3"
"2003","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","","","","","","","","","","","",""
"2003","5 Einkommensstärkstes Quintil","Staedtischer Raum","2.35","1.5","3867","1","2","3","4","6","2.31","2.39","1","7","2","3"
"2004","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","","","","","","","","","","","",""
"2004","1 Einkommensschwächstes Quintil","Staedtischer Raum","2.98","2.5","3325","1","2","4","5","6","2.92","3.04","1","13","3","3"
"2004","2","Laendlicher Raum","","","","","","","","","","","","","",""
"2004","2","Staedtischer Raum","3","2.5","3715","1","2","4","5","6","2.95","3.05","1","13","3","3"
"2004","3","Laendlicher Raum","","","","","","","","","","","","","",""
"2004","3","Staedtischer Raum","2.77","2.5","3776","1","2","4","4","6","2.73","2.81","1","7","3","3"
"2004","4","Laendlicher Raum","","","","","","","","","","","","","",""
"2004","4","Staedtischer Raum","2.39","1.5","3965","1","2","3","4","5","2.35","2.43","1","7","3","3"
"2004","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","","","","","","","","","","","",""
"2004","5 Einkommensstärkstes Quintil","Staedtischer Raum","2.35","1.5","3784","1","2","3","4","5","2.32","2.38","1","7","2","2"
"2005","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","","","","","","","","","","","",""
"2005","1 Einkommensschwächstes Quintil","Staedtischer Raum","2.97","2.5","3190","1","2","4","5","7","2.91","3.03","1","13","3","3"
"2005","2","Laendlicher Raum","","","","","","","","","","","","","",""
"2005","2","Staedtischer Raum","2.95","2.5","3425","1","2","4","5","6","2.9","3","1","9","3","3"
"2005","3","Laendlicher Raum","","","","","","","","","","","","","",""
"2005","3","Staedtischer Raum","2.8","2.5","3598","1","2","4","4","6","2.76","2.84","1","8","3","3"
"2005","4","Laendlicher Raum","","","","","","","","","","","","","",""
"2005","4","Staedtischer Raum","2.41","1.5","3784","1","2","3","4","5","2.37","2.45","1","7","3","3"
"2005","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","","","","","","","","","","","",""
"2005","5 Einkommensstärkstes Quintil","Staedtischer Raum","2.33","1.5","3755","1","2","3","4","5","2.29","2.37","1","7","2","2"
"2006","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","","","","","","","","","","","",""
"2006","1 Einkommensschwächstes Quintil","Staedtischer Raum","2.88","2.5","3290","1","2","4","5","7","2.82","2.94","1","13","3","3"
"2006","2","Laendlicher Raum","","","","","","","","","","","","","",""
"2006","2","Staedtischer Raum","2.99","2.5","3644","1","2","4","5","6","2.94","3.04","1","12","3","3"
"2006","3","Laendlicher Raum","","","","","","","","","","","","","",""
"2006","3","Staedtischer Raum","2.77","2.5","3731","1","2","4","4","6","2.73","2.81","1","7","3","3"
