year,quintil_oecd,sampreg,pli0083,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,1st Quintile,West,Daily,0.79343,1498,1837,0.77491,0.81195
1990,1st Quintile,West,At least once per week,0.13981,279,1837,0.12395,0.15567
1990,1st Quintile,West,Seldom,0.03545,60,1837,0.02699,0.04391
1990,2nd Quintile,West,Daily,0.82572,1528,1834,0.80835,0.84309
1990,2nd Quintile,West,At least once per week,0.09987,232,1834,0.08614,0.11360
1990,2nd Quintile,West,Seldom,0.04756,74,1834,0.03782,0.05731
1990,3rd Quintile,West,Daily,0.80057,1502,1842,0.78231,0.81882
1990,3rd Quintile,West,At least once per week,0.14660,283,1842,0.13044,0.16275
1990,3rd Quintile,West,Seldom,0.02661,57,1842,0.01926,0.03397
1990,4th Quintile,West,Daily,0.78665,1507,1920,0.76832,0.80498
1990,4th Quintile,West,At least once per week,0.15949,320,1920,0.14311,0.17587
1990,4th Quintile,West,At least once per month,0.01876,31,1920,0.01269,0.02484
1990,4th Quintile,West,Seldom,0.02851,62,1920,0.02106,0.03595
1990,5th Quintile,West,Daily,0.75174,1369,1800,0.73177,0.77170
1990,5th Quintile,West,At least once per week,0.17287,308,1800,0.15539,0.19034
1990,5th Quintile,West,At least once per month,0.02464,43,1800,0.01747,0.03180
1990,5th Quintile,West,Seldom,0.04317,80,1800,0.03378,0.05257
1995,1st Quintile,West,Daily,0.82769,1457,1673,0.80959,0.84579
1995,1st Quintile,West,At least once per week,0.10319,173,1673,0.08861,0.11778
1995,1st Quintile,West,Seldom,0.03232,43,1673,0.02384,0.04080
1995,1st Quintile,East,Daily,0.89065,692,749,0.86828,0.91301
1995,1st Quintile,East,At least once per week,0.06151,57,749,0.04430,0.07873
1995,2nd Quintile,West,Daily,0.86238,1581,1796,0.84644,0.87832
1995,2nd Quintile,West,At least once per week,0.09048,166,1796,0.07721,0.10375
1995,2nd Quintile,West,Seldom,0.02488,49,1796,0.01767,0.03208
1995,2nd Quintile,East,Daily,0.91044,930,1013,0.89285,0.92803
1995,2nd Quintile,East,At least once per week,0.06965,83,1013,0.05397,0.08533
