year,pgisced97,sex,pli0083,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,No answer / don't know,male,Daily,0.87564,63,63,0.79350,0.95778
1990,No answer / don't know,female,Daily,0.50012,51,51,0.36153,0.63871
1990,Pre-primary Level,male,Daily,0.87589,80,80,0.80319,0.94860
1990,Pre-primary Level,female,Daily,0.49042,43,43,0.33923,0.64161
1990,Primary Level,male,Daily,0.78648,199,239,0.73442,0.83854
1990,Primary Level,male,At least once per week,0.14772,40,239,0.10264,0.19280
1990,Primary Level,female,Daily,0.82196,305,345,0.78154,0.86239
1990,Primary Level,female,At least once per week,0.08878,40,345,0.05873,0.11884
1990,Lower Secondary Level,male,Daily,0.81223,675,810,0.78531,0.83914
1990,Lower Secondary Level,male,At least once per week,0.11558,135,810,0.09354,0.13761
1990,Lower Secondary Level,female,Daily,0.83759,1305,1549,0.81921,0.85596
1990,Lower Secondary Level,female,At least once per week,0.09750,187,1549,0.08272,0.11228
1990,Lower Secondary Level,female,Seldom,0.03164,57,1549,0.02292,0.04036
1990,Upper Secondary Level,male,Daily,0.80434,1963,2427,0.78855,0.82012
1990,Upper Secondary Level,male,At least once per week,0.14166,358,2427,0.12779,0.15554
1990,Upper Secondary Level,male,At least once per month,0.01564,37,2427,0.01070,0.02057
1990,Upper Secondary Level,male,Seldom,0.03149,69,2427,0.02454,0.03844
1990,Upper Secondary Level,female,Daily,0.80949,1669,2071,0.79257,0.82641
1990,Upper Secondary Level,female,At least once per week,0.13660,302,2071,0.12180,0.15139
1990,Upper Secondary Level,female,At least once per month,0.01825,33,2071,0.01248,0.02402
1990,Upper Secondary Level,female,Seldom,0.03138,67,2071,0.02387,0.03889
1990,Post-secondary Non-tertiary Level,male,Daily,0.68041,117,156,0.60700,0.75382
1990,Post-secondary Non-tertiary Level,male,At least once per week,0.26218,39,156,0.19294,0.33142
1990,Post-secondary Non-tertiary Level,female,Daily,0.55243,84,84,0.44546,0.65941
1990,First Stage of Tertiary Education,male,Daily,0.79116,223,266,0.74222,0.84010
1990,First Stage of Tertiary Education,male,At least once per week,0.15059,43,266,0.10753,0.19365
1990,First Stage of Tertiary Education,female,Daily,0.74270,168,211,0.68358,0.80183
1990,First Stage of Tertiary Education,female,At least once per week,0.16583,43,211,0.11552,0.21613
1990,Second Stage of Tertiary Education,male,Daily,0.66805,312,446,0.62430,0.71180
1990,Second Stage of Tertiary Education,male,At least once per week,0.22004,99,446,0.18155,0.25853
1990,Second Stage of Tertiary Education,male,Seldom,0.06937,35,446,0.04576,0.09298
1990,Second Stage of Tertiary Education,female,Daily,0.67229,149,198,0.60675,0.73784
1990,Second Stage of Tertiary Education,female,At least once per week,0.20939,49,198,0.15257,0.26621
1995,No answer / don't know,male,Daily,0.80303,95,95,0.72263,0.88343
1995,No answer / don't know,female,Daily,0.74649,121,121,0.66866,0.82433
1995,Pre-primary Level,male,Daily,0.82600,122,122,0.75845,0.89355
1995,Pre-primary Level,female,Daily,0.77294,116,116,0.69637,0.84951
1995,Primary Level,male,Daily,0.90308,190,190,0.86090,0.94526
1995,Primary Level,female,Daily,0.89135,282,282,0.85497,0.92774
1995,Lower Secondary Level,male,Daily,0.86612,751,827,0.84290,0.88934
1995,Lower Secondary Level,male,At least once per week,0.08844,76,827,0.06908,0.10781
1995,Lower Secondary Level,female,Daily,0.86155,1404,1557,0.84439,0.87871
1995,Lower Secondary Level,female,At least once per week,0.09226,153,1557,0.07788,0.10664
1995,Upper Secondary Level,male,Daily,0.86050,2901,3353,0.84877,0.87223
1995,Upper Secondary Level,male,At least once per week,0.09930,343,3353,0.08917,0.10942
1995,Upper Secondary Level,male,At least once per month,0.01164,35,3353,0.00801,0.01528
1995,Upper Secondary Level,male,Seldom,0.02124,74,3353,0.01636,0.02612
1995,Upper Secondary Level,female,Daily,0.86903,2870,3294,0.85751,0.88055
1995,Upper Secondary Level,female,At least once per week,0.08678,296,3294,0.07717,0.09640
1995,Upper Secondary Level,female,At least once per month,0.01317,41,3294,0.00928,0.01706
1995,Upper Secondary Level,female,Seldom,0.02412,87,3294,0.01888,0.02936
1995,Post-secondary Non-tertiary Level,male,Daily,0.78797,193,235,0.73560,0.84035
1995,Post-secondary Non-tertiary Level,male,At least once per week,0.18244,42,235,0.13295,0.23192
1995,Post-secondary Non-tertiary Level,female,Daily,0.65618,156,204,0.59084,0.72152
1995,Post-secondary Non-tertiary Level,female,At least once per week,0.23843,48,204,0.17981,0.29705
1995,First Stage of Tertiary Education,male,Daily,0.85915,399,452,0.82704,0.89126
1995,First Stage of Tertiary Education,male,At least once per week,0.09740,53,452,0.07004,0.12477
1995,First Stage of Tertiary Education,female,Daily,0.72930,212,265,0.67570,0.78290
1995,First Stage of Tertiary Education,female,At least once per week,0.19330,53,265,0.14566,0.24093
1995,Second Stage of Tertiary Education,male,Daily,0.75383,731,929,0.72612,0.78155
1995,Second Stage of Tertiary Education,male,At least once per week,0.17041,157,929,0.14621,0.19460
1995,Second Stage of Tertiary Education,male,Seldom,0.04321,41,929,0.03012,0.05629
1995,Second Stage of Tertiary Education,female,Daily,0.75159,614,745,0.72054,0.78264
1995,Second Stage of Tertiary Education,female,At least once per week,0.17914,131,745,0.15158,0.20669
1998,No answer / don't know,male,Daily,0.80478,239,276,0.75793,0.85162
1998,No answer / don't know,male,At least once per week,0.15739,37,276,0.11435,0.20043
1998,No answer / don't know,female,Daily,0.79091,259,296,0.74450,0.83731
1998,No answer / don't know,female,At least once per week,0.13916,37,296,0.09966,0.17866
1998,Pre-primary Level,male,Daily,0.88293,149,149,0.83114,0.93473
1998,Pre-primary Level,female,Daily,0.76977,136,136,0.69876,0.84079
1998,Primary Level,male,Daily,0.93939,175,175,0.90393,0.97484
1998,Primary Level,female,Daily,0.92167,239,239,0.88753,0.95580
1998,Lower Secondary Level,male,Daily,0.88912,817,884,0.86841,0.90983
1998,Lower Secondary Level,male,At least once per week,0.07336,67,884,0.05617,0.09056
1998,Lower Secondary Level,female,Daily,0.91639,1454,1536,0.90254,0.93023
1998,Lower Secondary Level,female,At least once per week,0.04351,82,1536,0.03330,0.05371
1998,Upper Secondary Level,male,Daily,0.87010,3051,3478,0.85892,0.88127
1998,Upper Secondary Level,male,At least once per week,0.08882,313,3478,0.07936,0.09827
1998,Upper Secondary Level,male,At least once per month,0.00924,32,3478,0.00606,0.01242
1998,Upper Secondary Level,male,Seldom,0.02507,82,3478,0.01988,0.03027
1998,Upper Secondary Level,female,Daily,0.86422,3029,3431,0.85275,0.87568
1998,Upper Secondary Level,female,At least once per week,0.09069,317,3431,0.08108,0.10030
1998,Upper Secondary Level,female,Seldom,0.02866,85,3431,0.02307,0.03424
1998,Post-secondary Non-tertiary Level,male,Daily,0.76286,186,225,0.70716,0.81856
1998,Post-secondary Non-tertiary Level,male,At least once per week,0.17622,39,225,0.12633,0.22612
1998,Post-secondary Non-tertiary Level,female,Daily,0.72642,201,252,0.67127,0.78157
1998,Post-secondary Non-tertiary Level,female,At least once per week,0.23261,51,252,0.18035,0.28488
1998,First Stage of Tertiary Education,male,Daily,0.86847,425,473,0.83797,0.89896
1998,First Stage of Tertiary Education,male,At least once per week,0.08621,48,473,0.06089,0.11153
1998,First Stage of Tertiary Education,female,Daily,0.71590,241,295,0.66435,0.76745
1998,First Stage of Tertiary Education,female,At least once per week,0.17101,54,295,0.12797,0.21405
1998,Second Stage of Tertiary Education,male,Daily,0.75348,823,1016,0.72696,0.77999
1998,Second Stage of Tertiary Education,male,At least once per week,0.18505,193,1016,0.16116,0.20895
1998,Second Stage of Tertiary Education,female,Daily,0.74146,671,862,0.71221,0.77070
1998,Second Stage of Tertiary Education,female,At least once per week,0.18972,158,862,0.16353,0.21591
1998,Second Stage of Tertiary Education,female,Seldom,0.03297,33,862,0.02104,0.04489
2003,No answer / don't know,male,Daily,0.86880,105,105,0.80391,0.93369
2003,No answer / don't know,female,Daily,0.84108,98,98,0.76832,0.91384
2003,Pre-primary Level,male,Daily,0.81661,253,286,0.77168,0.86154
2003,Pre-primary Level,male,At least once per week,0.10805,33,286,0.07201,0.14409
2003,Pre-primary Level,female,Daily,0.84490,260,306,0.80427,0.88553
2003,Pre-primary Level,female,At least once per week,0.13301,46,306,0.09489,0.17112
2003,Primary Level,male,Daily,0.87554,97,97,0.80950,0.94157
2003,Primary Level,female,Daily,0.90778,147,147,0.86084,0.95471
2003,Lower Secondary Level,male,Daily,0.90909,817,876,0.89004,0.92814
2003,Lower Secondary Level,male,At least once per week,0.06113,59,876,0.04526,0.07700
2003,Lower Secondary Level,female,Daily,0.92731,1667,1794,0.91530,0.93933
2003,Lower Secondary Level,female,At least once per week,0.04133,96,1794,0.03212,0.05055
2003,Lower Secondary Level,female,Never,0.01620,31,1794,0.01036,0.02204
2003,Upper Secondary Level,male,Daily,0.88254,4688,5307,0.87388,0.89120
2003,Upper Secondary Level,male,At least once per week,0.07902,435,5307,0.07176,0.08628
2003,Upper Secondary Level,male,At least once per month,0.01020,48,5307,0.00749,0.01290
2003,Upper Secondary Level,male,Seldom,0.01586,87,5307,0.01250,0.01922
2003,Upper Secondary Level,male,Never,0.01238,49,5307,0.00941,0.01536
2003,Upper Secondary Level,female,Daily,0.89470,5130,5764,0.88678,0.90263
2003,Upper Secondary Level,female,At least once per week,0.07061,438,5764,0.06400,0.07723
2003,Upper Secondary Level,female,At least once per month,0.00819,51,5764,0.00586,0.01052
2003,Upper Secondary Level,female,Seldom,0.01281,81,5764,0.00991,0.01571
2003,Upper Secondary Level,female,Never,0.01368,64,5764,0.01068,0.01668
2003,Post-secondary Non-tertiary Level,male,Daily,0.84381,399,457,0.81049,0.87713
2003,Post-secondary Non-tertiary Level,male,At least once per week,0.11199,58,457,0.08305,0.14094
2003,Post-secondary Non-tertiary Level,female,Daily,0.79775,534,638,0.76656,0.82894
2003,Post-secondary Non-tertiary Level,female,At least once per week,0.15388,104,638,0.12585,0.18190
2003,First Stage of Tertiary Education,male,Daily,0.86577,834,941,0.84398,0.88757
2003,First Stage of Tertiary Education,male,At least once per week,0.09448,107,941,0.07578,0.11318
2003,First Stage of Tertiary Education,female,Daily,0.82082,585,662,0.79159,0.85006
2003,First Stage of Tertiary Education,female,At least once per week,0.11351,77,662,0.08933,0.13769
2003,Second Stage of Tertiary Education,male,Daily,0.79074,1953,2426,0.77455,0.80693
2003,Second Stage of Tertiary Education,male,At least once per week,0.15380,372,2426,0.13944,0.16815
2003,Second Stage of Tertiary Education,male,Seldom,0.02657,64,2426,0.02017,0.03297
2003,Second Stage of Tertiary Education,male,Never,0.01908,37,2426,0.01363,0.02452
2003,Second Stage of Tertiary Education,female,Daily,0.78237,1475,1841,0.76351,0.80122
2003,Second Stage of Tertiary Education,female,At least once per week,0.16387,317,1841,0.14696,0.18078
2003,Second Stage of Tertiary Education,female,Seldom,0.02416,49,1841,0.01715,0.03118
2008,No answer / don't know,male,Daily,0.80922,131,131,0.74168,0.87677
2008,No answer / don't know,female,Daily,0.70309,129,129,0.62393,0.78224
2008,Pre-primary Level,male,Daily,0.77701,133,133,0.70600,0.84802
2008,Pre-primary Level,female,Daily,0.82867,147,178,0.77316,0.88418
2008,Pre-primary Level,female,At least once per week,0.14398,31,178,0.09226,0.19570
2008,Primary Level,male,Daily,0.83839,64,64,0.74749,0.92928
2008,Primary Level,female,Daily,0.87018,102,102,0.80463,0.93573
2008,Lower Secondary Level,male,Daily,0.88745,555,604,0.86222,0.91267
2008,Lower Secondary Level,male,At least once per week,0.07369,49,604,0.05283,0.09454
2008,Lower Secondary Level,female,Daily,0.91309,1253,1327,0.89793,0.92826
2008,Lower Secondary Level,female,At least once per week,0.04784,74,1327,0.03635,0.05932
2008,Upper Secondary Level,male,Daily,0.85436,3941,4587,0.84415,0.86457
2008,Upper Secondary Level,male,At least once per week,0.10239,449,4587,0.09361,0.11116
2008,Upper Secondary Level,male,At least once per month,0.01314,64,4587,0.00984,0.01643
2008,Upper Secondary Level,male,Seldom,0.02056,91,4587,0.01645,0.02467
2008,Upper Secondary Level,male,Never,0.00956,42,4587,0.00674,0.01237
2008,Upper Secondary Level,female,Daily,0.86617,4456,5107,0.85683,0.87551
2008,Upper Secondary Level,female,At least once per week,0.08694,434,5107,0.07921,0.09467
2008,Upper Secondary Level,female,At least once per month,0.01370,65,5107,0.01051,0.01689
2008,Upper Secondary Level,female,Seldom,0.01952,96,5107,0.01572,0.02331
2008,Upper Secondary Level,female,Never,0.01367,56,5107,0.01049,0.01686
2008,Post-secondary Non-tertiary Level,male,Daily,0.78756,325,414,0.74811,0.82701
2008,Post-secondary Non-tertiary Level,male,At least once per week,0.17281,89,414,0.13634,0.20927
2008,Post-secondary Non-tertiary Level,female,Daily,0.81242,519,618,0.78161,0.84322
2008,Post-secondary Non-tertiary Level,female,At least once per week,0.14481,99,618,0.11704,0.17258
2008,First Stage of Tertiary Education,male,Daily,0.86136,713,803,0.83744,0.88527
2008,First Stage of Tertiary Education,male,At least once per week,0.10769,90,803,0.08624,0.12914
2008,First Stage of Tertiary Education,female,Daily,0.81112,470,550,0.77837,0.84386
2008,First Stage of Tertiary Education,female,At least once per week,0.13513,80,550,0.10653,0.16373
2008,Second Stage of Tertiary Education,male,Daily,0.75825,1759,2285,0.74069,0.77581
2008,Second Stage of Tertiary Education,male,At least once per week,0.17155,386,2285,0.15609,0.18702
2008,Second Stage of Tertiary Education,male,At least once per month,0.02525,48,2285,0.01882,0.03168
2008,Second Stage of Tertiary Education,male,Seldom,0.02522,57,2285,0.01879,0.03165
2008,Second Stage of Tertiary Education,male,Never,0.01972,35,2285,0.01402,0.02543
2008,Second Stage of Tertiary Education,female,Daily,0.71026,1389,1840,0.68952,0.73099
2008,Second Stage of Tertiary Education,female,At least once per week,0.20469,374,1840,0.18625,0.22314
2008,Second Stage of Tertiary Education,female,Seldom,0.04163,77,1840,0.03250,0.05076
2013,No answer / don't know,male,Daily,0.75999,181,231,0.70480,0.81519
2013,No answer / don't know,male,At least once per week,0.16827,50,231,0.11992,0.21662
2013,No answer / don't know,female,Daily,0.64620,141,194,0.57874,0.71366
2013,No answer / don't know,female,At least once per week,0.27697,53,194,0.21383,0.34010
2013,Pre-primary Level,male,Daily,0.67441,130,188,0.60724,0.74157
2013,Pre-primary Level,male,At least once per week,0.21647,58,188,0.15744,0.27550
2013,Pre-primary Level,female,Daily,0.68975,154,218,0.62820,0.75130
2013,Pre-primary Level,female,At least once per week,0.25573,64,218,0.19768,0.31378
2013,Primary Level,male,Daily,0.77347,119,119,0.69794,0.84900
2013,Primary Level,female,Daily,0.90070,172,172,0.85587,0.94552
2013,Lower Secondary Level,male,Daily,0.84633,726,818,0.82160,0.87106
2013,Lower Secondary Level,male,At least once per week,0.08645,92,818,0.06718,0.10572
2013,Lower Secondary Level,female,Daily,0.89370,1486,1683,0.87897,0.90843
2013,Lower Secondary Level,female,At least once per week,0.07057,151,1683,0.05833,0.08281
2013,Lower Secondary Level,female,Seldom,0.02252,46,1683,0.01543,0.02961
2013,Upper Secondary Level,male,Daily,0.82250,4472,5446,0.81235,0.83265
2013,Upper Secondary Level,male,At least once per week,0.12203,660,5446,0.11334,0.13073
2013,Upper Secondary Level,male,At least once per month,0.02026,108,5446,0.01652,0.02400
2013,Upper Secondary Level,male,Seldom,0.02493,155,5446,0.02079,0.02907
2013,Upper Secondary Level,male,Never,0.01027,51,5446,0.00760,0.01295
2013,Upper Secondary Level,female,Daily,0.82973,5670,6934,0.82088,0.83858
2013,Upper Secondary Level,female,At least once per week,0.10758,864,6934,0.10028,0.11487
2013,Upper Secondary Level,female,At least once per month,0.01684,109,6934,0.01381,0.01987
2013,Upper Secondary Level,female,Seldom,0.03314,223,6934,0.02893,0.03735
2013,Upper Secondary Level,female,Never,0.01272,68,6934,0.01008,0.01535
2013,Post-secondary Non-tertiary Level,male,Daily,0.73884,445,573,0.70284,0.77484
2013,Post-secondary Non-tertiary Level,male,At least once per week,0.22734,128,573,0.19299,0.26169
2013,Post-secondary Non-tertiary Level,female,Daily,0.77604,871,1102,0.75141,0.80067
2013,Post-secondary Non-tertiary Level,female,At least once per week,0.18760,231,1102,0.16454,0.21066
2013,First Stage of Tertiary Education,male,Daily,0.78179,795,990,0.75605,0.80753
2013,First Stage of Tertiary Education,male,At least once per week,0.15331,163,990,0.13085,0.17576
2013,First Stage of Tertiary Education,male,Seldom,0.02714,32,990,0.01702,0.03727
2013,First Stage of Tertiary Education,female,Daily,0.76306,482,590,0.72872,0.79740
2013,First Stage of Tertiary Education,female,At least once per week,0.14986,108,590,0.12103,0.17868
2013,Second Stage of Tertiary Education,male,Daily,0.69077,2071,2970,0.67414,0.70739
2013,Second Stage of Tertiary Education,male,At least once per week,0.22511,641,2970,0.21009,0.24013
2013,Second Stage of Tertiary Education,male,At least once per month,0.03582,112,2970,0.02913,0.04250
2013,Second Stage of Tertiary Education,male,Seldom,0.03319,109,2970,0.02675,0.03963
2013,Second Stage of Tertiary Education,male,Never,0.01512,37,2970,0.01073,0.01950
2013,Second Stage of Tertiary Education,female,Daily,0.69628,1891,2851,0.67939,0.71316
2013,Second Stage of Tertiary Education,female,At least once per week,0.21893,700,2851,0.20374,0.23411
2013,Second Stage of Tertiary Education,female,At least once per month,0.02972,97,2851,0.02348,0.03595
2013,Second Stage of Tertiary Education,female,Seldom,0.03431,113,2851,0.02763,0.04100
2013,Second Stage of Tertiary Education,female,Never,0.02077,50,2851,0.01553,0.02600
2019,No answer / don't know,male,Daily,0.68757,206,267,0.63187,0.74327
2019,No answer / don't know,male,At least once per week,0.25177,61,267,0.19961,0.30392
2019,No answer / don't know,female,Daily,0.66068,193,250,0.60187,0.71949
2019,No answer / don't know,female,At least once per week,0.23598,57,250,0.18324,0.28872
2019,Pre-primary Level,male,Daily,0.83119,119,154,0.77183,0.89054
2019,Pre-primary Level,male,At least once per week,0.12429,35,154,0.07201,0.17656
2019,Pre-primary Level,female,Daily,0.62394,97,146,0.54509,0.70278
2019,Pre-primary Level,female,At least once per week,0.30516,49,146,0.23021,0.38011
2019,Primary Level,male,Daily,0.86152,145,145,0.80510,0.91794
2019,Primary Level,female,Daily,0.81174,187,187,0.75555,0.86792
2019,Lower Secondary Level,male,Daily,0.79526,801,966,0.76980,0.82072
2019,Lower Secondary Level,male,At least once per week,0.14467,126,966,0.12247,0.16686
2019,Lower Secondary Level,male,Seldom,0.03766,39,966,0.02565,0.04967
2019,Lower Secondary Level,female,Daily,0.85586,1167,1392,0.83740,0.87432
2019,Lower Secondary Level,female,At least once per week,0.08024,164,1392,0.06596,0.09452
2019,Lower Secondary Level,female,Seldom,0.03662,61,1392,0.02675,0.04649
2019,Upper Secondary Level,male,Daily,0.81080,4097,5069,0.80002,0.82159
2019,Upper Secondary Level,male,At least once per week,0.13070,664,5069,0.12142,0.13998
2019,Upper Secondary Level,male,At least once per month,0.01462,70,5069,0.01132,0.01792
2019,Upper Secondary Level,male,Seldom,0.03305,185,5069,0.02813,0.03798
2019,Upper Secondary Level,male,Never,0.01082,53,5069,0.00797,0.01367
2019,Upper Secondary Level,female,Daily,0.81982,4933,6070,0.81015,0.82949
2019,Upper Secondary Level,female,At least once per week,0.12120,779,6070,0.11299,0.12941
2019,Upper Secondary Level,female,At least once per month,0.01498,87,6070,0.01192,0.01803
