year,pli0083,age_gr,sex,proportion,n,lower_confidence,upper_confidence
1990,Daily,46-65 y.,male,0.16792738275340394,18165,0.16249137903775668,0.1733633864690512
1990,Daily,46-65 y.,female,0.16242607619309585,18165,0.15706221141633978,0.16778994096985192
1990,Daily,30-45 y.,female,0.149910603768395,18165,0.14471917563421252,0.15510203190257746
1990,Daily,30-45 y.,male,0.14042084995186357,18165,0.13536845717791846,0.1454732427258087
1990,Daily,18-29 y.,male,0.1288681061752166,18165,0.12399559268073228,0.1337406196697009
1990,Daily,18-29 y.,female,0.12281666895887773,18165,0.11804344059664554,0.12758989732110992
1990,Daily,66 and older,female,0.07619309586026682,18165,0.07233487768894205,0.08005131403159159
1990,Daily,66 and older,male,0.05143721633888049,18165,0.048224960407492926,0.05464947227026805
1990,At least once per week,18-29 y.,male,0.20128939828080228,18165,0.1954583915113073,0.20712040505029725
1990,At least once per week,18-29 y.,female,0.18624641833810887,18165,0.18058495379625003,0.1919078828799677
1990,At least once per week,30-45 y.,male,0.17478510028653296,18165,0.16926211222210932,0.1803080883509566
1990,At least once per week,30-45 y.,female,0.15329512893982808,18165,0.14805588551638924,0.15853437236326692
1990,At least once per week,46-65 y.,male,0.12750716332378223,18165,0.12265666233701408,0.13235766431055038
1990,At least once per week,46-65 y.,female,0.11389684813753581,18165,0.10927690783315279,0.11851678844191883
1990,At least once per week,66 and older,female,0.027936962750716332,18165,0.025540475188664515,0.03033345031276815
1990,At least once per week,66 and older,male,0.01504297994269341,18165,0.013272814132122869,0.01681314575326395
1990,At least once per month,30-45 y.,male,0.19607843137254902,18165,0.19030465282556255,0.20185220991953548
1990,At least once per month,18-29 y.,male,0.17647058823529413,18165,0.17092670475179228,0.18201447171879598
1990,At least once per month,18-29 y.,female,0.1568627450980392,18165,0.15157406357206216,0.16215142662401627
1990,At least once per month,30-45 y.,female,0.1503267973856209,18165,0.14512944056985255,0.15552415420138926
1990,At least once per month,46-65 y.,female,0.1437908496732026,18165,0.13868822144024362,0.1488934779061616
1990,At least once per month,46-65 y.,male,0.0915032679738562,18165,0.08731033077744461,0.09569620517026779
1990,At least once per month,66 and older,female,0.0457516339869281,18165,0.04271304200621205,0.04879022596764415
1990,At least once per month,66 and older,male,0.0392156862745098,18165,0.036392878973713946,0.04203849357530566
1990,Seldom,30-45 y.,female,0.2054380664652568,18165,0.19956259519400243,0.21131353773651118
1990,Seldom,18-29 y.,female,0.1782477341389728,18165,0.17268202079997705,0.18381344747796854
1990,Seldom,30-45 y.,male,0.1691842900302115,18165,0.16373210310580638,0.1746364769546166
