year,migback,sampreg,pli0083,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,No migration background,West,Daily,0.78892,5183,6615,0.77909,0.79876
1990,No migration background,West,At least once per week,0.14477,991,6615,0.13629,0.15325
1990,No migration background,West,At least once per month,0.01988,130,6615,0.01652,0.02324
1990,No migration background,West,Seldom,0.03695,251,6615,0.03241,0.04150
1990,No migration background,West,Never,0.00947,60,6615,0.00714,0.01181
1990,Direct migration background,West,Daily,0.80011,1999,2487,0.78439,0.81583
1990,Direct migration background,West,At least once per week,0.14791,383,2487,0.13396,0.16187
1990,Direct migration background,West,Seldom,0.02985,69,2487,0.02316,0.03654
1990,Direct migration background,West,Never,0.01415,36,2487,0.00951,0.01880
1990,Indirect migration background,West,Daily,0.80121,224,272,0.75369,0.84872
1990,Indirect migration background,West,At least once per week,0.13310,48,272,0.09265,0.17354
1995,No migration background,West,Daily,0.82254,5263,6438,0.81320,0.83187
1995,No migration background,West,At least once per week,0.12362,844,6438,0.11558,0.13166
1995,No migration background,West,At least once per month,0.01478,96,6438,0.01183,0.01772
1995,No migration background,West,Seldom,0.02839,179,6438,0.02433,0.03245
1995,No migration background,West,Never,0.01067,56,6438,0.00816,0.01318
1995,No migration background,East,Daily,0.88496,3078,3473,0.87434,0.89557
1995,No migration background,East,At least once per week,0.07857,305,3473,0.06962,0.08752
1995,No migration background,East,Seldom,0.02170,90,3473,0.01686,0.02655
1995,Direct migration background,West,Daily,0.85656,2281,2587,0.84305,0.87007
1995,Direct migration background,West,At least once per week,0.09784,230,2587,0.08639,0.10929
1995,Direct migration background,West,Seldom,0.01884,43,2587,0.01360,0.02408
1995,Direct migration background,West,Never,0.01586,33,2587,0.01105,0.02068
1995,Direct migration background,East,Daily,0.89609,128,128,0.84302,0.94916
1995,Indirect migration background,West,Daily,0.79815,393,462,0.76151,0.83479
1995,Indirect migration background,West,At least once per week,0.14678,69,462,0.11447,0.17908
1998,No migration background,West,Daily,0.83222,6226,7477,0.82375,0.84069
1998,No migration background,West,At least once per week,0.11759,907,7477,0.11029,0.12489
1998,No migration background,West,At least once per month,0.01130,78,7477,0.00890,0.01369
1998,No migration background,West,Seldom,0.02634,184,7477,0.02271,0.02998
1998,No migration background,West,Never,0.01255,82,7477,0.01002,0.01507
1998,No migration background,East,Daily,0.89123,3269,3658,0.88114,0.90132
1998,No migration background,East,At least once per week,0.07475,304,3658,0.06623,0.08328
1998,No migration background,East,Seldom,0.02032,85,3658,0.01575,0.02490
1998,Direct migration background,West,Daily,0.86384,1998,2214,0.84955,0.87813
1998,Direct migration background,West,At least once per week,0.08702,163,2214,0.07528,0.09876
1998,Direct migration background,West,Seldom,0.02485,53,2214,0.01837,0.03134
1998,Direct migration background,East,Daily,0.89826,108,108,0.84098,0.95554
1998,Indirect migration background,West,Daily,0.81883,474,542,0.78637,0.85129
1998,Indirect migration background,West,At least once per week,0.12934,68,542,0.10106,0.15761
2003,No migration background,West,Daily,0.86471,11538,13517,0.85895,0.87048
2003,No migration background,West,At least once per week,0.09507,1456,13517,0.09013,0.10002
2003,No migration background,West,At least once per month,0.01042,129,13517,0.00870,0.01213
2003,No migration background,West,Seldom,0.01577,235,13517,0.01367,0.01787
2003,No migration background,West,Never,0.01403,159,13517,0.01205,0.01602
2003,No migration background,East,Daily,0.89040,4583,5193,0.88191,0.89890
2003,No migration background,East,At least once per week,0.07323,418,5193,0.06615,0.08032
2003,No migration background,East,At least once per month,0.00788,46,5193,0.00547,0.01028
2003,No migration background,East,Seldom,0.01846,100,5193,0.01480,0.02213
2003,No migration background,East,Never,0.01002,46,5193,0.00731,0.01273
2003,Direct migration background,West,Daily,0.87201,2200,2481,0.85887,0.88516
2003,Direct migration background,West,At least once per week,0.07826,194,2481,0.06769,0.08883
2003,Direct migration background,West,Seldom,0.01943,39,2481,0.01400,0.02487
2003,Direct migration background,West,Never,0.01924,48,2481,0.01383,0.02464
2003,Direct migration background,East,Daily,0.88138,93,93,0.81530,0.94745
2003,Indirect migration background,West,Daily,0.82027,605,704,0.79189,0.84865
2003,Indirect migration background,West,At least once per week,0.13010,99,704,0.10523,0.15497
2008,No migration background,West,Daily,0.83124,9912,11968,0.82453,0.83795
2008,No migration background,West,At least once per week,0.12067,1503,11968,0.11484,0.12651
2008,No migration background,West,At least once per month,0.01267,159,11968,0.01067,0.01468
2008,No migration background,West,Seldom,0.02294,270,11968,0.02026,0.02562
2008,No migration background,West,Never,0.01248,124,11968,0.01049,0.01446
