year,migback,pgisced97,pli0083,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,No migration background,No answer / don't know,Daily,0.69046,54,54,0.56600,0.81493
1990,No migration background,Pre-primary Level,Daily,0.69652,71,71,0.58881,0.80422
1990,No migration background,Primary Level,Daily,0.85048,54,54,0.75447,0.94648
1990,No migration background,Lower Secondary Level,Daily,0.82988,1222,1444,0.81049,0.84927
1990,No migration background,Lower Secondary Level,At least once per week,0.09911,165,1444,0.08369,0.11453
1990,No migration background,Lower Secondary Level,Seldom,0.03618,57,1444,0.02654,0.04581
1990,No migration background,Upper Secondary Level,Daily,0.80480,2913,3615,0.79187,0.81772
1990,No migration background,Upper Secondary Level,At least once per week,0.13862,522,3615,0.12735,0.14989
1990,No migration background,Upper Secondary Level,At least once per month,0.01811,66,3615,0.01377,0.02246
1990,No migration background,Upper Secondary Level,Seldom,0.03253,114,3615,0.02674,0.03831
1990,No migration background,Post-secondary Non-tertiary Level,Daily,0.61009,121,172,0.53698,0.68319
1990,No migration background,Post-secondary Non-tertiary Level,At least once per week,0.30153,51,172,0.23274,0.37031
1990,No migration background,First Stage of Tertiary Education,Daily,0.77846,351,426,0.73898,0.81795
1990,No migration background,First Stage of Tertiary Education,At least once per week,0.14816,75,426,0.11438,0.18193
1990,No migration background,Second Stage of Tertiary Education,Daily,0.66879,397,575,0.63029,0.70729
1990,No migration background,Second Stage of Tertiary Education,At least once per week,0.22083,131,575,0.18689,0.25476
1990,No migration background,Second Stage of Tertiary Education,Seldom,0.06951,47,575,0.04871,0.09032
1990,Direct migration background,No answer / don't know,Daily,0.73094,47,47,0.60278,0.85910
1990,Direct migration background,Primary Level,Daily,0.77931,435,508,0.74321,0.81541
1990,Direct migration background,Primary Level,At least once per week,0.13230,73,508,0.10281,0.16179
1990,Direct migration background,Lower Secondary Level,Daily,0.83637,667,805,0.81079,0.86194
1990,Direct migration background,Lower Secondary Level,At least once per week,0.11765,138,805,0.09538,0.13992
1990,Direct migration background,Upper Secondary Level,Daily,0.83232,655,772,0.80595,0.85869
1990,Direct migration background,Upper Secondary Level,At least once per week,0.14674,117,772,0.12176,0.17172
1990,Direct migration background,Post-secondary Non-tertiary Level,Daily,0.71799,76,76,0.61615,0.81983
1990,Direct migration background,First Stage of Tertiary Education,Daily,0.64208,34,34,0.47851,0.80564
1990,Direct migration background,Second Stage of Tertiary Education,Daily,0.67113,62,62,0.55323,0.78902
1990,Indirect migration background,Lower Secondary Level,Daily,0.82681,91,91,0.74863,0.90499
1990,Indirect migration background,Upper Secondary Level,Daily,0.75452,64,64,0.64825,0.86080
1995,No migration background,No answer / don't know,Daily,0.73550,75,75,0.63500,0.83599
1995,No migration background,Pre-primary Level,Daily,0.82534,164,164,0.76706,0.88363
1995,No migration background,Primary Level,Daily,0.83000,47,47,0.72144,0.93855
1995,No migration background,Lower Secondary Level,Daily,0.86028,1334,1515,0.84282,0.87774
1995,No migration background,Lower Secondary Level,At least once per week,0.09267,150,1515,0.07806,0.10727
1995,No migration background,Lower Secondary Level,Seldom,0.02474,31,1515,0.01692,0.03257
1995,No migration background,Upper Secondary Level,Daily,0.86484,4772,5533,0.85583,0.87385
1995,No migration background,Upper Secondary Level,At least once per week,0.09331,523,5533,0.08565,0.10098
1995,No migration background,Upper Secondary Level,At least once per month,0.01148,63,5533,0.00867,0.01428
1995,No migration background,Upper Secondary Level,Seldom,0.02362,139,5533,0.01962,0.02763
1995,No migration background,Upper Secondary Level,Never,0.00675,36,5533,0.00459,0.00890
1995,No migration background,Post-secondary Non-tertiary Level,Daily,0.71211,220,287,0.65963,0.76458
1995,No migration background,Post-secondary Non-tertiary Level,At least once per week,0.21815,67,287,0.17029,0.26602
1995,No migration background,First Stage of Tertiary Education,Daily,0.80231,553,651,0.77169,0.83293
1995,No migration background,First Stage of Tertiary Education,At least once per week,0.13456,98,651,0.10832,0.16079
1995,No migration background,Second Stage of Tertiary Education,Daily,0.74411,1176,1497,0.72200,0.76622
1995,No migration background,Second Stage of Tertiary Education,At least once per week,0.17986,261,1497,0.16039,0.19932
1995,No migration background,Second Stage of Tertiary Education,Seldom,0.03949,60,1497,0.02962,0.04936
1995,Direct migration background,No answer / don't know,Daily,0.79119,99,99,0.71072,0.87167
1995,Direct migration background,Primary Level,Daily,0.92158,414,414,0.89565,0.94750
1995,Direct migration background,Lower Secondary Level,Daily,0.87562,681,742,0.85186,0.89938
1995,Direct migration background,Lower Secondary Level,At least once per week,0.08071,61,742,0.06110,0.10032
1995,Direct migration background,Upper Secondary Level,Daily,0.87278,852,942,0.85149,0.89407
1995,Direct migration background,Upper Secondary Level,At least once per week,0.08671,90,942,0.06873,0.10469
1995,Direct migration background,Post-secondary Non-tertiary Level,Daily,0.76067,120,120,0.68401,0.83733
1995,Direct migration background,First Stage of Tertiary Education,Daily,0.86616,50,50,0.77082,0.96149
1995,Direct migration background,Second Stage of Tertiary Education,Daily,0.81825,163,163,0.75886,0.87764
1995,Indirect migration background,No answer / don't know,Daily,0.86135,42,42,0.75556,0.96713
1995,Indirect migration background,Pre-primary Level,Daily,0.73056,44,44,0.59795,0.86317
1995,Indirect migration background,Lower Secondary Level,Daily,0.85307,140,140,0.79421,0.91193
1995,Indirect migration background,Upper Secondary Level,Daily,0.78387,147,147,0.71710,0.85063
1998,No migration background,No answer / don't know,Daily,0.79015,342,399,0.75014,0.83015
