year,bula_h,quintil_oecd,pli0083,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,Schleswig-Holstein,1st Quintile,Daily,0.54493,54,54,0.41086,0.67900
1990,Schleswig-Holstein,2nd Quintile,Daily,0.63740,48,48,0.49996,0.77485
1990,Schleswig-Holstein,3rd Quintile,Daily,0.61915,40,40,0.46675,0.77156
1990,Schleswig-Holstein,4th Quintile,Daily,0.80058,47,47,0.68512,0.91605
1990,Schleswig-Holstein,5th Quintile,Daily,0.61902,31,31,0.44524,0.79280
1990,Hamburg,3rd Quintile,Daily,0.68297,32,32,0.51917,0.84678
1990,Hamburg,5th Quintile,Daily,0.81719,34,34,0.68532,0.94907
1990,Lower Saxony,1st Quintile,Daily,0.68904,182,182,0.62161,0.75648
1990,Lower Saxony,2nd Quintile,Daily,0.61800,140,140,0.53723,0.69878
1990,Lower Saxony,3rd Quintile,Daily,0.65470,132,169,0.58280,0.72660
1990,Lower Saxony,3rd Quintile,At least once per week,0.17514,37,169,0.11766,0.23261
1990,Lower Saxony,4th Quintile,Daily,0.77045,173,173,0.70760,0.83330
1990,Lower Saxony,5th Quintile,Daily,0.63738,138,171,0.56511,0.70965
1990,Lower Saxony,5th Quintile,At least once per week,0.15755,33,171,0.10279,0.21232
1990,North Rhine-Westphalia,1st Quintile,Daily,0.59766,481,563,0.55712,0.63821
1990,North Rhine-Westphalia,1st Quintile,At least once per week,0.10891,82,563,0.08316,0.13467
1990,North Rhine-Westphalia,2nd Quintile,Daily,0.67287,467,525,0.63270,0.71305
1990,North Rhine-Westphalia,2nd Quintile,At least once per week,0.06744,58,525,0.04597,0.08892
1990,North Rhine-Westphalia,3rd Quintile,Daily,0.66152,386,457,0.61808,0.70495
1990,North Rhine-Westphalia,3rd Quintile,At least once per week,0.10279,71,457,0.07491,0.13066
1990,North Rhine-Westphalia,4th Quintile,Daily,0.70084,344,408,0.65636,0.74533
1990,North Rhine-Westphalia,4th Quintile,At least once per week,0.12891,64,408,0.09636,0.16147
1990,North Rhine-Westphalia,5th Quintile,Daily,0.68531,370,451,0.64240,0.72822
1990,North Rhine-Westphalia,5th Quintile,At least once per week,0.16531,81,451,0.13099,0.19963
1990,Hesse,1st Quintile,Daily,0.59055,144,178,0.51811,0.66300
1990,Hesse,1st Quintile,At least once per week,0.11273,34,178,0.06614,0.15933
1990,Hesse,2nd Quintile,Daily,0.64699,118,118,0.56039,0.73359
1990,Hesse,3rd Quintile,Daily,0.65469,158,193,0.58744,0.72195
1990,Hesse,3rd Quintile,At least once per week,0.10513,35,193,0.06175,0.14852
1990,Hesse,4th Quintile,Daily,0.67289,169,206,0.60866,0.73711
1990,Hesse,4th Quintile,At least once per week,0.14646,37,206,0.09806,0.19486
1990,Hesse,5th Quintile,Daily,0.73424,159,159,0.66536,0.80312
1990,"Rhineland-Palatinate, Saarland",1st Quintile,Daily,0.62201,107,107,0.52970,0.71432
1990,"Rhineland-Palatinate, Saarland",2nd Quintile,Daily,0.69253,128,128,0.61227,0.77279
1990,"Rhineland-Palatinate, Saarland",3rd Quintile,Daily,0.64015,114,114,0.55165,0.72864
1990,"Rhineland-Palatinate, Saarland",4th Quintile,Daily,0.76896,110,110,0.68983,0.84809
1990,"Rhineland-Palatinate, Saarland",5th Quintile,Daily,0.71760,80,80,0.61833,0.81687
1990,Baden-Wuerttemberg,1st Quintile,Daily,0.62644,260,300,0.57160,0.68127
1990,Baden-Wuerttemberg,1st Quintile,At least once per week,0.08996,40,300,0.05753,0.12239
1990,Baden-Wuerttemberg,2nd Quintile,Daily,0.58405,299,349,0.53227,0.63584
1990,Baden-Wuerttemberg,2nd Quintile,At least once per week,0.09479,50,349,0.06402,0.12557
1990,Baden-Wuerttemberg,3rd Quintile,Daily,0.64230,334,381,0.59411,0.69050
1990,Baden-Wuerttemberg,3rd Quintile,At least once per week,0.10802,47,381,0.07681,0.13923
1990,Baden-Wuerttemberg,4th Quintile,Daily,0.66766,282,344,0.61780,0.71751
1990,Baden-Wuerttemberg,4th Quintile,At least once per week,0.16021,62,344,0.12139,0.19902
1990,Baden-Wuerttemberg,5th Quintile,Daily,0.65133,240,297,0.59704,0.70562
1990,Baden-Wuerttemberg,5th Quintile,At least once per week,0.13884,57,297,0.09945,0.17824
1990,Bavaria,1st Quintile,Daily,0.57661,174,223,0.51162,0.64161
1990,Bavaria,1st Quintile,At least once per week,0.13489,49,223,0.08995,0.17983
1990,Bavaria,2nd Quintile,Daily,0.63035,253,294,0.57508,0.68562
1990,Bavaria,2nd Quintile,At least once per week,0.08154,41,294,0.05021,0.11288
1990,Bavaria,3rd Quintile,Daily,0.61771,219,265,0.55909,0.67632
1990,Bavaria,3rd Quintile,At least once per week,0.13186,46,265,0.09104,0.17267
1990,Bavaria,4th Quintile,Daily,0.63894,281,360,0.58925,0.68863
1990,Bavaria,4th Quintile,At least once per week,0.18350,79,360,0.14346,0.22354
1990,Bavaria,5th Quintile,Daily,0.65272,259,327,0.60104,0.70441
