year,bula_h,migback,pli0083,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,Schleswig-Holstein,No migration background,Daily,0.64493,190,232,0.58321,0.70664
1990,Schleswig-Holstein,No migration background,At least once per week,0.12770,42,232,0.08466,0.17074
1990,Hamburg,No migration background,Daily,0.72593,94,94,0.63528,0.81659
1990,Hamburg,Direct migration background,Daily,0.77427,36,36,0.63577,0.91277
1990,Lower Saxony,No migration background,Daily,0.68672,626,780,0.65415,0.71929
1990,Lower Saxony,No migration background,At least once per week,0.11752,123,780,0.09491,0.14014
1990,Lower Saxony,No migration background,Seldom,0.03271,31,780,0.02022,0.04520
1990,Lower Saxony,Direct migration background,Daily,0.74567,123,123,0.66839,0.82294
1990,Bremen,No migration background,Daily,0.72759,69,69,0.62178,0.83341
1990,North Rhine-Westphalia,No migration background,Daily,0.66932,1443,1761,0.64734,0.69130
1990,North Rhine-Westphalia,No migration background,At least once per week,0.11967,254,1761,0.10451,0.13483
1990,North Rhine-Westphalia,No migration background,Seldom,0.02927,64,1761,0.02139,0.03715
1990,North Rhine-Westphalia,Direct migration background,Daily,0.81811,544,631,0.78798,0.84823
1990,North Rhine-Westphalia,Direct migration background,At least once per week,0.09980,87,631,0.07639,0.12320
1990,North Rhine-Westphalia,Indirect migration background,Daily,0.14305,63,63,0.05590,0.23021
1990,Hesse,No migration background,Daily,0.68244,469,561,0.64388,0.72099
1990,Hesse,No migration background,At least once per week,0.12073,92,561,0.09375,0.14772
1990,Hesse,Direct migration background,Daily,0.71183,258,322,0.66228,0.76137
1990,Hesse,Direct migration background,At least once per week,0.13122,64,322,0.09428,0.16816
1990,"Rhineland-Palatinate, Saarland",No migration background,Daily,0.70013,441,512,0.66040,0.73986
1990,"Rhineland-Palatinate, Saarland",No migration background,At least once per week,0.12331,71,512,0.09481,0.15182
1990,"Rhineland-Palatinate, Saarland",Direct migration background,Daily,0.71365,91,91,0.62026,0.80705
1990,Baden-Wuerttemberg,No migration background,Daily,0.64544,801,990,0.61562,0.67525
1990,Baden-Wuerttemberg,No migration background,At least once per week,0.11862,151,990,0.09847,0.13877
1990,Baden-Wuerttemberg,No migration background,Seldom,0.03106,38,990,0.02025,0.04187
1990,Baden-Wuerttemberg,Direct migration background,Daily,0.76797,557,650,0.73550,0.80045
1990,Baden-Wuerttemberg,Direct migration background,At least once per week,0.15642,93,650,0.12847,0.18437
1990,Baden-Wuerttemberg,Indirect migration background,Daily,0.15188,57,57,0.05787,0.24588
1990,Bavaria,No migration background,Daily,0.63437,875,1170,0.60676,0.66198
1990,Bavaria,No migration background,At least once per week,0.14023,208,1170,0.12032,0.16013
1990,Bavaria,No migration background,At least once per month,0.02742,39,1170,0.01805,0.03678
1990,Bavaria,No migration background,Seldom,0.03207,48,1170,0.02197,0.04217
1990,Bavaria,Direct migration background,Daily,0.71029,273,338,0.66186,0.75872
1990,Bavaria,Direct migration background,At least once per week,0.18930,65,338,0.14747,0.23112
