"pli0083","year","bildungsniveau","migback","n","percent","lower_confidence_percent","upper_confidence_percent"
"Täglich","1990","(noch) kein Abschluss","kein Migrationshintergrund","117","0.747964848102421","0.680049267576925","0.815880428627917"
"Täglich","1990","(noch) kein Abschluss","direkter Migrationshintergrund","509","0.776415268734964","0.743932154709775","0.808898382760153"
"Täglich","1990","(noch) kein Abschluss","indirekter Migrationshintergrund","42","0.83045205239264","0.725388132318799","0.935515972466481"
"Täglich","1990","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Täglich","1990","Hauptschule","kein Migrationshintergrund","3204","0.842393492340957","0.830832676516648","0.853954308165266"
"Täglich","1990","Hauptschule","direkter Migrationshintergrund","1117","0.850350725979119","0.831433428559295","0.869268023398942"
"Täglich","1990","Hauptschule","indirekter Migrationshintergrund","113","0.85194808072459","0.793534005696733","0.910362155752448"
"Täglich","1990","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Täglich","1990","Realschule","kein Migrationshintergrund","1059","0.754825784940353","0.73250564748114","0.777145922399566"
"Täglich","1990","Realschule","direkter Migrationshintergrund","102","0.760560462345069","0.690617362301332","0.830503562388807"
"Täglich","1990","Realschule","indirekter Migrationshintergrund","41","0.879122592686608","0.790520555417207","0.96772462995601"
"Täglich","1990","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Täglich","1990","(Fach-)Abitur","kein Migrationshintergrund","336","0.635411634631444","0.594002763021034","0.676820506241855"
"Täglich","1990","(Fach-)Abitur","direkter Migrationshintergrund","147","0.680847204425805","0.615753478097995","0.745940930753616"
"Täglich","1990","(Fach-)Abitur","indirekter Migrationshintergrund","12","","",""
"Täglich","1990","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Täglich","1990","AkademikerIn","kein Migrationshintergrund","397","0.668806649458109","0.631210710055502","0.706402588860716"
"Täglich","1990","AkademikerIn","direkter Migrationshintergrund","62","0.671091430087585","0.572931283992516","0.769251576182655"
"Täglich","1990","AkademikerIn","indirekter Migrationshintergrund","2","","",""
"Täglich","1990","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1990","(noch) kein Abschluss","kein Migrationshintergrund","30","0.203642520314194","0.14065035630422","0.266634684324167"
"Min 1x pro Woche","1990","(noch) kein Abschluss","direkter Migrationshintergrund","87","0.145094671726389","0.117636330612887","0.172553012839891"
"Min 1x pro Woche","1990","(noch) kein Abschluss","indirekter Migrationshintergrund","4","","",""
"Min 1x pro Woche","1990","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1990","Hauptschule","kein Migrationshintergrund","400","0.0995556465669412","0.0900560470631551","0.109055246070727"
"Min 1x pro Woche","1990","Hauptschule","direkter Migrationshintergrund","196","0.122461087479237","0.105076876305465","0.13984529865301"
"Min 1x pro Woche","1990","Hauptschule","indirekter Migrationshintergrund","25","","",""
"Min 1x pro Woche","1990","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1990","Realschule","kein Migrationshintergrund","276","0.182483696737167","0.162443759790378","0.202523633683956"
"Min 1x pro Woche","1990","Realschule","direkter Migrationshintergrund","34","0.174943550556224","0.112674696660883","0.237212404451566"
"Min 1x pro Woche","1990","Realschule","indirekter Migrationshintergrund","7","","",""
"Min 1x pro Woche","1990","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1990","(Fach-)Abitur","kein Migrationshintergrund","132","0.263367555115244","0.225473509823703","0.301261600406785"
"Min 1x pro Woche","1990","(Fach-)Abitur","direkter Migrationshintergrund","39","0.260131845595432","0.198870165037225","0.32139352615364"
"Min 1x pro Woche","1990","(Fach-)Abitur","indirekter Migrationshintergrund","10","","",""
"Min 1x pro Woche","1990","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1990","AkademikerIn","kein Migrationshintergrund","131","0.220856397561894","0.187719366726344","0.253993428397444"
"Min 1x pro Woche","1990","AkademikerIn","direkter Migrationshintergrund","17","","",""
"Min 1x pro Woche","1990","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","1990","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","1990","(noch) kein Abschluss","kein Migrationshintergrund","4","","",""
"Min 1x pro Monat","1990","(noch) kein Abschluss","direkter Migrationshintergrund","8","","",""
"Min 1x pro Monat","1990","(noch) kein Abschluss","indirekter Migrationshintergrund","1","","",""
"Min 1x pro Monat","1990","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","1990","Hauptschule","kein Migrationshintergrund","57","0.0155040809455362","0.0115841909304525","0.0194239709606199"
"Min 1x pro Monat","1990","Hauptschule","direkter Migrationshintergrund","10","","",""
"Min 1x pro Monat","1990","Hauptschule","indirekter Migrationshintergrund","","","",""
"Min 1x pro Monat","1990","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","1990","Realschule","kein Migrationshintergrund","36","0.0244783381668642","0.0164607170667284","0.032495959267"
"Min 1x pro Monat","1990","Realschule","direkter Migrationshintergrund","2","","",""
"Min 1x pro Monat","1990","Realschule","indirekter Migrationshintergrund","","","",""
"Min 1x pro Monat","1990","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","1990","(Fach-)Abitur","kein Migrationshintergrund","17","","",""
"Min 1x pro Monat","1990","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Min 1x pro Monat","1990","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Min 1x pro Monat","1990","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","1990","AkademikerIn","kein Migrationshintergrund","14","","",""
"Min 1x pro Monat","1990","AkademikerIn","direkter Migrationshintergrund","1","","",""
"Min 1x pro Monat","1990","AkademikerIn","indirekter Migrationshintergrund","1","","",""
"Min 1x pro Monat","1990","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","1990","(noch) kein Abschluss","kein Migrationshintergrund","6","","",""
"Seltener","1990","(noch) kein Abschluss","direkter Migrationshintergrund","13","","",""
"Seltener","1990","(noch) kein Abschluss","indirekter Migrationshintergrund","1","","",""
"Seltener","1990","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","1990","Hauptschule","kein Migrationshintergrund","122","0.0324318867302876","0.026811440607629","0.0380523328529462"
"Seltener","1990","Hauptschule","direkter Migrationshintergrund","31","0.0141580119847153","0.00789291880186367","0.020423105167567"
"Seltener","1990","Hauptschule","indirekter Migrationshintergrund","3","","",""
"Seltener","1990","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
