year,sex,pli0083,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,male,Daily,0.78567,3632,4642,0.77386,0.79748
1990,male,At least once per week,0.15129,732,4642,0.14098,0.16160
1990,male,At least once per month,0.01806,79,4642,0.01423,0.02189
1990,male,Seldom,0.03649,150,4642,0.03109,0.04188
1990,male,Never,0.00850,49,4642,0.00585,0.01114
1990,female,Daily,0.79460,3774,4773,0.78313,0.80606
1990,female,At least once per week,0.13925,690,4773,0.12943,0.14908
1990,female,At least once per month,0.01872,76,4773,0.01488,0.02257
1990,female,Seldom,0.03607,184,4773,0.03078,0.04137
1990,female,Never,0.01135,49,4773,0.00835,0.01436
1995,male,Daily,0.83994,5382,6375,0.83094,0.84894
1995,male,At least once per week,0.11333,712,6375,0.10555,0.12111
1995,male,At least once per month,0.01270,71,6375,0.00995,0.01545
1995,male,Seldom,0.02446,155,6375,0.02067,0.02825
1995,male,Never,0.00957,55,6375,0.00718,0.01196
1995,female,Daily,0.83777,5775,6836,0.82903,0.84651
1995,female,At least once per week,0.11073,750,6836,0.10330,0.11817
1995,female,At least once per month,0.01268,77,6836,0.01003,0.01533
1995,female,Seldom,0.02650,169,6836,0.02269,0.03031
1995,female,Never,0.01232,65,6836,0.00971,0.01494
1998,male,Daily,0.84746,5865,6859,0.83895,0.85597
1998,male,At least once per week,0.10869,715,6859,0.10133,0.11606
1998,male,At least once per month,0.01217,73,6859,0.00958,0.01477
1998,male,Seldom,0.02287,152,6859,0.01933,0.02641
1998,male,Never,0.00880,54,6859,0.00659,0.01101
1998,female,Daily,0.84708,6230,7297,0.83882,0.85533
1998,female,At least once per week,0.10260,735,7297,0.09564,0.10956
1998,female,At least once per month,0.00971,64,7297,0.00746,0.01196
1998,female,Seldom,0.02709,188,7297,0.02337,0.03082
1998,female,Never,0.01352,80,7297,0.01087,0.01617
2003,male,Daily,0.86278,9146,10641,0.85625,0.86932
2003,male,At least once per week,0.09504,1082,10641,0.08947,0.10061
2003,male,At least once per month,0.01136,103,10641,0.00935,0.01338
2003,male,Seldom,0.01772,194,10641,0.01521,0.02022
2003,male,Never,0.01310,116,10641,0.01094,0.01526
2003,female,Daily,0.87476,9896,11447,0.86869,0.88082
2003,female,At least once per week,0.08549,1100,11447,0.08037,0.09062
2003,female,At least once per month,0.00897,104,11447,0.00724,0.01069
2003,female,Seldom,0.01611,198,11447,0.01380,0.01842
2003,female,Never,0.01467,149,11447,0.01247,0.01688
2008,male,Daily,0.83218,7621,9167,0.82452,0.83983
2008,male,At least once per week,0.12051,1122,9167,0.11384,0.12717
2008,male,At least once per month,0.01483,139,9167,0.01236,0.01731
2008,male,Seldom,0.02164,190,9167,0.01866,0.02462
2008,male,Never,0.01084,95,9167,0.00872,0.01296
2008,female,Daily,0.84039,8465,10088,0.83324,0.84753
2008,female,At least once per week,0.10716,1123,10088,0.10112,0.11320
2008,female,At least once per month,0.01344,132,10088,0.01120,0.01569
2008,female,Seldom,0.02342,246,10088,0.02047,0.02637
2008,female,Never,0.01559,122,10088,0.01317,0.01801
2013,male,Daily,0.78207,8939,11520,0.77453,0.78960
2013,male,At least once per week,0.15447,1805,11520,0.14787,0.16107
2013,male,At least once per month,0.02490,292,11520,0.02205,0.02775
2013,male,Seldom,0.02602,354,11520,0.02312,0.02893
2013,male,Never,0.01254,130,11520,0.01051,0.01458
2013,female,Daily,0.80453,10867,13941,0.79795,0.81112
2013,female,At least once per week,0.13310,2179,13941,0.12746,0.13874
2013,female,At least once per month,0.01751,269,13941,0.01534,0.01969
2013,female,Seldom,0.03105,461,13941,0.02817,0.03393
2013,female,Never,0.01381,165,13941,0.01187,0.01574
2019,male,Daily,0.76920,9237,12267,0.76174,0.77666
2019,male,At least once per week,0.16241,2095,12267,0.15588,0.16894
2019,male,At least once per month,0.02037,268,12267,0.01787,0.02287
2019,male,Seldom,0.03421,489,12267,0.03100,0.03743
2019,male,Never,0.01381,178,12267,0.01175,0.01588
2019,female,Daily,0.77034,10094,13430,0.76323,0.77746
2019,female,At least once per week,0.15647,2327,13430,0.15033,0.16262
2019,female,At least once per month,0.02073,266,13430,0.01832,0.02314
2019,female,Seldom,0.03793,558,13430,0.03470,0.04117
2019,female,Never,0.01452,185,13430,0.01250,0.01655
2021,male,Daily,0.71939,5669,8083,0.70959,0.72918
2021,male,At least once per week,0.19519,1681,8083,0.18655,0.20383
2021,male,At least once per month,0.02269,221,8083,0.01944,0.02593
2021,male,Seldom,0.04360,355,8083,0.03915,0.04806
2021,male,Never,0.01913,157,8083,0.01615,0.02212
2021,female,Daily,0.73397,6466,9101,0.72489,0.74305
2021,female,At least once per week,0.19089,1906,9101,0.18282,0.19897
2021,female,At least once per month,0.02229,241,9101,0.01925,0.02532
2021,female,Seldom,0.03381,340,9101,0.03010,0.03752
2021,female,Never,0.01904,148,9101,0.01624,0.02185
