"pli0083","year","bildungsniveau","sampreg","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Taeglich","1990","(noch) kein Abschluss","Westdeutschland","668","0.763915299954065","0.735162336841733","0.792668263066397"
"Taeglich","1990","(noch) kein Abschluss","Ostdeutschland","","","",""
"Taeglich","1990","Hauptschule","Westdeutschland","4434","0.843338269785258","0.833574637129759","0.853101902440757"
"Taeglich","1990","Hauptschule","Ostdeutschland","","","",""
"Taeglich","1990","Realschule","Westdeutschland","1202","0.756515922289399","0.735629359024921","0.777402485553876"
"Taeglich","1990","Realschule","Ostdeutschland","","","",""
"Taeglich","1990","(Fach-)Abitur","Westdeutschland","495","0.637388265000294","0.602843313893032","0.671933216107557"
"Taeglich","1990","(Fach-)Abitur","Ostdeutschland","","","",""
"Taeglich","1990","AkademikerIn","Westdeutschland","461","0.669485225858783","0.63446270431187","0.704507747405696"
"Taeglich","1990","AkademikerIn","Ostdeutschland","","","",""
"Min 1x pro Woche","1990","(noch) kein Abschluss","Westdeutschland","121","0.174166413951842","0.148488806378251","0.199844021525432"
"Min 1x pro Woche","1990","(noch) kein Abschluss","Ostdeutschland","","","",""
"Min 1x pro Woche","1990","Hauptschule","Westdeutschland","621","0.102362953933112","0.0942205834985937","0.110505324367631"
"Min 1x pro Woche","1990","Hauptschule","Ostdeutschland","","","",""
"Min 1x pro Woche","1990","Realschule","Westdeutschland","317","0.180838910418557","0.162108242490415","0.199569578346699"
"Min 1x pro Woche","1990","Realschule","Ostdeutschland","","","",""
"Min 1x pro Woche","1990","(Fach-)Abitur","Westdeutschland","181","0.26339407457732","0.231743454150889","0.295044695003751"
"Min 1x pro Woche","1990","(Fach-)Abitur","Ostdeutschland","","","",""
"Min 1x pro Woche","1990","AkademikerIn","Westdeutschland","148","0.21650594393726","0.185841560367331","0.247170327507189"
"Min 1x pro Woche","1990","AkademikerIn","Ostdeutschland","","","",""
"Min 1x pro Monat","1990","(noch) kein Abschluss","Westdeutschland","13","","",""
"Min 1x pro Monat","1990","(noch) kein Abschluss","Ostdeutschland","","","",""
"Min 1x pro Monat","1990","Hauptschule","Westdeutschland","67","0.0142301337833431","0.0110487114296135","0.0174115561370728"
"Min 1x pro Monat","1990","Hauptschule","Ostdeutschland","","","",""
"Min 1x pro Monat","1990","Realschule","Westdeutschland","38","0.0234627552483702","0.0160963335458404","0.0308291769509001"
"Min 1x pro Monat","1990","Realschule","Ostdeutschland","","","",""
"Min 1x pro Monat","1990","(Fach-)Abitur","Westdeutschland","17","","",""
"Min 1x pro Monat","1990","(Fach-)Abitur","Ostdeutschland","","","",""
"Min 1x pro Monat","1990","AkademikerIn","Westdeutschland","16","","",""
"Min 1x pro Monat","1990","AkademikerIn","Ostdeutschland","","","",""
"Seltener","1990","(noch) kein Abschluss","Westdeutschland","20","","",""
"Seltener","1990","(noch) kein Abschluss","Ostdeutschland","","","",""
"Seltener","1990","Hauptschule","Westdeutschland","156","0.0302450794870879","0.0256447659883754","0.0348453929858004"
"Seltener","1990","Hauptschule","Ostdeutschland","","","",""
"Seltener","1990","Realschule","Westdeutschland","57","0.0341624873590105","0.0253225448072405","0.0430024299107805"
"Seltener","1990","Realschule","Ostdeutschland","","","",""
"Seltener","1990","(Fach-)Abitur","Westdeutschland","39","0.0562350716732108","0.0396812921392675","0.0727888512071542"
"Seltener","1990","(Fach-)Abitur","Ostdeutschland","","","",""
"Seltener","1990","AkademikerIn","Westdeutschland","52","0.0694502528625614","0.0505229737255505","0.0883775319995724"
"Seltener","1990","AkademikerIn","Ostdeutschland","","","",""
"Nie","1990","(noch) kein Abschluss","Westdeutschland","16","","",""
"Nie","1990","(noch) kein Abschluss","Ostdeutschland","","","",""
"Nie","1990","Hauptschule","Westdeutschland","46","0.00982356301119883","0.00717433170277889","0.0124727943196188"
"Nie","1990","Hauptschule","Ostdeutschland","","","",""
"Nie","1990","Realschule","Westdeutschland","8","","",""
"Nie","1990","Realschule","Ostdeutschland","","","",""
"Nie","1990","(Fach-)Abitur","Westdeutschland","12","","",""
"Nie","1990","(Fach-)Abitur","Ostdeutschland","","","",""
"Nie","1990","AkademikerIn","Westdeutschland","16","","",""
"Nie","1990","AkademikerIn","Ostdeutschland","","","",""
"Taeglich","1991","(noch) kein Abschluss","Westdeutschland","","","",""
"Taeglich","1991","(noch) kein Abschluss","Ostdeutschland","","","",""
"Taeglich","1991","Hauptschule","Westdeutschland","","","",""
"Taeglich","1991","Hauptschule","Ostdeutschland","","","",""
"Taeglich","1991","Realschule","Westdeutschland","","","",""
"Taeglich","1991","Realschule","Ostdeutschland","","","",""
"Taeglich","1991","(Fach-)Abitur","Westdeutschland","","","",""
"Taeglich","1991","(Fach-)Abitur","Ostdeutschland","","","",""
"Taeglich","1991","AkademikerIn","Westdeutschland","","","",""
"Taeglich","1991","AkademikerIn","Ostdeutschland","","","",""
"Min 1x pro Woche","1991","(noch) kein Abschluss","Westdeutschland","","","",""
"Min 1x pro Woche","1991","(noch) kein Abschluss","Ostdeutschland","","","",""
"Min 1x pro Woche","1991","Hauptschule","Westdeutschland","","","",""
"Min 1x pro Woche","1991","Hauptschule","Ostdeutschland","","","",""
"Min 1x pro Woche","1991","Realschule","Westdeutschland","","","",""
"Min 1x pro Woche","1991","Realschule","Ostdeutschland","","","",""
"Min 1x pro Woche","1991","(Fach-)Abitur","Westdeutschland","","","",""
"Min 1x pro Woche","1991","(Fach-)Abitur","Ostdeutschland","","","",""
"Min 1x pro Woche","1991","AkademikerIn","Westdeutschland","","","",""
"Min 1x pro Woche","1991","AkademikerIn","Ostdeutschland","","","",""
"Min 1x pro Monat","1991","(noch) kein Abschluss","Westdeutschland","","","",""
"Min 1x pro Monat","1991","(noch) kein Abschluss","Ostdeutschland","","","",""
"Min 1x pro Monat","1991","Hauptschule","Westdeutschland","","","",""
"Min 1x pro Monat","1991","Hauptschule","Ostdeutschland","","","",""
"Min 1x pro Monat","1991","Realschule","Westdeutschland","","","",""
"Min 1x pro Monat","1991","Realschule","Ostdeutschland","","","",""
"Min 1x pro Monat","1991","(Fach-)Abitur","Westdeutschland","","","",""
"Min 1x pro Monat","1991","(Fach-)Abitur","Ostdeutschland","","","",""
"Min 1x pro Monat","1991","AkademikerIn","Westdeutschland","","","",""
"Min 1x pro Monat","1991","AkademikerIn","Ostdeutschland","","","",""
"Seltener","1991","(noch) kein Abschluss","Westdeutschland","","","",""
"Seltener","1991","(noch) kein Abschluss","Ostdeutschland","","","",""
"Seltener","1991","Hauptschule","Westdeutschland","","","",""
"Seltener","1991","Hauptschule","Ostdeutschland","","","",""
"Seltener","1991","Realschule","Westdeutschland","","","",""
"Seltener","1991","Realschule","Ostdeutschland","","","",""
