year,migback,quintil_oecd,pli0083,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,No migration background,1st Quintile,Daily,0.79093,801,982,0.76548,0.81637
1990,No migration background,1st Quintile,At least once per week,0.14054,147,982,0.11879,0.16229
1990,No migration background,1st Quintile,Seldom,0.03552,34,982,0.02393,0.04710
1990,No migration background,2nd Quintile,Daily,0.82678,1005,1199,0.80535,0.84821
1990,No migration background,2nd Quintile,At least once per week,0.09380,132,1199,0.07729,0.11031
1990,No migration background,2nd Quintile,Seldom,0.05038,62,1199,0.03799,0.06276
1990,No migration background,3rd Quintile,Daily,0.79423,1024,1260,0.77189,0.81656
1990,No migration background,3rd Quintile,At least once per week,0.15153,198,1260,0.13173,0.17134
1990,No migration background,3rd Quintile,Seldom,0.02733,38,1260,0.01833,0.03634
1990,No migration background,4th Quintile,Daily,0.78901,1170,1492,0.76830,0.80972
1990,No migration background,4th Quintile,At least once per week,0.15570,243,1492,0.13729,0.17410
1990,No migration background,4th Quintile,At least once per month,0.02055,31,1492,0.01334,0.02775
1990,No migration background,4th Quintile,Seldom,0.02859,48,1492,0.02013,0.03705
1990,No migration background,5th Quintile,Daily,0.75308,1181,1560,0.73167,0.77448
1990,No migration background,5th Quintile,At least once per week,0.17225,271,1560,0.15350,0.19099
1990,No migration background,5th Quintile,At least once per month,0.02504,40,1560,0.01728,0.03279
1990,No migration background,5th Quintile,Seldom,0.04315,68,1560,0.03307,0.05324
1990,Direct migration background,1st Quintile,Daily,0.80400,637,755,0.77567,0.83234
1990,Direct migration background,1st Quintile,At least once per week,0.13845,118,755,0.11380,0.16311
1990,Direct migration background,2nd Quintile,Daily,0.82425,466,553,0.79250,0.85600
1990,Direct migration background,2nd Quintile,At least once per week,0.13284,87,553,0.10453,0.16115
1990,Direct migration background,3rd Quintile,Daily,0.84282,426,502,0.81095,0.87469
1990,Direct migration background,3rd Quintile,At least once per week,0.11328,76,502,0.08553,0.14103
1990,Direct migration background,4th Quintile,Daily,0.74710,295,363,0.70232,0.79188
1990,Direct migration background,4th Quintile,At least once per week,0.21586,68,363,0.17348,0.25824
1990,Direct migration background,5th Quintile,Daily,0.74162,175,209,0.68213,0.80111
1990,Direct migration background,5th Quintile,At least once per week,0.17479,34,209,0.12318,0.22641
1990,Indirect migration background,1st Quintile,Daily,0.81112,60,60,0.71124,0.91099
