year,ple0053,migback,regtyp,proportion,n,lower_confidence,upper_confidence
1985,Yes,No migration background,Urban regions,0.524390243902439,14443,0.5162454510249782,0.5325350367798999
1985,Yes,Direct migration background,Urban regions,0.23495934959349593,14443,0.22804476670035612,0.24187393248663575
1985,Yes,No migration background,Rural regions,0.19593495934959348,14443,0.1894616118482598,0.20240830685092717
1985,Yes,Direct migration background,Rural regions,0.034959349593495934,14443,0.03196376325320291,0.03795493593378896
1985,Yes,Indirect migration background,Urban regions,0.00894308943089431,14443,0.007407693272405527,0.010478485589383092
1985,Yes,Indirect migration background,Rural regions,0.0008130081300813008,14443,0.00034817379936645456,0.001277842460796147
1985,No,No migration background,Urban regions,0.5466975178796802,14443,0.5385786595106392,0.5548163762487213
1985,No,Direct migration background,Urban regions,0.23254101809002944,14443,0.22565124788506105,0.23943078829499784
1985,No,No migration background,Rural regions,0.1785864535128313,14443,0.17234001380277977,0.18483289322288285
1985,No,Direct migration background,Rural regions,0.03197307530500631,14443,0.029103859004448077,0.03484229160556454
1985,No,Indirect migration background,Urban regions,0.008834665544804375,14443,0.007308521682462923,0.010360809407145828
1985,No,Indirect migration background,Rural regions,0.0013672696676482962,14443,0.0007646305016939133,0.0019699088336026793
1986,Yes,No migration background,Urban regions,0.5213270142180095,13742,0.5129747221340284,0.5296793063019907
1986,Yes,Direct migration background,Urban regions,0.2598736176935229,13742,0.2525408970819889,0.2672063383050569
1986,Yes,No migration background,Rural regions,0.17298578199052134,13742,0.1666617684399378,0.17930979554110488
1986,Yes,Direct migration background,Rural regions,0.03475513428120063,13742,0.031692752483215084,0.03781751607918618
1986,Yes,Indirect migration background,Urban regions,0.010268562401263823,13742,0.008583000892518622,0.011954123910009024
1986,Yes,Indirect migration background,Rural regions,0.0007898894154818325,13742,0.00032016551735755027,0.0012596133136061147
1986,No,No migration background,Urban regions,0.5458776595744681,13742,0.5375530247129119,0.5542022944360243
1986,No,Direct migration background,Urban regions,0.227947695035461,13742,0.22093359325236075,0.23496179681856125
1986,No,No migration background,Rural regions,0.17885638297872342,13742,0.1724488200247578,0.18526394593268902
1986,No,Direct migration background,Rural regions,0.0339095744680851,13742,0.030883349861858332,0.036935799074311874
1986,No,Indirect migration background,Urban regions,0.01152482269503546,13742,0.009740262879197516,0.013309382510873404
1986,No,Indirect migration background,Rural regions,0.0018838652482269503,13742,0.001158850978100989,0.0026088795183529115
1987,Yes,No migration background,Urban regions,0.5486798679867987,13496,0.5402841971617893,0.557075538811808
1987,Yes,Direct migration background,Urban regions,0.21864686468646866,13496,0.2116733961909136,0.2256203331820237
1987,Yes,No migration background,Rural regions,0.18234323432343233,13496,0.1758286924367211,0.18885777621014355
1987,Yes,Direct migration background,Rural regions,0.037953795379537955,13496,0.03472991359971658,0.04117767715935933
1987,Yes,Indirect migration background,Urban regions,0.010726072607260726,13496,0.008988142989823655,0.012464002224697797
1987,Yes,Indirect migration background,Rural regions,0.0016501650165016502,13496,0.0009653731400904337,0.002334956892912867
1987,No,No migration background,Urban regions,0.539241917502787,13496,0.530832191624445,0.5476516433811291
1987,No,Direct migration background,Urban regions,0.2358974358974359,13496,0.22873450147344893,0.24306037032142286
1987,No,No migration background,Rural regions,0.17447045707915274,13496,0.1680674969738149,0.18087341718449057
1987,No,Direct migration background,Rural regions,0.034894091415830546,13496,0.03179797721711644,0.03799020561454465
1987,No,Indirect migration background,Urban regions,0.013489409141583055,13496,0.01154314905545729,0.01543566922770882
1987,No,Indirect migration background,Rural regions,0.002006688963210702,13496,0.0012516708288473205,0.0027617070975740838
1988,Yes,No migration background,Urban regions,0.5690093141405589,12817,0.5604358465735134,0.5775827817076044
1988,Yes,Direct migration background,Urban regions,0.2201524132091448,12817,0.2129789401653755,0.2273258862529141
1988,Yes,No migration background,Rural regions,0.165961049957663,12817,0.15951996344286568,0.17240213647246033
1988,Yes,Direct migration background,Rural regions,0.03132938187976291,12817,0.028313413000775722,0.0343453507587501
1988,Yes,Indirect migration background,Urban regions,0.01100762066045724,12817,0.009201253292464392,0.012813988028450088
1988,Yes,Indirect migration background,Rural regions,0.002540220152413209,12817,0.0016687625676135537,0.0034116777372128642
1988,No,No migration background,Urban regions,0.5362827715355806,12817,0.5276492809942196,0.5449162620769415
1988,No,Direct migration background,Urban regions,0.23735955056179775,12817,0.22999364489495325,0.24472545622864225
1988,No,No migration background,Rural regions,0.17298689138576778,12817,0.16643863503071163,0.17953514774082394
1988,No,Direct migration background,Rural regions,0.03522940074906367,12817,0.032037660522275295,0.03842114097585205
1988,No,Indirect migration background,Urban regions,0.015683520599250936,12817,0.013532463015493814,0.017834578183008057
1988,No,Indirect migration background,Rural regions,0.0024578651685393258,12817,0.0016006150948829946,0.003315115242195657
1989,Yes,No migration background,Urban regions,0.5428067078552515,12393,0.5340358842976851,0.551577531412818
1989,Yes,Direct migration background,Urban regions,0.22241835834068843,12393,0.2150964184160617,0.22974029826531517
1989,Yes,No migration background,Rural regions,0.18711385701676964,12393,0.18024735294054225,0.19398036109299702
1989,Yes,Direct migration background,Rural regions,0.03265666372462489,12393,0.029527386237127678,0.0357859412121221
1989,Yes,Indirect migration background,Urban regions,0.01235657546337158,12393,0.010411587142950061,0.0143015637837931
1989,Yes,Indirect migration background,Rural regions,0.00264783759929391,12393,0.001743068445633507,0.0035526067529543133
1989,No,No migration background,Urban regions,0.538961038961039,12393,0.5301846604332494,0.5477374174888285
1989,No,Direct migration background,Urban regions,0.23785473785473785,12393,0.23035851262282867,0.24535096308664703
1989,No,No migration background,Rural regions,0.16594516594516595,12393,0.1593950731711416,0.1724952587191903
1989,No,Direct migration background,Rural regions,0.03367003367003367,12393,0.030494239511415704,0.03684582782865164
1989,No,Indirect migration background,Urban regions,0.02068302068302068,12393,0.018177277994554823,0.02318876337148654
1989,No,Indirect migration background,Rural regions,0.002886002886002886,12393,0.00194153187301243,0.003830473898993342
1991,Yes,No migration background,Urban regions,0.5561312607944733,17756,0.5488232456787464,0.5634392759102002
1991,Yes,Direct migration background,Urban regions,0.2003454231433506,17756,0.19445801113180233,0.20623283515489887
1991,Yes,No migration background,Rural regions,0.18221070811744386,17756,0.17653276338458435,0.18788865285030337
1991,Yes,Direct migration background,Rural regions,0.039723661485319514,17756,0.03685085578902624,0.042596467181612786
1991,Yes,Indirect migration background,Urban regions,0.019861830742659757,17756,0.017809549893435337,0.021914111591884177
1991,Yes,Indirect migration background,Rural regions,0.0017271157167530224,17756,0.0011163581465483663,0.0023378732869576784
1991,No,No migration background,Urban regions,0.5254153235804612,17756,0.5180703248299264,0.5327603223309959
1991,No,Direct migration background,Urban regions,0.23667245226878256,17756,0.23042054069911141,0.2429243638384537
1991,No,No migration background,Rural regions,0.17245226878254402,17756,0.16689560031931983,0.17800893724576822
1991,No,Direct migration background,Rural regions,0.0328539548723035,17756,0.03023201117584513,0.03547589856876186
1991,No,Indirect migration background,Urban regions,0.028266798909000745,17756,0.025829014256288845,0.030704583561712646
1991,No,Indirect migration background,Rural regions,0.004339201586908009,17756,0.0033723849376893797,0.005306018236126638
1992,Yes,No migration background,Urban regions,0.48409405255878285,17350,0.47665775991234716,0.49153034520521854
1992,Yes,No migration background,Rural regions,0.301521438450899,17350,0.29469267655054393,0.3083502003512541
1992,Yes,Direct migration background,Urban regions,0.16390041493775934,17350,0.15839201629931182,0.16940881357620685
1992,Yes,Direct migration background,Rural regions,0.028354080221300138,17350,0.025884244148736264,0.030823916293864013
1992,Yes,Indirect migration background,Urban regions,0.020055325034578148,17350,0.017969288247480345,0.02214136182167595
1992,Yes,Indirect migration background,Rural regions,0.002074688796680498,17350,0.0013976215086023561,0.0027517560847586395
1992,No,No migration background,Urban regions,0.4682352941176471,17350,0.4608102650270173,0.4756603232082769
1992,No,No migration background,Rural regions,0.3107625272331155,17350,0.30387592348236114,0.3176491309838698
1992,No,Direct migration background,Urban regions,0.16357298474945534,17350,0.15806901362622774,0.16907695587268293
