"ple0016","year","migback","n","percent","lower_confidence","upper_confidence","NA"
"Ja","2009","kein Migrationshintergrund","263","0.018861551872097","0.0167302509213903","0.0209928528228036",""
"Ja","2009","direkter Migrationshintergrund","21","","","",""
"Ja","2009","indirekter Migrationshintergrund","3","","","",""
"Ja","2009","Migrationshintergrund - n. w. differenzierbar","","","","",""
"Nein","2009","kein Migrationshintergrund","15387","0.981138448127903","0.979007147177196","0.98326974907861",""
"Nein","2009","direkter Migrationshintergrund","1638","0.983573668700727","0.977457229912998","0.989690107488456",""
"Nein","2009","indirekter Migrationshintergrund","706","0.99695635627749","0.992901644823909","1.00101106773107",""
"Nein","2009","Migrationshintergrund - n. w. differenzierbar","","","","",""
"Ja","2010","kein Migrationshintergrund","","","","",""
"Ja","2010","direkter Migrationshintergrund","","","","",""
"Ja","2010","indirekter Migrationshintergrund","","","","",""
"Ja","2010","Migrationshintergrund - n. w. differenzierbar","","","","",""
"Nein","2010","kein Migrationshintergrund","","","","",""
"Nein","2010","direkter Migrationshintergrund","","","","",""
"Nein","2010","indirekter Migrationshintergrund","","","","",""
"Nein","2010","Migrationshintergrund - n. w. differenzierbar","","","","",""
"Ja","2011","kein Migrationshintergrund","380","0.0243597747589251","0.0221037567391051","0.026615792778745",""
"Ja","2011","direkter Migrationshintergrund","39","0.0205741525641706","0.0143760704691133","0.026772234659228",""
"Ja","2011","indirekter Migrationshintergrund","5","","","",""
"Ja","2011","Migrationshintergrund - n. w. differenzierbar","","","","",""
"Nein","2011","kein Migrationshintergrund","17558","0.975640225241075","0.973384207221255","0.977896243260895",""
"Nein","2011","direkter Migrationshintergrund","1976","0.979425847435829","0.973227765340772","0.985623929530887",""
"Nein","2011","indirekter Migrationshintergrund","787","0.995121488447784","0.990268969707544","0.999974007188023",""
"Nein","2011","Migrationshintergrund - n. w. differenzierbar","","","","",""
"Ja","2012","kein Migrationshintergrund","","","","",""
"Ja","2012","direkter Migrationshintergrund","","","","",""
"Ja","2012","indirekter Migrationshintergrund","","","","",""
"Ja","2012","Migrationshintergrund - n. w. differenzierbar","","","","",""
"Nein","2012","kein Migrationshintergrund","","","","",""
"Nein","2012","direkter Migrationshintergrund","","","","",""
"Nein","2012","indirekter Migrationshintergrund","","","","",""
"Nein","2012","Migrationshintergrund - n. w. differenzierbar","","","","",""
"Ja","2013","kein Migrationshintergrund","378","0.0244389078233171","0.0220801241349339","0.0267976915117003",""
"Ja","2013","direkter Migrationshintergrund","27","","","",""
"Ja","2013","indirekter Migrationshintergrund","5","","","",""
"Ja","2013","Migrationshintergrund - n. w. differenzierbar","","","","",""
"Nein","2013","kein Migrationshintergrund","16083","0.975561092176683","0.9732023084883","0.977919875865066",""
"Nein","2013","direkter Migrationshintergrund","1666","0.983665927452585","0.977627961409642","0.989703893495527",""
"Nein","2013","indirekter Migrationshintergrund","707","0.991857256984592","0.985256130624914","0.99845838334427",""
"Nein","2013","Migrationshintergrund - n. w. differenzierbar","","","","",""
"Ja","2014","kein Migrationshintergrund","","","","",""
"Ja","2014","direkter Migrationshintergrund","","","","",""
"Ja","2014","indirekter Migrationshintergrund","","","","",""
"Ja","2014","Migrationshintergrund - n. w. differenzierbar","","","","",""
"Nein","2014","kein Migrationshintergrund","","","","",""
"Nein","2014","direkter Migrationshintergrund","","","","",""
"Nein","2014","indirekter Migrationshintergrund","","","","",""
"Nein","2014","Migrationshintergrund - n. w. differenzierbar","","","","",""
"Ja","2015","kein Migrationshintergrund","424","0.0251558809526375","0.0229355563856824","0.0273762055195926",""
"Ja","2015","direkter Migrationshintergrund","55","0.0148984265619619","0.0112804032252769","0.018516449898647",""
"Ja","2015","indirekter Migrationshintergrund","11","","","",""
"Ja","2015","Migrationshintergrund - n. w. differenzierbar","","","","",""
"Nein","2015","kein Migrationshintergrund","18685","0.974844119047362","0.972623794480407","0.977064443614318",""
"Nein","2015","direkter Migrationshintergrund","4252","0.985101573438038","0.981483550101353","0.988719596774723",""
"Nein","2015","indirekter Migrationshintergrund","1613","0.993111016698718","0.989088187956696","0.99713384544074",""
"Nein","2015","Migrationshintergrund - n. w. differenzierbar","","","","",""
"Ja","2016","kein Migrationshintergrund","","","","",""
"Ja","2016","direkter Migrationshintergrund","","","","",""
"Ja","2016","indirekter Migrationshintergrund","","","","",""
"Ja","2016","Migrationshintergrund - n. w. differenzierbar","","","","",""
"Nein","2016","kein Migrationshintergrund","","","","",""
"Nein","2016","direkter Migrationshintergrund","","","","",""
"Nein","2016","indirekter Migrationshintergrund","","","","",""
"Nein","2016","Migrationshintergrund - n. w. differenzierbar","","","","",""
"Ja","2017","kein Migrationshintergrund","437","0.0243561647730249","0.0222310479607072","0.0264812815853426",""
"Ja","2017","direkter Migrationshintergrund","61","0.0185620839158008","0.0146755566140429","0.0224486112175588",""
"Ja","2017","indirekter Migrationshintergrund","10","","","",""
"Ja","2017","Migrationshintergrund - n. w. differenzierbar","","","","",""
"Nein","2017","kein Migrationshintergrund","19776","0.975643835226975","0.973518718414657","0.977768952039293",""
"Nein","2017","direkter Migrationshintergrund","4572","0.981437916084199","0.977551388782441","0.985324443385957",""
"Nein","2017","indirekter Migrationshintergrund","1693","0.994794330325456","0.991376537600575","0.998212123050338",""
"Nein","2017","Migrationshintergrund - n. w. differenzierbar","","","","",""
"Ja","2018","kein Migrationshintergrund","","","","",""
"Ja","2018","direkter Migrationshintergrund","","","","",""
"Ja","2018","indirekter Migrationshintergrund","","","","",""
"Ja","2018","Migrationshintergrund - n. w. differenzierbar","","","","",""
"Nein","2018","kein Migrationshintergrund","","","","",""
"Nein","2018","direkter Migrationshintergrund","","","","",""
"Nein","2018","indirekter Migrationshintergrund","","","","",""
"Nein","2018","Migrationshintergrund - n. w. differenzierbar","","","","",""
"Ja","2019","kein Migrationshintergrund","480","0.0256364226500058","0.0234538713184118","0.0278189739815998",""
"Ja","2019","direkter Migrationshintergrund","51","0.0191129131529064","0.0147901127063324","0.0234357135994804",""
"Ja","2019","indirekter Migrationshintergrund","10","","","",""
"Ja","2019","Migrationshintergrund - n. w. differenzierbar","","","","",""
"Nein","2019","kein Migrationshintergrund","19664","0.974363577349994","0.9721810260184","0.976546128681588",""
"Nein","2019","direkter Migrationshintergrund","3803","0.980887086847094","0.97656428640052","0.985209887293668",""
"Nein","2019","indirekter Migrationshintergrund","1820","0.994572816474845","0.991206708113713","0.997938924835977",""
"Nein","2019","Migrationshintergrund - n. w. differenzierbar","","","","",""
