year,regtyp,ple0016,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,Urban regions,Yes,0.01490,182,11719,0.01271,0.01710
2009,Urban regions,No,0.82618,11537,11719,0.81932,0.83304
2009,Rural regions,Yes,0.01513,105,6299,0.01211,0.01814
2009,Rural regions,No,0.83379,6194,6299,0.82459,0.84298
2011,Urban regions,Yes,0.01751,262,13392,0.01529,0.01973
2011,Urban regions,No,0.74845,13130,13392,0.74110,0.75580
2011,Rural regions,Yes,0.01811,162,7353,0.01506,0.02115
2011,Rural regions,No,0.75116,7191,7353,0.74127,0.76104
2013,Urban regions,Yes,0.01531,239,12074,0.01312,0.01750
2013,Urban regions,No,0.68176,11835,12074,0.67345,0.69006
2013,Rural regions,Yes,0.01910,171,6792,0.01585,0.02236
2013,Rural regions,No,0.72278,6621,6792,0.71213,0.73343
2015,Urban regions,Yes,0.01832,311,16200,0.01626,0.02039
2015,Urban regions,No,0.80205,15889,16200,0.79591,0.80818
2015,Rural regions,Yes,0.02010,179,8840,0.01717,0.02302
2015,Rural regions,No,0.81552,8661,8840,0.80744,0.82361
2017,Urban regions,Yes,0.01725,302,17180,0.01530,0.01920
2017,Urban regions,No,0.81476,16878,17180,0.80895,0.82057
2017,Rural regions,Yes,0.02181,206,9369,0.01885,0.02477
2017,Rural regions,No,0.81657,9163,9369,0.80873,0.82441
2019,Urban regions,Yes,0.01804,322,16391,0.01601,0.02008
2019,Urban regions,No,0.81177,16069,16391,0.80579,0.81776
2019,Rural regions,Yes,0.02212,201,8781,0.01905,0.02520
2019,Rural regions,No,0.81195,8580,8781,0.80378,0.82012
2021,Urban regions,Yes,0.01911,243,13012,0.01676,0.02146
2021,Urban regions,No,0.80314,12769,13012,0.79631,0.80998
2021,Rural regions,Yes,0.02254,126,6151,0.01883,0.02625
2021,Rural regions,No,0.80234,6025,6151,0.79238,0.81229
