year,age_gr,pgisced97,ple0016,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,17-29 y.,Upper Secondary Level,No,0.99778,1259,1259,0.99518,1.00038
2009,30-45 y.,Lower Secondary Level,No,0.99622,269,269,0.98887,1.00357
2009,30-45 y.,Upper Secondary Level,No,0.99891,2326,2326,0.99756,1.00025
2009,30-45 y.,Post-secondary Non-tertiary Level,No,0.99820,436,436,0.99421,1.00218
2009,30-45 y.,First Stage of Tertiary Education,No,0.98573,432,432,0.97454,0.99693
2009,46-65 y.,Primary Level,No,0.94564,51,51,0.88279,1.00848
2009,46-65 y.,Lower Secondary Level,No,0.97627,379,379,0.96093,0.99161
2009,46-65 y.,Upper Secondary Level,Yes,0.01912,55,3295,0.01445,0.02380
2009,46-65 y.,Upper Secondary Level,No,0.98088,3240,3295,0.97620,0.98555
2009,46-65 y.,Post-secondary Non-tertiary Level,No,0.98927,273,273,0.97703,1.00151
2009,46-65 y.,First Stage of Tertiary Education,No,0.98622,539,539,0.97637,0.99607
2009,46-65 y.,Second Stage of Tertiary Education,No,0.98760,1745,1745,0.98241,0.99280
2009,66 and older,Primary Level,No,0.87155,38,38,0.76374,0.97936
2009,66 and older,Lower Secondary Level,No,0.94908,623,623,0.93181,0.96636
2009,66 and older,Upper Secondary Level,Yes,0.04522,104,2175,0.03649,0.05396
2009,66 and older,Upper Secondary Level,No,0.95478,2071,2175,0.94604,0.96351
2009,66 and older,Post-secondary Non-tertiary Level,No,0.96797,91,91,0.93160,1.00435
2009,66 and older,First Stage of Tertiary Education,No,0.92804,297,297,0.89860,0.95748
2009,66 and older,Second Stage of Tertiary Education,No,0.96347,854,854,0.95088,0.97606
2011,17-29 y.,Upper Secondary Level,No,0.99953,1351,1351,0.99837,1.00069
2011,30-45 y.,Lower Secondary Level,No,0.99989,334,334,0.99878,1.00101
2011,30-45 y.,Upper Secondary Level,No,0.99763,2369,2369,0.99567,0.99959
2011,30-45 y.,First Stage of Tertiary Education,No,0.99802,366,366,0.99346,1.00258
2011,46-65 y.,Primary Level,No,0.92388,68,68,0.86039,0.98738
2011,46-65 y.,Lower Secondary Level,No,0.95788,516,516,0.94053,0.97523
2011,46-65 y.,Upper Secondary Level,Yes,0.02344,92,4121,0.01882,0.02806
2011,46-65 y.,Upper Secondary Level,No,0.97656,4029,4121,0.97194,0.98118
2011,46-65 y.,Post-secondary Non-tertiary Level,No,0.99716,388,388,0.99186,1.00246
2011,46-65 y.,First Stage of Tertiary Education,No,0.99033,642,642,0.98276,0.99791
2011,46-65 y.,Second Stage of Tertiary Education,No,0.99054,1969,1969,0.98627,0.99482
2011,66 and older,Primary Level,No,0.94337,54,54,0.88115,1.00560
2011,66 and older,Lower Secondary Level,Yes,0.07173,52,819,0.05404,0.08941
2011,66 and older,Lower Secondary Level,No,0.92827,767,819,0.91059,0.94596
2011,66 and older,Upper Secondary Level,Yes,0.05448,138,2641,0.04582,0.06314
2011,66 and older,Upper Secondary Level,No,0.94552,2503,2641,0.93686,0.95418
2011,66 and older,Post-secondary Non-tertiary Level,No,0.98531,119,119,0.96361,1.00702
2011,66 and older,First Stage of Tertiary Education,No,0.92942,354,354,0.90270,0.95613
2011,66 and older,Second Stage of Tertiary Education,Yes,0.06173,46,1087,0.04741,0.07604
2011,66 and older,Second Stage of Tertiary Education,No,0.93827,1041,1087,0.92396,0.95259
2013,17-29 y.,No answer / don't know,No,0.99678,226,226,0.98937,1.00418
2013,17-29 y.,Upper Secondary Level,No,0.99995,1120,1120,0.99951,1.00038
2013,30-45 y.,Lower Secondary Level,No,0.99901,279,279,0.99531,1.00271
2013,30-45 y.,Upper Secondary Level,No,0.99509,1886,1886,0.99194,0.99825
2013,30-45 y.,Post-secondary Non-tertiary Level,No,0.99970,409,409,0.99802,1.00138
2013,46-65 y.,Primary Level,No,0.97159,57,57,0.92808,1.01511
2013,46-65 y.,Lower Secondary Level,No,0.96451,448,448,0.94736,0.98166
2013,46-65 y.,Upper Secondary Level,Yes,0.02133,91,3856,0.01677,0.02589
2013,46-65 y.,Upper Secondary Level,No,0.97867,3765,3856,0.97411,0.98323
2013,46-65 y.,Post-secondary Non-tertiary Level,No,0.99662,401,401,0.99093,1.00231
2013,46-65 y.,First Stage of Tertiary Education,No,0.98214,622,622,0.97172,0.99256
2013,46-65 y.,Second Stage of Tertiary Education,No,0.98820,1872,1872,0.98330,0.99309
2013,66 and older,Primary Level,No,0.93234,44,44,0.85727,1.00741
2013,66 and older,Lower Secondary Level,Yes,0.05707,40,726,0.04019,0.07396
2013,66 and older,Lower Secondary Level,No,0.94293,686,726,0.92604,0.95981
2013,66 and older,Upper Secondary Level,Yes,0.05481,137,2536,0.04595,0.06367
2013,66 and older,Upper Secondary Level,No,0.94519,2399,2536,0.93633,0.95405
2013,66 and older,Post-secondary Non-tertiary Level,No,0.99267,114,114,0.97693,1.00840
2013,66 and older,First Stage of Tertiary Education,No,0.93999,326,326,0.91417,0.96581
2013,66 and older,Second Stage of Tertiary Education,Yes,0.05620,46,1149,0.04287,0.06952
2013,66 and older,Second Stage of Tertiary Education,No,0.94380,1103,1149,0.93048,0.95713
2015,17-29 y.,Lower Secondary Level,No,0.99882,781,781,0.99641,1.00123
2015,30-45 y.,Primary Level,No,0.99144,155,155,0.97689,1.00599
2015,30-45 y.,Lower Secondary Level,No,0.99894,628,628,0.99639,1.00149
2015,30-45 y.,Upper Secondary Level,No,0.99670,3199,3199,0.99471,0.99869
2015,30-45 y.,Post-secondary Non-tertiary Level,No,0.99238,900,900,0.98670,0.99806
2015,30-45 y.,First Stage of Tertiary Education,No,0.99590,379,379,0.98945,1.00234
2015,30-45 y.,Second Stage of Tertiary Education,No,0.99947,1994,1994,0.99847,1.00048
2015,46-65 y.,No answer / don't know,No,0.99852,45,45,0.98717,1.00987
2015,46-65 y.,Primary Level,No,0.92095,120,120,0.87247,0.96943
2015,46-65 y.,Lower Secondary Level,No,0.96845,597,597,0.95442,0.98249
2015,46-65 y.,Upper Secondary Level,Yes,0.02633,107,4327,0.02155,0.03110
2015,46-65 y.,Upper Secondary Level,No,0.97367,4220,4327,0.96890,0.97845
2015,46-65 y.,Post-secondary Non-tertiary Level,No,0.98714,682,682,0.97867,0.99560
2015,46-65 y.,First Stage of Tertiary Education,No,0.98124,724,724,0.97135,0.99113
2015,46-65 y.,Second Stage of Tertiary Education,No,0.98845,2307,2307,0.98409,0.99281
2015,66 and older,Primary Level,No,0.95561,37,37,0.88832,1.02289
2015,66 and older,Lower Secondary Level,Yes,0.05432,36,648,0.03685,0.07178
2015,66 and older,Lower Secondary Level,No,0.94568,612,648,0.92822,0.96315
2015,66 and older,Upper Secondary Level,Yes,0.05746,146,2524,0.04838,0.06654
2015,66 and older,Upper Secondary Level,No,0.94254,2378,2524,0.93346,0.95162
2015,66 and older,Post-secondary Non-tertiary Level,No,0.98332,127,127,0.96095,1.00568
2015,66 and older,First Stage of Tertiary Education,No,0.92403,313,313,0.89463,0.95343
2015,66 and older,Second Stage of Tertiary Education,Yes,0.05298,51,1178,0.04018,0.06577
2015,66 and older,Second Stage of Tertiary Education,No,0.94702,1127,1178,0.93423,0.95982
2017,17-29 y.,Upper Secondary Level,No,0.99937,1786,1786,0.99821,1.00053
2017,30-45 y.,No answer / don't know,No,0.99915,71,71,0.99231,1.00598
2017,30-45 y.,Primary Level,No,0.99221,177,177,0.97922,1.00520
2017,30-45 y.,Lower Secondary Level,No,0.99691,654,654,0.99266,1.00117
2017,30-45 y.,Upper Secondary Level,No,0.99545,2918,2918,0.99301,0.99789
2017,30-45 y.,Post-secondary Non-tertiary Level,No,0.99926,908,908,0.99749,1.00103
2017,30-45 y.,First Stage of Tertiary Education,No,0.99776,341,341,0.99275,1.00278
2017,30-45 y.,Second Stage of Tertiary Education,No,0.99935,2156,2156,0.99827,1.00043
2017,46-65 y.,Primary Level,No,0.95908,146,146,0.92684,0.99133
2017,46-65 y.,Lower Secondary Level,No,0.96169,682,682,0.94728,0.97611
2017,46-65 y.,Upper Secondary Level,Yes,0.02305,108,4802,0.01880,0.02729
2017,46-65 y.,Upper Secondary Level,No,0.97695,4694,4802,0.97271,0.98120
2017,46-65 y.,Post-secondary Non-tertiary Level,No,0.98246,841,841,0.97358,0.99133
2017,46-65 y.,First Stage of Tertiary Education,No,0.97001,763,763,0.95790,0.98212
2017,46-65 y.,Second Stage of Tertiary Education,No,0.98801,2601,2601,0.98383,0.99220
2017,66 and older,Primary Level,No,0.96804,37,37,0.91058,1.02550
2017,66 and older,Lower Secondary Level,Yes,0.06169,34,607,0.04253,0.08085
2017,66 and older,Lower Secondary Level,No,0.93831,573,607,0.91915,0.95747
2017,66 and older,Upper Secondary Level,Yes,0.05715,142,2550,0.04814,0.06617
2017,66 and older,Upper Secondary Level,No,0.94285,2408,2550,0.93383,0.95186
2017,66 and older,Post-secondary Non-tertiary Level,No,0.94984,129,129,0.91203,0.98766
2017,66 and older,First Stage of Tertiary Education,No,0.93603,310,310,0.90875,0.96331
2017,66 and older,Second Stage of Tertiary Education,Yes,0.05096,61,1255,0.03878,0.06313
2017,66 and older,Second Stage of Tertiary Education,No,0.94904,1194,1255,0.93687,0.96122
2019,17-29 y.,Pre-primary Level,No,0.99772,330,330,0.99257,1.00287
2019,17-29 y.,Upper Secondary Level,No,0.99965,1551,1551,0.99871,1.00058
2019,17-29 y.,Post-secondary Non-tertiary Level,No,0.99938,283,283,0.99646,1.00229
2019,17-29 y.,Second Stage of Tertiary Education,No,0.99981,445,445,0.99855,1.00108
2019,30-45 y.,No answer / don't know,No,0.99975,78,78,0.99626,1.00325
2019,30-45 y.,Primary Level,No,0.99319,143,143,0.97966,1.00672
2019,30-45 y.,Lower Secondary Level,No,0.99603,521,521,0.99062,1.00143
2019,30-45 y.,Upper Secondary Level,No,0.99716,2363,2363,0.99501,0.99930
2019,30-45 y.,Post-secondary Non-tertiary Level,No,0.99869,787,787,0.99617,1.00122
2019,30-45 y.,First Stage of Tertiary Education,No,0.99752,347,347,0.99228,1.00276
2019,30-45 y.,Second Stage of Tertiary Education,No,0.99881,2024,2024,0.99731,1.00031
2019,46-65 y.,No answer / don't know,No,0.99852,72,72,0.98958,1.00746
2019,46-65 y.,Primary Level,No,0.90277,126,126,0.85083,0.95471
2019,46-65 y.,Lower Secondary Level,No,0.96374,638,638,0.94923,0.97826
2019,46-65 y.,Upper Secondary Level,Yes,0.02469,104,4655,0.02023,0.02915
2019,46-65 y.,Upper Secondary Level,No,0.97531,4551,4655,0.97085,0.97977
2019,46-65 y.,Post-secondary Non-tertiary Level,No,0.99517,927,927,0.99070,0.99963
2019,46-65 y.,First Stage of Tertiary Education,No,0.98121,849,849,0.97207,0.99035
2019,46-65 y.,Second Stage of Tertiary Education,Yes,0.01084,33,3101,0.00720,0.01449
2019,46-65 y.,Second Stage of Tertiary Education,No,0.98916,3068,3101,0.98551,0.99280
2019,66 and older,Lower Secondary Level,Yes,0.07197,36,551,0.05037,0.09357
2019,66 and older,Lower Secondary Level,No,0.92803,515,551,0.90643,0.94963
