year,quintil_oecd,sampreg,ple0016,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,1st Quintile,West,Yes,0.02384,54,1941,0.01705,0.03062
2009,1st Quintile,West,No,0.78031,1887,1941,0.76189,0.79874
2009,1st Quintile,East,No,0.81450,911,911,0.78925,0.83976
2009,2nd Quintile,West,Yes,0.01078,33,2094,0.00636,0.01521
2009,2nd Quintile,West,No,0.78049,2061,2094,0.76276,0.79822
2009,2nd Quintile,East,No,0.86877,1043,1043,0.84827,0.88927
2009,3rd Quintile,West,Yes,0.01833,40,2332,0.01288,0.02377
2009,3rd Quintile,West,No,0.81715,2292,2332,0.80146,0.83284
2009,3rd Quintile,East,No,0.84819,1056,1056,0.82653,0.86984
2009,4th Quintile,West,Yes,0.00847,31,2967,0.00517,0.01177
2009,4th Quintile,West,No,0.83738,2936,2967,0.82410,0.85066
2009,4th Quintile,East,No,0.90488,793,793,0.88445,0.92532
2009,5th Quintile,West,Yes,0.01355,51,4138,0.01002,0.01707
2009,5th Quintile,West,No,0.88798,4087,4138,0.87837,0.89759
2009,5th Quintile,East,No,0.85170,660,660,0.82456,0.87883
2011,1st Quintile,West,Yes,0.02268,47,1645,0.01548,0.02987
2011,1st Quintile,West,No,0.63073,1598,1645,0.60740,0.65406
2011,1st Quintile,East,No,0.68528,825,825,0.65357,0.71699
2011,2nd Quintile,West,Yes,0.02269,43,1735,0.01568,0.02969
2011,2nd Quintile,West,No,0.67666,1692,1735,0.65465,0.69868
2011,2nd Quintile,East,Yes,0.02384,35,992,0.01434,0.03334
2011,2nd Quintile,East,No,0.80423,957,992,0.77953,0.82893
2011,3rd Quintile,West,Yes,0.01798,42,2214,0.01244,0.02351
2011,3rd Quintile,West,No,0.75219,2172,2214,0.73421,0.77018
2011,3rd Quintile,East,No,0.80693,838,838,0.78019,0.83367
2011,4th Quintile,West,Yes,0.01440,44,2590,0.00981,0.01899
2011,4th Quintile,West,No,0.77601,2546,2590,0.75995,0.79207
2011,4th Quintile,East,No,0.82045,690,690,0.79179,0.84910
2011,5th Quintile,West,Yes,0.01276,41,3576,0.00908,0.01644
2011,5th Quintile,West,No,0.83929,3535,3576,0.82725,0.85133
2011,5th Quintile,East,No,0.83417,507,507,0.80176,0.86658
2013,1st Quintile,West,Yes,0.02109,62,2079,0.01491,0.02726
2013,1st Quintile,West,No,0.67411,2017,2079,0.65396,0.69427
2013,1st Quintile,East,Yes,0.03432,44,1021,0.02315,0.04550
2013,1st Quintile,East,No,0.70335,977,1021,0.67531,0.73138
2013,2nd Quintile,West,Yes,0.02091,51,2324,0.01509,0.02673
2013,2nd Quintile,West,No,0.70411,2273,2324,0.68555,0.72268
2013,2nd Quintile,East,Yes,0.02426,33,1117,0.01523,0.03329
2013,2nd Quintile,East,No,0.77559,1084,1117,0.75111,0.80006
2013,3rd Quintile,West,Yes,0.02034,67,2667,0.01498,0.02570
2013,3rd Quintile,West,No,0.75299,2600,2667,0.73662,0.76936
2013,3rd Quintile,East,No,0.81904,911,911,0.79402,0.84405
2013,4th Quintile,West,Yes,0.01313,56,3135,0.00914,0.01711
2013,4th Quintile,West,No,0.80604,3079,3135,0.79220,0.81989
2013,4th Quintile,East,No,0.83092,771,771,0.80444,0.85739
2013,5th Quintile,West,Yes,0.01230,53,4205,0.00897,0.01563
2013,5th Quintile,West,No,0.84809,4152,4205,0.83724,0.85894
2013,5th Quintile,East,No,0.86046,588,588,0.83243,0.88849
2015,1st Quintile,West,Yes,0.02225,94,3784,0.01755,0.02695
2015,1st Quintile,West,No,0.76246,3690,3784,0.74890,0.77602
2015,1st Quintile,East,Yes,0.01704,31,1298,0.01000,0.02408
2015,1st Quintile,East,No,0.80558,1267,1298,0.78404,0.82711
2015,2nd Quintile,West,Yes,0.02468,75,3767,0.01973,0.02964
2015,2nd Quintile,West,No,0.79449,3692,3767,0.78159,0.80740
2015,2nd Quintile,East,Yes,0.03308,52,1482,0.02397,0.04218
2015,2nd Quintile,East,No,0.83544,1430,1482,0.81655,0.85432
2015,3rd Quintile,West,Yes,0.01846,73,3795,0.01418,0.02274
2015,3rd Quintile,West,No,0.81534,3722,3795,0.80300,0.82769
2015,3rd Quintile,East,No,0.84005,1027,1027,0.81762,0.86248
2015,4th Quintile,West,Yes,0.01552,52,3936,0.01165,0.01938
2015,4th Quintile,West,No,0.84650,3884,3936,0.83523,0.85776
2015,4th Quintile,East,No,0.83775,800,800,0.81219,0.86331
2015,5th Quintile,West,Yes,0.01393,69,4502,0.01050,0.01735
2015,5th Quintile,West,No,0.88139,4433,4502,0.87194,0.89084
