"ple0016","year","bildungsniveau","quintil_oecd","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","2009","(noch) kein Abschluss","1 Einkommensschwächstes Quintil","4","","",""
"Ja","2009","(noch) kein Abschluss","2","1","","",""
"Ja","2009","(noch) kein Abschluss","3","","","",""
"Ja","2009","(noch) kein Abschluss","4","","","",""
"Ja","2009","(noch) kein Abschluss","5 Einkommensstärkstes Quintil","","","",""
"Ja","2009","Hauptschule","1 Einkommensschwächstes Quintil","29","","",""
"Ja","2009","Hauptschule","2","52","0.028205563707561","0.0203654203185065","0.0360457070966156"
"Ja","2009","Hauptschule","3","42","0.0325581466703751","0.0229364298524899","0.0421798634882603"
"Ja","2009","Hauptschule","4","36","0.0305334752440312","0.0208433241913621","0.0402236262967003"
"Ja","2009","Hauptschule","5 Einkommensstärkstes Quintil","12","","",""
"Ja","2009","Realschule","1 Einkommensschwächstes Quintil","8","","",""
"Ja","2009","Realschule","2","15","","",""
"Ja","2009","Realschule","3","12","","",""
"Ja","2009","Realschule","4","8","","",""
"Ja","2009","Realschule","5 Einkommensstärkstes Quintil","9","","",""
"Ja","2009","(Fach-)Abitur","1 Einkommensschwächstes Quintil","6","","",""
"Ja","2009","(Fach-)Abitur","2","2","","",""
"Ja","2009","(Fach-)Abitur","3","","","",""
"Ja","2009","(Fach-)Abitur","4","5","","",""
"Ja","2009","(Fach-)Abitur","5 Einkommensstärkstes Quintil","3","","",""
"Ja","2009","AkademikerIn","1 Einkommensschwächstes Quintil","5","","",""
"Ja","2009","AkademikerIn","2","5","","",""
"Ja","2009","AkademikerIn","3","5","","",""
"Ja","2009","AkademikerIn","4","7","","",""
"Ja","2009","AkademikerIn","5 Einkommensstärkstes Quintil","19","","",""
"Nein","2009","(noch) kein Abschluss","1 Einkommensschwächstes Quintil","160","0.959334374774473","0.929105297060068","0.989563452488879"
"Nein","2009","(noch) kein Abschluss","2","99","0.981974425177466","0.95589831898367","1.00805053137126"
"Nein","2009","(noch) kein Abschluss","3","64","1","1","1"
"Nein","2009","(noch) kein Abschluss","4","86","1","1","1"
"Nein","2009","(noch) kein Abschluss","5 Einkommensstärkstes Quintil","70","1","1","1"
"Nein","2009","Hauptschule","1 Einkommensschwächstes Quintil","1371","0.981872931759428","0.974884568016964","0.988861295501892"
"Nein","2009","Hauptschule","2","1661","0.971794436292439","0.963954292903384","0.979634579681493"
"Nein","2009","Hauptschule","3","1265","0.967441853329625","0.95782013651174","0.97706357014751"
"Nein","2009","Hauptschule","4","1175","0.969466524755969","0.9597763737033","0.979156675808638"
"Nein","2009","Hauptschule","5 Einkommensstärkstes Quintil","569","0.971867893476305","0.958422770806578","0.985313016146031"
"Nein","2009","Realschule","1 Einkommensschwächstes Quintil","718","0.990526155552725","0.983479616235902","0.997572694869548"
