year,pgisced97,ple0016,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,Primary Level,No,0.95134,160,160,0.91789,0.98478
2009,Lower Secondary Level,Yes,0.02472,41,1788,0.01752,0.03192
2009,Lower Secondary Level,No,0.97528,1747,1788,0.96808,0.98248
2009,Upper Secondary Level,Yes,0.01832,167,9063,0.01556,0.02108
2009,Upper Secondary Level,No,0.98168,8896,9063,0.97892,0.98444
2009,Post-secondary Non-tertiary Level,No,0.99268,988,988,0.98737,0.99800
2009,First Stage of Tertiary Education,No,0.97194,1305,1305,0.96297,0.98090
2009,Second Stage of Tertiary Education,Yes,0.01230,41,4035,0.00890,0.01570
2009,Second Stage of Tertiary Education,No,0.98770,3994,4035,0.98430,0.99110
2011,Primary Level,No,0.95870,220,220,0.93234,0.98505
2011,Lower Secondary Level,Yes,0.03998,73,2166,0.03173,0.04824
2011,Lower Secondary Level,No,0.96002,2093,2166,0.95176,0.96827
2011,Upper Secondary Level,Yes,0.02423,238,10490,0.02129,0.02717
2011,Upper Secondary Level,No,0.97577,10252,10490,0.97283,0.97871
2011,Post-secondary Non-tertiary Level,No,0.99734,1194,1194,0.99442,1.00026
2011,First Stage of Tertiary Education,Yes,0.02423,33,1445,0.01630,0.03216
2011,First Stage of Tertiary Education,No,0.97577,1412,1445,0.96784,0.98370
2011,Second Stage of Tertiary Education,Yes,0.01798,65,4588,0.01413,0.02182
2011,Second Stage of Tertiary Education,No,0.98202,4523,4588,0.97818,0.98587
2013,No answer / don't know,No,0.99516,268,268,0.98684,1.00348
2013,Primary Level,No,0.96923,186,186,0.94434,0.99412
2013,Lower Secondary Level,Yes,0.03446,57,1851,0.02615,0.04277
2013,Lower Secondary Level,No,0.96554,1794,1851,0.95723,0.97385
2013,Upper Secondary Level,Yes,0.02560,237,9407,0.02241,0.02879
2013,Upper Secondary Level,No,0.97440,9170,9407,0.97121,0.97759
2013,Post-secondary Non-tertiary Level,No,0.99780,1088,1088,0.99501,1.00059
2013,First Stage of Tertiary Education,Yes,0.02537,31,1323,0.01689,0.03385
2013,First Stage of Tertiary Education,No,0.97463,1292,1323,0.96615,0.98311
2013,Second Stage of Tertiary Education,Yes,0.01899,68,4466,0.01499,0.02300
2013,Second Stage of Tertiary Education,No,0.98101,4398,4466,0.97700,0.98501
2015,No answer / don't know,No,0.99952,612,612,0.99779,1.00126
2015,Primary Level,No,0.96369,394,394,0.94519,0.98218
2015,Lower Secondary Level,Yes,0.02718,55,2673,0.02101,0.03334
2015,Lower Secondary Level,No,0.97282,2618,2673,0.96666,0.97899
2015,Upper Secondary Level,Yes,0.02686,271,11649,0.02392,0.02980
2015,Upper Secondary Level,No,0.97314,11378,11649,0.97020,0.97608
2015,Post-secondary Non-tertiary Level,No,0.99076,1928,1928,0.98649,0.99503
2015,First Stage of Tertiary Education,Yes,0.02993,43,1520,0.02136,0.03850
2015,First Stage of Tertiary Education,No,0.97007,1477,1520,0.96150,0.97864
2015,Second Stage of Tertiary Education,Yes,0.01648,80,5873,0.01323,0.01974
2015,Second Stage of Tertiary Education,No,0.98352,5793,5873,0.98026,0.98677
2017,No answer / don't know,No,0.99811,611,611,0.99466,1.00156
2017,Primary Level,No,0.97793,438,438,0.96415,0.99170
2017,Lower Secondary Level,Yes,0.03056,57,2745,0.02412,0.03700
2017,Lower Secondary Level,No,0.96944,2688,2745,0.96300,0.97588
2017,Upper Secondary Level,Yes,0.02573,267,12073,0.02291,0.02856
2017,Upper Secondary Level,No,0.97427,11806,12073,0.97144,0.97709
2017,Post-secondary Non-tertiary Level,No,0.98826,2189,2189,0.98374,0.99277
2017,First Stage of Tertiary Education,Yes,0.03174,52,1527,0.02294,0.04053
2017,First Stage of Tertiary Education,No,0.96826,1475,1527,0.95947,0.97706
2017,Second Stage of Tertiary Education,Yes,0.01551,92,6515,0.01251,0.01851
2017,Second Stage of Tertiary Education,No,0.98449,6423,6515,0.98149,0.98749
2019,No answer / don't know,No,0.99710,569,569,0.99268,1.00152
2019,Pre-primary Level,No,0.99772,330,330,0.99257,1.00287
2019,Primary Level,No,0.94013,373,373,0.91602,0.96424
2019,Lower Secondary Level,Yes,0.03393,53,2424,0.02672,0.04114
2019,Lower Secondary Level,No,0.96607,2371,2424,0.95886,0.97328
2019,Upper Secondary Level,Yes,0.02836,274,11150,0.02528,0.03144
2019,Upper Secondary Level,No,0.97164,10876,11150,0.96856,0.97472
2019,Post-secondary Non-tertiary Level,No,0.99431,2151,2151,0.99113,0.99749
2019,First Stage of Tertiary Education,Yes,0.02255,47,1657,0.01540,0.02970
2019,First Stage of Tertiary Education,No,0.97745,1610,1657,0.97030,0.98460
2019,Second Stage of Tertiary Education,Yes,0.01465,112,7023,0.01184,0.01746
2019,Second Stage of Tertiary Education,No,0.98535,6911,7023,0.98254,0.98816
2021,No answer / don't know,No,0.98840,781,781,0.98089,0.99592
2021,Primary Level,No,0.95753,918,918,0.94448,0.97058
2021,Lower Secondary Level,Yes,0.03773,37,1744,0.02878,0.04667
2021,Lower Secondary Level,No,0.96227,1707,1744,0.95333,0.97122
2021,Upper Secondary Level,Yes,0.02887,176,7298,0.02503,0.03271
2021,Upper Secondary Level,No,0.97113,7122,7298,0.96729,0.97497
2021,Post-secondary Non-tertiary Level,No,0.98798,1566,1566,0.98257,0.99338
2021,First Stage of Tertiary Education,Yes,0.03453,33,992,0.02316,0.04590
2021,First Stage of Tertiary Education,No,0.96547,959,992,0.95410,0.97684
2021,Second Stage of Tertiary Education,Yes,0.01542,84,5635,0.01221,0.01864
2021,Second Stage of Tertiary Education,No,0.98458,5551,5635,0.98136,0.98779
