year,migback,regtyp,ple0016,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,No migration background,Urban regions,Yes,0.01905,163,9786,0.01634,0.02176
2009,No migration background,Urban regions,No,0.98095,9623,9786,0.97824,0.98366
2009,No migration background,Rural regions,Yes,0.01846,100,5864,0.01502,0.02191
2009,No migration background,Rural regions,No,0.98154,5764,5864,0.97809,0.98498
2009,Direct migration background,Urban regions,No,0.98380,1325,1325,0.97700,0.99060
2009,Direct migration background,Rural regions,No,0.98306,313,313,0.96874,0.99738
2009,Indirect migration background,Urban regions,No,0.99625,589,589,0.99131,1.00119
2011,No migration background,Urban regions,Yes,0.02434,232,11186,0.02148,0.02719
2011,No migration background,Urban regions,No,0.97566,10954,11186,0.97281,0.97852
2011,No migration background,Rural regions,Yes,0.02444,148,6747,0.02076,0.02813
2011,No migration background,Rural regions,No,0.97556,6599,6747,0.97187,0.97924
2011,Direct migration background,Urban regions,No,0.97957,1523,1523,0.97246,0.98667
2011,Direct migration background,Rural regions,No,0.98075,454,454,0.96809,0.99340
2011,Indirect migration background,Urban regions,No,0.99510,653,653,0.98975,1.00046
2011,Indirect migration background,Rural regions,No,0.99569,138,138,0.98472,1.00666
2013,No migration background,Urban regions,Yes,0.02286,215,10189,0.01995,0.02576
2013,No migration background,Urban regions,No,0.97714,9974,10189,0.97424,0.98005
2013,No migration background,Rural regions,Yes,0.02712,162,6232,0.02308,0.03115
2013,No migration background,Rural regions,No,0.97288,6070,6232,0.96885,0.97692
2013,Direct migration background,Urban regions,No,0.98122,1302,1302,0.97384,0.98859
2013,Direct migration background,Rural regions,No,0.99050,416,416,0.98117,0.99983
2013,Indirect migration background,Urban regions,No,0.99190,559,559,0.98447,0.99934
2013,Indirect migration background,Rural regions,No,0.99286,135,135,0.97861,1.00712
2015,No migration background,Urban regions,Yes,0.02496,261,11612,0.02212,0.02780
2015,No migration background,Urban regions,No,0.97504,11351,11612,0.97220,0.97788
2015,No migration background,Rural regions,Yes,0.02522,161,7411,0.02165,0.02879
2015,No migration background,Rural regions,No,0.97478,7250,7411,0.97121,0.97835
2015,Direct migration background,Urban regions,Yes,0.01492,42,3335,0.01081,0.01904
2015,Direct migration background,Urban regions,No,0.98508,3293,3335,0.98096,0.98919
2015,Direct migration background,Rural regions,No,0.98273,1122,1122,0.97510,0.99036
2015,Indirect migration background,Urban regions,No,0.99296,1245,1245,0.98832,0.99761
2015,Indirect migration background,Rural regions,No,0.99307,289,289,0.98348,1.00265
2017,No migration background,Urban regions,Yes,0.02240,246,12289,0.01979,0.02502
2017,No migration background,Urban regions,No,0.97760,12043,12289,0.97498,0.98021
2017,No migration background,Rural regions,Yes,0.02812,189,7822,0.02446,0.03178
2017,No migration background,Rural regions,No,0.97188,7633,7822,0.96822,0.97554
2017,Direct migration background,Urban regions,Yes,0.01941,48,3553,0.01488,0.02395
2017,Direct migration background,Urban regions,No,0.98059,3505,3553,0.97605,0.98512
2017,Direct migration background,Rural regions,No,0.98677,1247,1247,0.98042,0.99311
2017,Indirect migration background,Urban regions,No,0.99438,1330,1330,0.99036,0.99840
2017,Indirect migration background,Rural regions,No,0.99622,283,283,0.98906,1.00338
2019,No migration background,No answer / don't know,No,0.97910,474,474,0.96621,0.99199
2019,No migration background,Urban regions,Yes,0.02397,283,12180,0.02125,0.02669
2019,No migration background,Urban regions,No,0.97603,11897,12180,0.97331,0.97875
2019,No migration background,Rural regions,Yes,0.02857,180,7459,0.02479,0.03235
2019,No migration background,Rural regions,No,0.97143,7279,7459,0.96765,0.97521
2019,Direct migration background,Urban regions,Yes,0.01931,32,2967,0.01436,0.02426
2019,Direct migration background,Urban regions,No,0.98069,2935,2967,0.97574,0.98564
2019,Direct migration background,Rural regions,No,0.98659,1012,1012,0.97950,0.99368
2019,Indirect migration background,Urban regions,No,0.99499,1237,1237,0.99106,0.99893
2019,Indirect migration background,Rural regions,No,0.99068,289,289,0.97958,1.00178
2021,No migration background,Urban regions,Yes,0.02552,208,8244,0.02212,0.02893
2021,No migration background,Urban regions,No,0.97448,8036,8244,0.97107,0.97788
2021,No migration background,Rural regions,Yes,0.03056,111,4809,0.02569,0.03542
2021,No migration background,Rural regions,No,0.96944,4698,4809,0.96458,0.97431
2021,Direct migration background,Urban regions,No,0.97958,4004,4004,0.97520,0.98397
2021,Direct migration background,Rural regions,No,0.99387,1137,1137,0.98933,0.99841
2021,Indirect migration background,Urban regions,No,0.99511,729,729,0.99005,1.00018
2021,Indirect migration background,Rural regions,No,0.99451,190,190,0.98397,1.00504
