year,migback,pgisced97,ple0016,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,No migration background,Primary Level,No,0.96964,64,64,0.92728,1.01201
2009,No migration background,Lower Secondary Level,Yes,0.03068,37,1282,0.02124,0.04013
2009,No migration background,Lower Secondary Level,No,0.96932,1245,1282,0.95987,0.97876
2009,No migration background,Upper Secondary Level,Yes,0.01958,159,8160,0.01658,0.02259
2009,No migration background,Upper Secondary Level,No,0.98042,8001,8160,0.97741,0.98342
2009,No migration background,Post-secondary Non-tertiary Level,No,0.99366,785,785,0.98811,0.99922
2009,No migration background,First Stage of Tertiary Education,No,0.97346,1184,1184,0.96430,0.98262
2009,No migration background,Second Stage of Tertiary Education,Yes,0.01356,39,3656,0.00981,0.01732
2009,No migration background,Second Stage of Tertiary Education,No,0.98644,3617,3656,0.98268,0.99019
2009,Direct migration background,Primary Level,No,0.93415,87,87,0.88173,0.98657
2009,Direct migration background,Lower Secondary Level,No,0.98500,358,358,0.97240,0.99761
2009,Direct migration background,Upper Secondary Level,No,0.98658,608,608,0.97743,0.99574
2009,Direct migration background,Post-secondary Non-tertiary Level,No,0.99123,167,167,0.97704,1.00541
2009,Direct migration background,First Stage of Tertiary Education,No,0.95587,92,92,0.91367,0.99807
2009,Direct migration background,Second Stage of Tertiary Education,No,0.99396,290,290,0.98503,1.00289
2009,Indirect migration background,Upper Secondary Level,No,0.99697,287,287,0.99060,1.00334
2009,Indirect migration background,Post-secondary Non-tertiary Level,No,0.98119,36,36,0.93618,1.02620
2011,No migration background,Primary Level,No,0.96003,112,112,0.92359,0.99647
2011,No migration background,Lower Secondary Level,Yes,0.04535,62,1614,0.03520,0.05550
2011,No migration background,Lower Secondary Level,No,0.95465,1552,1614,0.94450,0.96480
2011,No migration background,Upper Secondary Level,Yes,0.02525,219,9378,0.02208,0.02843
2011,No migration background,Upper Secondary Level,No,0.97475,9159,9378,0.97157,0.97792
2011,No migration background,Post-secondary Non-tertiary Level,No,0.99907,943,943,0.99712,1.00102
2011,No migration background,First Stage of Tertiary Education,No,0.97582,1287,1287,0.96742,0.98421
2011,No migration background,Second Stage of Tertiary Education,Yes,0.02024,63,4110,0.01593,0.02455
2011,No migration background,Second Stage of Tertiary Education,No,0.97976,4047,4110,0.97545,0.98407
2011,Direct migration background,Primary Level,No,0.95527,95,95,0.91348,0.99706
2011,Direct migration background,Lower Secondary Level,No,0.96881,408,408,0.95192,0.98570
2011,Direct migration background,Upper Secondary Level,No,0.97830,756,756,0.96791,0.98870
2011,Direct migration background,Post-secondary Non-tertiary Level,No,0.98991,205,205,0.97619,1.00362
2011,Direct migration background,First Stage of Tertiary Education,No,0.97566,90,90,0.94364,1.00767
2011,Direct migration background,Second Stage of Tertiary Education,No,0.99438,368,368,0.98673,1.00203
2011,Indirect migration background,Upper Secondary Level,No,0.99352,337,337,0.98495,1.00210
2011,Indirect migration background,First Stage of Tertiary Education,No,0.97414,35,35,0.92080,1.02749
2013,No migration background,No answer / don't know,No,0.99670,198,198,0.98870,1.00471
2013,No migration background,Primary Level,No,0.97356,109,109,0.94330,1.00382
2013,No migration background,Lower Secondary Level,Yes,0.04083,52,1387,0.03041,0.05125
2013,No migration background,Lower Secondary Level,No,0.95917,1335,1387,0.94875,0.96959
2013,No migration background,Upper Secondary Level,Yes,0.02616,223,8447,0.02276,0.02956
2013,No migration background,Upper Secondary Level,No,0.97384,8224,8447,0.97044,0.97724
2013,No migration background,Post-secondary Non-tertiary Level,No,0.99774,866,866,0.99458,1.00090
2013,No migration background,First Stage of Tertiary Education,No,0.97566,1193,1193,0.96691,0.98441
2013,No migration background,Second Stage of Tertiary Education,Yes,0.02066,66,3989,0.01624,0.02507
2013,No migration background,Second Stage of Tertiary Education,No,0.97934,3923,3989,0.97493,0.98376
2013,Direct migration background,Primary Level,No,0.96643,67,67,0.92297,1.00988
2013,Direct migration background,Lower Secondary Level,No,0.98755,343,343,0.97580,0.99930
2013,Direct migration background,Upper Secondary Level,No,0.97717,649,649,0.96567,0.98867
2013,Direct migration background,Post-secondary Non-tertiary Level,No,0.99785,185,185,0.99116,1.00454
2013,Direct migration background,First Stage of Tertiary Education,No,0.96108,70,70,0.91544,1.00671
