year,migback,sampreg,ple0016,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,No migration background,West,Yes,0.01897,187,11224,0.01645,0.02149
2009,No migration background,West,No,0.98103,11037,11224,0.97851,0.98355
2009,No migration background,East,Yes,0.01839,76,4426,0.01443,0.02235
2009,No migration background,East,No,0.98161,4350,4426,0.97765,0.98557
2009,Direct migration background,West,No,0.98383,1565,1565,0.97758,0.99008
2009,Direct migration background,East,No,0.97811,73,73,0.94431,1.01191
2009,Indirect migration background,West,No,0.99684,666,666,0.99257,1.00110
2011,No migration background,West,Yes,0.02417,264,13165,0.02155,0.02680
2011,No migration background,West,No,0.97583,12901,13165,0.97320,0.97845
2011,No migration background,East,Yes,0.02511,116,4768,0.02067,0.02955
2011,No migration background,East,No,0.97489,4652,4768,0.97045,0.97933
2011,Direct migration background,West,Yes,0.01928,35,1921,0.01313,0.02543
2011,Direct migration background,West,No,0.98072,1886,1921,0.97457,0.98687
2011,Direct migration background,East,No,0.95142,91,91,0.90701,0.99584
2011,Indirect migration background,West,No,0.99505,749,749,0.99002,1.00008
2013,No migration background,West,Yes,0.02301,259,12098,0.02034,0.02568
2013,No migration background,West,No,0.97699,11839,12098,0.97432,0.97966
2013,No migration background,East,Yes,0.02939,118,4323,0.02435,0.03442
2013,No migration background,East,No,0.97061,4205,4323,0.96558,0.97565
2013,Direct migration background,West,No,0.98377,1630,1630,0.97764,0.98991
2013,Direct migration background,East,No,0.97044,88,88,0.93484,1.00603
2013,Indirect migration background,West,No,0.99175,656,656,0.98482,0.99868
2015,No migration background,West,Yes,0.02476,303,14178,0.02220,0.02732
2015,No migration background,West,No,0.97524,13875,14178,0.97268,0.97780
2015,No migration background,East,Yes,0.02616,119,4845,0.02166,0.03065
2015,No migration background,East,No,0.97384,4726,4845,0.96935,0.97834
2015,Direct migration background,West,Yes,0.01470,51,4157,0.01104,0.01835
2015,Direct migration background,West,No,0.98530,4106,4157,0.98165,0.98896
2015,Direct migration background,East,No,0.96936,309,309,0.95011,0.98861
2015,Indirect migration background,West,No,0.99381,1443,1443,0.98976,0.99786
2015,Indirect migration background,East,No,0.97178,91,91,0.93756,1.00599
2017,No migration background,West,Yes,0.02404,303,15004,0.02159,0.02649
2017,No migration background,West,No,0.97596,14701,15004,0.97351,0.97841
2017,No migration background,East,Yes,0.02568,132,5107,0.02134,0.03002
2017,No migration background,East,No,0.97432,4975,5107,0.96998,0.97866
2017,Direct migration background,West,Yes,0.01825,58,4432,0.01431,0.02219
2017,Direct migration background,West,No,0.98175,4374,4432,0.97781,0.98569
2017,Direct migration background,East,No,0.98434,378,378,0.97181,0.99687
2017,Indirect migration background,West,No,0.99502,1515,1515,0.99148,0.99857
2017,Indirect migration background,East,No,0.98672,98,98,0.96393,1.00950
2019,No migration background,Does not apply,No,0.99422,66,66,0.97580,1.01265
2019,No migration background,West,Yes,0.02517,343,14941,0.02266,0.02769
2019,No migration background,West,No,0.97483,14598,14941,0.97231,0.97734
2019,No migration background,East,Yes,0.02680,129,5115,0.02237,0.03123
2019,No migration background,East,No,0.97320,4986,5115,0.96877,0.97763
2019,Direct migration background,West,Yes,0.01855,47,3714,0.01421,0.02289
2019,Direct migration background,West,No,0.98145,3667,3714,0.97711,0.98579
2019,Direct migration background,East,No,0.98199,307,307,0.96709,0.99689
2019,Indirect migration background,West,No,0.99415,1440,1440,0.99022,0.99809
2021,No migration background,West,Yes,0.02741,243,9825,0.02418,0.03064
2021,No migration background,West,No,0.97259,9582,9825,0.96936,0.97582
2021,No migration background,East,Yes,0.02670,76,3229,0.02114,0.03226
2021,No migration background,East,No,0.97330,3153,3229,0.96774,0.97886
2021,Direct migration background,West,Yes,0.01837,42,4648,0.01451,0.02223
2021,Direct migration background,West,No,0.98163,4606,4648,0.97777,0.98549
2021,Direct migration background,East,No,0.99800,535,535,0.99422,1.00179
2021,Indirect migration background,West,No,0.99483,838,838,0.98998,0.99969
2021,Indirect migration background,East,No,0.99814,81,81,0.98869,1.00759
