year,sex,ple0016,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,male,Yes,0.01988,156,8598,0.01693,0.02284
2009,male,No,0.98012,8442,8598,0.97716,0.98307
2009,female,Yes,0.01573,131,9420,0.01322,0.01824
2009,female,No,0.98427,9289,9420,0.98176,0.98678
2011,male,Yes,0.02519,240,9789,0.02208,0.02829
2011,male,No,0.97481,9549,9789,0.97171,0.97792
2011,female,Yes,0.02106,184,10956,0.01838,0.02375
2011,female,No,0.97894,10772,10956,0.97625,0.98162
2013,male,Yes,0.02573,227,8834,0.02243,0.02904
2013,male,No,0.97427,8607,8834,0.97096,0.97757
2013,female,Yes,0.02087,183,10032,0.01807,0.02367
2013,female,No,0.97913,9849,10032,0.97633,0.98193
2015,male,Yes,0.02519,267,11459,0.02232,0.02806
2015,male,No,0.97481,11192,11459,0.97194,0.97768
2015,female,Yes,0.02071,223,13581,0.01831,0.02310
2015,female,No,0.97929,13358,13581,0.97690,0.98169
2017,male,Yes,0.02421,287,12261,0.02149,0.02693
2017,male,No,0.97579,11974,12261,0.97307,0.97851
2017,female,Yes,0.02064,221,14288,0.01831,0.02298
2017,female,No,0.97936,14067,14288,0.97702,0.98169
2019,male,Yes,0.02738,329,12279,0.02450,0.03027
2019,male,No,0.97262,11950,12279,0.96973,0.97550
2019,female,Yes,0.01927,206,13441,0.01694,0.02159
2019,female,No,0.98073,13235,13441,0.97841,0.98306
2021,male,Yes,0.02620,216,9290,0.02296,0.02945
2021,male,No,0.97380,9074,9290,0.97055,0.97704
2021,female,Yes,0.02293,153,9867,0.01998,0.02588
2021,female,No,0.97707,9714,9867,0.97412,0.98002
