year,sampreg,sex,ple0016,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,West,male,Yes,0.01903,111,6411,0.01568,0.02237
2009,West,male,No,0.98097,6300,6411,0.97763,0.98432
2009,West,female,Yes,0.01630,98,7066,0.01335,0.01926
2009,West,female,No,0.98370,6968,7066,0.98074,0.98665
2009,East,male,Yes,0.02353,45,2187,0.01717,0.02988
2009,East,male,No,0.97647,2142,2187,0.97012,0.98283
2009,East,female,Yes,0.01320,33,2354,0.00859,0.01782
2009,East,female,No,0.98680,2321,2354,0.98218,0.99141
2011,West,male,Yes,0.02427,172,7459,0.02078,0.02777
2011,West,male,No,0.97573,7287,7459,0.97223,0.97922
2011,West,female,Yes,0.02093,132,8381,0.01787,0.02400
2011,West,female,No,0.97907,8249,8381,0.97600,0.98213
2011,East,male,Yes,0.02913,68,2330,0.02230,0.03596
2011,East,male,No,0.97087,2262,2330,0.96404,0.97770
2011,East,female,Yes,0.02167,52,2575,0.01605,0.02730
2011,East,female,No,0.97833,2523,2575,0.97270,0.98395
2013,West,male,Yes,0.02418,160,6731,0.02051,0.02785
2013,West,male,No,0.97582,6571,6731,0.97215,0.97949
2013,West,female,Yes,0.01961,129,7683,0.01651,0.02271
2013,West,female,No,0.98039,7554,7683,0.97729,0.98349
2013,East,male,Yes,0.03209,67,2103,0.02455,0.03962
2013,East,male,No,0.96791,2036,2103,0.96038,0.97545
2013,East,female,Yes,0.02634,54,2349,0.01986,0.03282
2013,East,female,No,0.97366,2295,2349,0.96718,0.98014
2015,West,male,Yes,0.02361,197,9061,0.02048,0.02673
2015,West,male,No,0.97639,8864,9061,0.97327,0.97952
2015,West,female,Yes,0.02075,166,10726,0.01805,0.02345
2015,West,female,No,0.97925,10560,10726,0.97655,0.98195
2015,East,male,Yes,0.03237,70,2398,0.02529,0.03946
2015,East,male,No,0.96763,2328,2398,0.96054,0.97471
2015,East,female,Yes,0.02051,57,2855,0.01531,0.02571
2015,East,female,No,0.97949,2798,2855,0.97429,0.98469
2017,West,male,Yes,0.02274,201,9685,0.01977,0.02571
2017,West,male,No,0.97726,9484,9685,0.97429,0.98023
2017,West,female,Yes,0.02097,168,11274,0.01832,0.02361
2017,West,female,No,0.97903,11106,11274,0.97639,0.98168
2017,East,male,Yes,0.03115,86,2576,0.02444,0.03786
2017,East,male,No,0.96885,2490,2576,0.96214,0.97556
2017,East,female,Yes,0.01909,53,3014,0.01420,0.02397
2017,East,female,No,0.98091,2961,3014,0.97603,0.98580
2019,Does not apply,male,No,0.98835,35,35,0.95228,1.02442
2019,West,male,Yes,0.02576,243,9601,0.02259,0.02893
2019,West,male,No,0.97424,9358,9601,0.97107,0.97741
2019,West,female,Yes,0.01974,156,10501,0.01708,0.02240
2019,West,female,No,0.98026,10345,10501,0.97760,0.98292
2019,East,male,Yes,0.03545,85,2642,0.02840,0.04250
2019,East,male,No,0.96455,2557,2642,0.95750,0.97160
2019,East,female,Yes,0.01719,50,2903,0.01246,0.02192
2019,East,female,No,0.98281,2853,2903,0.97808,0.98754
2021,West,male,Yes,0.02687,175,7449,0.02320,0.03054
2021,West,male,No,0.97313,7274,7449,0.96946,0.97680
2021,West,female,Yes,0.02216,116,7863,0.01890,0.02541
2021,West,female,No,0.97784,7747,7863,0.97459,0.98110
2021,East,male,Yes,0.02293,41,1841,0.01609,0.02977
2021,East,male,No,0.97707,1800,1841,0.97023,0.98391
2021,East,female,Yes,0.02670,37,2004,0.01964,0.03376
2021,East,female,No,0.97330,1967,2004,0.96624,0.98036
