year,quintil_oecd,regtyp,ple0016,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,1st Quintile,Urban regions,Yes,0.02693,46,1799,0.01944,0.03441
2009,1st Quintile,Urban regions,No,0.97307,1753,1799,0.96559,0.98056
2009,1st Quintile,Rural regions,No,0.97475,1045,1045,0.96523,0.98427
2009,2nd Quintile,Urban regions,Yes,0.01598,34,1898,0.01034,0.02162
2009,2nd Quintile,Urban regions,No,0.98402,1864,1898,0.97838,0.98966
2009,2nd Quintile,Rural regions,No,0.98420,1240,1240,0.97726,0.99114
2009,3rd Quintile,Urban regions,Yes,0.02100,36,2024,0.01475,0.02725
2009,3rd Quintile,Urban regions,No,0.97900,1988,2024,0.97275,0.98525
2009,3rd Quintile,Rural regions,No,0.98090,1360,1360,0.97363,0.98818
2009,4th Quintile,Urban regions,No,0.99003,2430,2430,0.98608,0.99398
2009,4th Quintile,Rural regions,No,0.98440,1299,1299,0.97766,0.99114
2009,5th Quintile,Urban regions,Yes,0.01575,42,3542,0.01165,0.01985
2009,5th Quintile,Urban regions,No,0.98425,3500,3542,0.98015,0.98835
2009,5th Quintile,Rural regions,No,0.98743,1247,1247,0.98124,0.99362
2011,1st Quintile,Urban regions,Yes,0.03675,45,1512,0.02726,0.04624
2011,1st Quintile,Urban regions,No,0.96325,1467,1512,0.95376,0.97274
2011,1st Quintile,Rural regions,No,0.97210,956,956,0.96166,0.98255
2011,2nd Quintile,Urban regions,Yes,0.03331,47,1629,0.02459,0.04203
2011,2nd Quintile,Urban regions,No,0.96669,1582,1629,0.95797,0.97541
2011,2nd Quintile,Rural regions,Yes,0.02808,31,1098,0.01830,0.03786
2011,2nd Quintile,Rural regions,No,0.97192,1067,1098,0.96214,0.98170
2011,3rd Quintile,Urban regions,Yes,0.02150,34,1865,0.01491,0.02808
2011,3rd Quintile,Urban regions,No,0.97850,1831,1865,0.97192,0.98509
2011,3rd Quintile,Rural regions,No,0.97438,1179,1179,0.96536,0.98341
2011,4th Quintile,Urban regions,Yes,0.01799,35,2226,0.01247,0.02351
2011,4th Quintile,Urban regions,No,0.98201,2191,2226,0.97649,0.98753
2011,4th Quintile,Rural regions,No,0.98122,1045,1045,0.97298,0.98945
2011,5th Quintile,Urban regions,Yes,0.01485,34,3037,0.01055,0.01915
2011,5th Quintile,Urban regions,No,0.98515,3003,3037,0.98085,0.98945
2011,5th Quintile,Rural regions,No,0.98517,1039,1039,0.97782,0.99253
2013,1st Quintile,Urban regions,Yes,0.03443,60,1829,0.02607,0.04279
2013,1st Quintile,Urban regions,No,0.96557,1769,1829,0.95721,0.97393
2013,1st Quintile,Rural regions,Yes,0.03617,46,1271,0.02590,0.04644
2013,1st Quintile,Rural regions,No,0.96383,1225,1271,0.95356,0.97410
2013,2nd Quintile,Urban regions,Yes,0.02583,43,2041,0.01895,0.03272
2013,2nd Quintile,Urban regions,No,0.97417,1998,2041,0.96728,0.98105
2013,2nd Quintile,Rural regions,Yes,0.03494,41,1400,0.02532,0.04457
2013,2nd Quintile,Rural regions,No,0.96506,1359,1400,0.95543,0.97468
2013,3rd Quintile,Urban regions,Yes,0.02491,48,2133,0.01829,0.03152
2013,3rd Quintile,Urban regions,No,0.97509,2085,2133,0.96848,0.98171
2013,3rd Quintile,Rural regions,Yes,0.02795,45,1471,0.01952,0.03638
