year,pgisced97,quintil_oecd,ple0016,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,Primary Level,1st Quintile,No,0.93148,93,93,0.87985,0.98310
2009,Primary Level,2nd Quintile,No,0.96138,43,43,0.90311,1.01966
2009,Lower Secondary Level,1st Quintile,No,0.96684,579,579,0.95225,0.98144
2009,Lower Secondary Level,2nd Quintile,No,0.97744,450,450,0.96370,0.99118
2009,Lower Secondary Level,3rd Quintile,No,0.98954,358,358,0.97899,1.00009
2009,Lower Secondary Level,4th Quintile,No,0.98196,242,242,0.96515,0.99876
2009,Lower Secondary Level,5th Quintile,No,0.95147,116,116,0.91219,0.99074
2009,Upper Secondary Level,1st Quintile,Yes,0.02207,39,1560,0.01477,0.02936
2009,Upper Secondary Level,1st Quintile,No,0.97793,1521,1560,0.97064,0.98523
2009,Upper Secondary Level,2nd Quintile,Yes,0.01663,38,1881,0.01085,0.02241
2009,Upper Secondary Level,2nd Quintile,No,0.98337,1843,1881,0.97759,0.98915
2009,Upper Secondary Level,3rd Quintile,Yes,0.02321,42,1901,0.01644,0.02998
2009,Upper Secondary Level,3rd Quintile,No,0.97679,1859,1901,0.97002,0.98356
2009,Upper Secondary Level,4th Quintile,No,0.98649,1959,1959,0.98138,0.99161
2009,Upper Secondary Level,5th Quintile,No,0.98414,1712,1712,0.97821,0.99006
2009,Post-secondary Non-tertiary Level,1st Quintile,No,0.96837,110,110,0.93552,1.00123
2009,Post-secondary Non-tertiary Level,5th Quintile,No,0.98834,307,307,0.97631,1.00037
2009,First Stage of Tertiary Education,1st Quintile,No,0.95848,116,116,0.92202,0.99494
2009,First Stage of Tertiary Education,2nd Quintile,No,0.97828,203,203,0.95817,0.99838
2009,First Stage of Tertiary Education,3rd Quintile,No,0.95882,281,281,0.93555,0.98210
2009,First Stage of Tertiary Education,4th Quintile,No,0.98137,342,342,0.96702,0.99572
2009,First Stage of Tertiary Education,5th Quintile,No,0.97614,363,363,0.96042,0.99186
2009,Second Stage of Tertiary Education,1st Quintile,No,0.97282,213,213,0.95093,0.99471
2009,Second Stage of Tertiary Education,2nd Quintile,No,0.99348,315,315,0.98457,1.00238
2009,Second Stage of Tertiary Education,3rd Quintile,No,0.98170,538,538,0.97037,0.99304
2009,Second Stage of Tertiary Education,4th Quintile,No,0.99207,811,811,0.98597,0.99818
2009,Second Stage of Tertiary Education,5th Quintile,No,0.98877,2117,2117,0.98428,0.99326
2011,Primary Level,1st Quintile,No,0.93318,59,59,0.86892,0.99745
2011,Lower Secondary Level,1st Quintile,No,0.95521,457,457,0.93623,0.97420
2011,Lower Secondary Level,2nd Quintile,No,0.94992,358,358,0.92729,0.97254
2011,Lower Secondary Level,3rd Quintile,No,0.96861,299,299,0.94881,0.98841
2011,Lower Secondary Level,4th Quintile,No,0.97343,179,179,0.94980,0.99706
2011,Lower Secondary Level,5th Quintile,No,0.93699,99,99,0.88888,0.98510
2011,Upper Secondary Level,1st Quintile,Yes,0.03178,41,1428,0.02268,0.04088
2011,Upper Secondary Level,1st Quintile,No,0.96822,1387,1428,0.95912,0.97732
2011,Upper Secondary Level,2nd Quintile,Yes,0.02778,45,1586,0.01969,0.03587
2011,Upper Secondary Level,2nd Quintile,No,0.97222,1541,1586,0.96413,0.98031
2011,Upper Secondary Level,3rd Quintile,Yes,0.02385,33,1735,0.01667,0.03103
2011,Upper Secondary Level,3rd Quintile,No,0.97615,1702,1735,0.96897,0.98333
2011,Upper Secondary Level,4th Quintile,No,0.98001,1614,1614,0.97318,0.98684
2011,Upper Secondary Level,5th Quintile,No,0.98131,1408,1408,0.97423,0.98839
2011,Post-secondary Non-tertiary Level,1st Quintile,No,0.98601,100,100,0.96288,1.00915
2011,Post-secondary Non-tertiary Level,2nd Quintile,No,0.99470,128,128,0.98207,1.00733
2011,Post-secondary Non-tertiary Level,4th Quintile,No,0.99661,222,222,0.98895,1.00427
2011,Post-secondary Non-tertiary Level,5th Quintile,No,0.99944,266,266,0.99658,1.00229
2011,First Stage of Tertiary Education,1st Quintile,No,0.96243,105,105,0.92589,0.99898
