year,age_gr,ple0016,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,17-29 y.,No,0.99902,2852,2852,0.99787,1.00017
2009,30-45 y.,No,0.99772,4666,4666,0.99635,0.99909
2009,46-65 y.,Yes,0.01770,90,6325,0.01445,0.02095
2009,46-65 y.,No,0.98230,6235,6325,0.97905,0.98555
2009,66 and older,Yes,0.04747,185,4163,0.04101,0.05393
2009,66 and older,No,0.95253,3978,4163,0.94607,0.95899
2011,17-29 y.,No,0.99978,2993,2993,0.99924,1.00031
2011,30-45 y.,No,0.99872,4847,4847,0.99772,0.99973
2011,46-65 y.,Yes,0.02049,146,7774,0.01734,0.02364
2011,46-65 y.,No,0.97951,7628,7774,0.97636,0.98266
2011,66 and older,Yes,0.05869,268,5121,0.05225,0.06512
2011,66 and older,No,0.94131,4853,5121,0.93488,0.94775
2013,17-29 y.,No,0.99972,2534,2534,0.99906,1.00037
2013,30-45 y.,No,0.99771,4062,4062,0.99624,0.99918
2013,46-65 y.,Yes,0.01913,147,7319,0.01599,0.02227
2013,46-65 y.,No,0.98087,7172,7319,0.97773,0.98401
2013,66 and older,Yes,0.05452,250,4938,0.04818,0.06085
2013,66 and older,No,0.94548,4688,4938,0.93915,0.95182
2015,17-29 y.,No,0.99981,3921,3921,0.99937,1.00024
2015,30-45 y.,Yes,0.00296,34,7356,0.00172,0.00420
2015,30-45 y.,No,0.99704,7322,7356,0.99580,0.99828
2015,46-65 y.,Yes,0.02251,182,8877,0.01943,0.02560
2015,46-65 y.,No,0.97749,8695,8877,0.97440,0.98057
2015,66 and older,Yes,0.05565,272,4884,0.04922,0.06208
2015,66 and older,No,0.94435,4612,4884,0.93792,0.95078
2017,17-29 y.,No,0.99974,4357,4357,0.99926,1.00022
2017,30-45 y.,No,0.99733,7227,7227,0.99615,0.99852
2017,46-65 y.,Yes,0.02214,193,9973,0.01926,0.02503
2017,46-65 y.,No,0.97786,9780,9973,0.97497,0.98074
2017,66 and older,Yes,0.05634,283,4960,0.04992,0.06276
2017,66 and older,No,0.94366,4677,4960,0.93724,0.95008
2019,17-29 y.,No,0.99963,3839,3839,0.99902,1.00024
2019,30-45 y.,No,0.99777,6263,6263,0.99660,0.99894
2019,46-65 y.,Yes,0.02154,189,10420,0.01875,0.02432
2019,46-65 y.,No,0.97846,10231,10420,0.97568,0.98125
2019,66 and older,Yes,0.06040,317,5175,0.05391,0.06689
2019,66 and older,No,0.93960,4858,5175,0.93311,0.94609
2021,17-29 y.,No,0.99921,3176,3176,0.99823,1.00019
2021,30-45 y.,No,0.99688,5190,5190,0.99536,0.99840
2021,46-65 y.,Yes,0.02094,141,7215,0.01764,0.02425
2021,46-65 y.,No,0.97906,7074,7215,0.97575,0.98236
2021,66 and older,Yes,0.06571,209,3564,0.05757,0.07385
2021,66 and older,No,0.93429,3355,3564,0.92615,0.94243
