year,sampreg,ple0016,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,West,Yes,0.01763,209,13477,0.01541,0.01985
2009,West,No,0.98237,13268,13477,0.98015,0.98459
2009,East,Yes,0.01830,78,4541,0.01440,0.02219
2009,East,No,0.98170,4463,4541,0.97781,0.98560
2011,West,Yes,0.02256,304,15840,0.02024,0.02487
2011,West,No,0.97744,15536,15840,0.97513,0.97976
2011,East,Yes,0.02541,120,4905,0.02100,0.02981
2011,East,No,0.97459,4785,4905,0.97019,0.97900
2013,West,Yes,0.02182,289,14414,0.01944,0.02421
2013,West,No,0.97818,14125,14414,0.97579,0.98056
2013,East,Yes,0.02921,121,4452,0.02426,0.03415
2013,East,No,0.97079,4331,4452,0.96585,0.97574
2015,West,Yes,0.02214,363,19787,0.02009,0.02419
2015,West,No,0.97786,19424,19787,0.97581,0.97991
2015,East,Yes,0.02633,127,5253,0.02200,0.03066
2015,East,No,0.97367,5126,5253,0.96934,0.97800
2017,West,Yes,0.02184,369,20959,0.01986,0.02382
2017,West,No,0.97816,20590,20959,0.97618,0.98014
2017,East,Yes,0.02505,139,5590,0.02096,0.02915
2017,East,No,0.97495,5451,5590,0.97085,0.97904
2019,Does not apply,No,0.99496,75,75,0.97882,1.01110
2019,West,Yes,0.02269,399,20104,0.02063,0.02475
2019,West,No,0.97731,19705,20104,0.97525,0.97937
2019,East,Yes,0.02599,135,5546,0.02180,0.03017
2019,East,No,0.97401,5411,5546,0.96983,0.97820
2021,West,Yes,0.02447,291,15317,0.02203,0.02692
2021,West,No,0.97553,15026,15317,0.97308,0.97797
2021,East,Yes,0.02483,78,3847,0.01991,0.02975
2021,East,No,0.97517,3769,3847,0.97025,0.98009
