year,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
1984,,,,,,,,,,,,
1985,,,,,,,,,,,,
1986,,,,,,,,,,,,
1987,,,,,,,,,,,,
1988,,,,,,,,,,,,
1989,,,,,,,,,,,,
1990,,,,,,,,,,,,
1991,,,,,,,,,,,,
1992,,,,,,,,,,,,
1993,,,,,,,,,,,,
1994,,,,,,,,,,,,
1995,,,,,,,,,,,,
1996,,,,,,,,,,,,
1997,,,,,,,,,,,,
1998,,,,,,,,,,,,
1999,,,,,,,,,,,,
2000,,,,,,,,,,,,
2001,,,,,,,,,,,,
2002,,,,,,,,,,,,
2003,,,,,,,,,,,,
2004,,,,,,,,,,,,
2005,5.46767,5.45402,5.48131,4.66667,5.66667,6.33333,2.16667,7.00000,5.66667,5.66667,5.66667,20486.00000
2006,,,,,,,,,,,,
2007,,,,,,,,,,,,
2008,,,,,,,,,,,,
2009,5.30774,5.29314,5.32234,4.66667,5.33333,6.00000,2.66667,7.00000,5.33333,5.33333,5.33333,17794.00000
2010,,,,,,,,,,,,
2011,,,,,,,,,,,,
2012,5.40535,5.38321,5.42749,4.66667,5.33333,6.00000,2.66667,7.00000,5.33333,5.33333,5.66667,7100.00000
2013,5.37202,5.35802,5.38602,4.66667,5.33333,6.00000,2.66667,7.00000,5.33333,5.33333,5.33333,18681.00000
2014,,,,,,,,,,,,
2015,,,,,,,,,,,,
2016,,,,,,,,,,,,
2017,5.38411,5.37286,5.39536,4.66667,5.33333,6.00000,2.66667,7.00000,5.33333,5.33333,5.33333,28506.00000
2018,,,,,,,,,,,,
2019,5.40022,5.38832,5.41212,4.66667,5.33333,6.00000,2.66667,7.00000,5.33333,5.33333,5.33333,25509.00000
2020,,,,,,,,,,,,
2021,,,,,,,,,,,,
2022,,,,,,,,,,,,
