year,age_gr,pgisced97,plh0038,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,Pre-primary Level,Very concerned,0.55384,107,162,0.47706,0.63063
1984,17-29 y.,Pre-primary Level,Somewhat concerned,0.31279,55,162,0.24117,0.38441
1984,17-29 y.,Primary Level,Very concerned,0.36670,76,203,0.30024,0.43315
1984,17-29 y.,Primary Level,Somewhat concerned,0.45439,79,203,0.38572,0.52305
1984,17-29 y.,Primary Level,Not concerned at all,0.15755,48,203,0.10731,0.20779
1984,17-29 y.,Lower Secondary Level,Very concerned,0.52309,521,1033,0.49261,0.55356
1984,17-29 y.,Lower Secondary Level,Somewhat concerned,0.36165,376,1033,0.33233,0.39096
1984,17-29 y.,Lower Secondary Level,Not concerned at all,0.10404,136,1033,0.08541,0.12267
1984,17-29 y.,Upper Secondary Level,Very concerned,0.54497,853,1586,0.52045,0.56948
1984,17-29 y.,Upper Secondary Level,Somewhat concerned,0.36121,580,1586,0.33756,0.38486
1984,17-29 y.,Upper Secondary Level,Not concerned at all,0.08532,153,1586,0.07156,0.09907
1984,17-29 y.,Post-secondary Non-tertiary Level,Very concerned,0.60075,73,115,0.51084,0.69065
1984,17-29 y.,Post-secondary Non-tertiary Level,Somewhat concerned,0.34300,42,115,0.25586,0.43015
1984,17-29 y.,First Stage of Tertiary Education,Very concerned,0.53737,70,116,0.44624,0.62850
1984,17-29 y.,First Stage of Tertiary Education,Somewhat concerned,0.37937,46,116,0.29068,0.46805
1984,17-29 y.,Second Stage of Tertiary Education,Very concerned,0.61192,76,117,0.52324,0.70060
1984,17-29 y.,Second Stage of Tertiary Education,Somewhat concerned,0.31402,41,117,0.22956,0.39849
1984,30-45 y.,Primary Level,Very concerned,0.33747,150,386,0.29024,0.38471
1984,30-45 y.,Primary Level,Somewhat concerned,0.34409,128,386,0.29663,0.39154
1984,30-45 y.,Primary Level,Not concerned at all,0.27334,108,386,0.22882,0.31786
1984,30-45 y.,Lower Secondary Level,Very concerned,0.51177,405,793,0.47696,0.54659
1984,30-45 y.,Lower Secondary Level,Somewhat concerned,0.37581,281,793,0.34208,0.40955
1984,30-45 y.,Lower Secondary Level,Not concerned at all,0.10330,107,793,0.08211,0.12450
1984,30-45 y.,Upper Secondary Level,Very concerned,0.50422,971,1928,0.48190,0.52655
1984,30-45 y.,Upper Secondary Level,Somewhat concerned,0.38983,764,1928,0.36805,0.41160
1984,30-45 y.,Upper Secondary Level,Not concerned at all,0.09596,193,1928,0.08281,0.10911
1984,30-45 y.,Post-secondary Non-tertiary Level,Very concerned,0.64029,58,58,0.51570,0.76488
1984,30-45 y.,First Stage of Tertiary Education,Very concerned,0.51956,131,233,0.45527,0.58385
1984,30-45 y.,First Stage of Tertiary Education,Somewhat concerned,0.41429,102,233,0.35090,0.47768
1984,30-45 y.,Second Stage of Tertiary Education,Very concerned,0.58192,222,353,0.53039,0.63345
1984,30-45 y.,Second Stage of Tertiary Education,Somewhat concerned,0.35285,131,353,0.30293,0.40277
1984,46-65 y.,Primary Level,Very concerned,0.48074,160,371,0.42983,0.53165
1984,46-65 y.,Primary Level,Somewhat concerned,0.30003,135,371,0.25333,0.34673
1984,46-65 y.,Primary Level,Not concerned at all,0.20357,76,371,0.16254,0.24459
1984,46-65 y.,Lower Secondary Level,Very concerned,0.53216,572,1079,0.50237,0.56194
1984,46-65 y.,Lower Secondary Level,Somewhat concerned,0.38396,410,1079,0.35492,0.41299
1984,46-65 y.,Lower Secondary Level,Not concerned at all,0.07908,97,1079,0.06297,0.09519
1984,46-65 y.,Upper Secondary Level,Very concerned,0.54554,850,1567,0.52088,0.57020
1984,46-65 y.,Upper Secondary Level,Somewhat concerned,0.36771,578,1567,0.34382,0.39159
1984,46-65 y.,Upper Secondary Level,Not concerned at all,0.07848,139,1567,0.06516,0.09180
1984,46-65 y.,Post-secondary Non-tertiary Level,Very concerned,0.67674,45,45,0.53854,0.81494
1984,46-65 y.,First Stage of Tertiary Education,Very concerned,0.55450,113,181,0.48189,0.62711
1984,46-65 y.,First Stage of Tertiary Education,Somewhat concerned,0.33470,68,181,0.26576,0.40364
1984,46-65 y.,Second Stage of Tertiary Education,Very concerned,0.51224,114,196,0.44208,0.58239
1984,46-65 y.,Second Stage of Tertiary Education,Somewhat concerned,0.37464,82,196,0.30670,0.44258
1984,66 and older,Lower Secondary Level,Very concerned,0.51419,263,508,0.47069,0.55770
1984,66 and older,Lower Secondary Level,Somewhat concerned,0.36485,188,508,0.32294,0.40675
1984,66 and older,Lower Secondary Level,Not concerned at all,0.11256,57,508,0.08505,0.14007
1984,66 and older,Upper Secondary Level,Very concerned,0.52739,305,568,0.48630,0.56849
1984,66 and older,Upper Secondary Level,Somewhat concerned,0.36328,203,568,0.32369,0.40286
1984,66 and older,Upper Secondary Level,Not concerned at all,0.10544,60,568,0.08016,0.13072
1984,66 and older,First Stage of Tertiary Education,Very concerned,0.54971,45,45,0.40270,0.69671
1984,66 and older,Second Stage of Tertiary Education,Very concerned,0.51713,34,34,0.34663,0.68763
1985,17-29 y.,Pre-primary Level,Very concerned,0.45784,83,186,0.38604,0.52963
1985,17-29 y.,Pre-primary Level,Somewhat concerned,0.37819,71,186,0.30831,0.44807
1985,17-29 y.,Pre-primary Level,Not concerned at all,0.15733,32,186,0.10486,0.20980
1985,17-29 y.,Primary Level,Very concerned,0.41295,64,125,0.32629,0.49961
1985,17-29 y.,Primary Level,Somewhat concerned,0.39567,61,125,0.30960,0.48174
1985,17-29 y.,Lower Secondary Level,Very concerned,0.46492,443,953,0.43323,0.49660
1985,17-29 y.,Lower Secondary Level,Somewhat concerned,0.40261,377,953,0.37146,0.43377
1985,17-29 y.,Lower Secondary Level,Not concerned at all,0.12365,133,953,0.10273,0.14456
1985,17-29 y.,Upper Secondary Level,Very concerned,0.48746,691,1416,0.46142,0.51351
1985,17-29 y.,Upper Secondary Level,Somewhat concerned,0.40677,571,1416,0.38117,0.43237
1985,17-29 y.,Upper Secondary Level,Not concerned at all,0.09622,154,1416,0.08085,0.11158
1985,17-29 y.,Post-secondary Non-tertiary Level,Very concerned,0.50764,62,103,0.41061,0.60466
1985,17-29 y.,Post-secondary Non-tertiary Level,Somewhat concerned,0.44739,41,103,0.35089,0.54388
1985,17-29 y.,First Stage of Tertiary Education,Very concerned,0.39389,46,99,0.29715,0.49063
1985,17-29 y.,First Stage of Tertiary Education,Somewhat concerned,0.50685,53,99,0.40787,0.60584
1985,17-29 y.,Second Stage of Tertiary Education,Very concerned,0.57901,71,112,0.48716,0.67086
1985,17-29 y.,Second Stage of Tertiary Education,Somewhat concerned,0.34517,41,112,0.25673,0.43362
