year,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,n
1984,,,,,,,,,
1985,,,,,,,,,
1986,,,,,,,,,
1987,,,,,,,,,
1988,,,,,,,,,
1989,,,,,,,,,
1990,,,,,,,,,
1991,,,,,,,,,
1992,,,,,,,,,
1993,,,,,,,,,
1994,,,,,,,,,
1995,,,,,,,,,
1996,,,,,,,,,
1997,,,,,,,,,
1998,,,,,,,,,
1999,,,,,,,,,
2000,,,,,,,,,
2001,,,,,,,,,
2002,,,,,,,,,
2003,,,,,,,,,
2004,,,,,,,,,
2005,,,,,,,,,
2006,,,,,,,,,
2007,,,,,,,,,
2008,,,,,,,,,
2009,,,,,,,,,
2010,,,,,,,,,
2011,,,,,,,,,
2012,,,,,,,,,
2013,,,,,,,,,
2014,,,,,,,,,
2015,,,,,,,,,
2016,,,,,,,,,
2017,2.80472,2.74168,2.86775,0.00000,2.00000,5.00000,0.00000,10.00000,7002.00000
2018,2.78488,2.72131,2.84845,0.00000,2.00000,5.00000,0.00000,10.00000,6728.00000
2019,,,,,,,,,
2020,2.88644,2.82448,2.94841,0.00000,2.00000,5.00000,0.00000,10.00000,6884.00000
2021,,,,,,,,,
2022,3.34700,3.28659,3.40741,0.00000,3.00000,5.00000,0.00000,10.00000,7767.00000
