,Unnamed: 0,year,pgisced97,regtyp,plh0194,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2003,Pre-primary Level,Urban regions,Strongly agree,0.35873,158,21602,0.31169,0.42254
1,1,2003,Pre-primary Level,Urban regions,Agree,0.48532,193,21602,0.42508,0.55537
2,2,2003,Pre-primary Level,Urban regions,Disagree,0.15594,60,21602,0.12277,0.19978
3,3,2003,Pre-primary Level,Rural regions,Strongly agree,0.53012,86,21602,0.44628,0.60879
4,4,2003,Pre-primary Level,Rural regions,Agree,0.46988,86,21602,0.38909,0.55726
5,5,2003,Primary Level,Urban regions,Strongly agree,0.62569,108,21602,0.55488,0.70222
6,6,2003,Primary Level,Urban regions,Agree,0.37431,73,21602,0.31415,0.44391
7,7,2003,Primary Level,Rural regions,Strongly agree,1.0,40,21602,0.82738,1.21991
8,8,2003,Lower Secondary Level,Urban regions,Strongly agree,0.53081,961,21602,0.50971,0.55176
9,9,2003,Lower Secondary Level,Urban regions,Agree,0.38386,712,21602,0.36488,0.40544
10,10,2003,Lower Secondary Level,Urban regions,Disagree,0.08533,140,21602,0.07423,0.09634
11,11,2003,Lower Secondary Level,Rural regions,Strongly agree,0.52393,462,21602,0.49119,0.55841
12,12,2003,Lower Secondary Level,Rural regions,Agree,0.4123,348,21602,0.38421,0.44017
13,13,2003,Lower Secondary Level,Rural regions,Disagree,0.06376,65,21602,0.05567,0.07314
14,14,2003,Upper Secondary Level,Urban regions,Strongly agree,0.47942,3323,21602,0.46623,0.49014
15,15,2003,Upper Secondary Level,Urban regions,Agree,0.41398,2974,21602,0.40256,0.42462
16,16,2003,Upper Secondary Level,Urban regions,Disagree,0.09267,632,21602,0.08683,0.09801
17,17,2003,Upper Secondary Level,Urban regions,Strongly disagree,0.01393,102,21602,0.01195,0.01596
18,18,2003,Upper Secondary Level,Rural regions,Strongly agree,0.47308,1905,21602,0.46028,0.48752
19,19,2003,Upper Secondary Level,Rural regions,Agree,0.4297,1745,21602,0.41176,0.44804
20,20,2003,Upper Secondary Level,Rural regions,Disagree,0.08231,314,21602,0.07523,0.09006
21,21,2003,Upper Secondary Level,Rural regions,Strongly disagree,0.0149,60,21602,0.01193,0.01743
22,22,2003,Post-secondary Non-tertiary Level,Urban regions,Strongly agree,0.41208,362,21602,0.38288,0.45035
23,23,2003,Post-secondary Non-tertiary Level,Urban regions,Agree,0.4495,396,21602,0.41041,0.48981
24,24,2003,Post-secondary Non-tertiary Level,Urban regions,Disagree,0.13842,105,21602,0.11399,0.15776
25,25,2003,Post-secondary Non-tertiary Level,Rural regions,Strongly agree,0.48437,108,21602,0.40578,0.56027
26,26,2003,Post-secondary Non-tertiary Level,Rural regions,Agree,0.51563,129,21602,0.43276,0.60085
27,27,2003,First Stage of Tertiary Education,Urban regions,Strongly agree,0.45734,439,21602,0.42853,0.48678
28,28,2003,First Stage of Tertiary Education,Urban regions,Agree,0.44256,487,21602,0.41104,0.47283
29,29,2003,First Stage of Tertiary Education,Urban regions,Disagree,0.10009,109,21602,0.08623,0.11662
30,30,2003,First Stage of Tertiary Education,Rural regions,Strongly agree,0.46991,285,21602,0.42981,0.50949
31,31,2003,First Stage of Tertiary Education,Rural regions,Agree,0.43809,268,21602,0.39899,0.489
32,32,2003,First Stage of Tertiary Education,Rural regions,Disagree,0.092,54,21602,0.06991,0.12154
33,33,2003,Second Stage of Tertiary Education,Urban regions,Strongly agree,0.33887,954,21602,0.32146,0.36
34,34,2003,Second Stage of Tertiary Education,Urban regions,Agree,0.4675,1511,21602,0.44773,0.49217
35,35,2003,Second Stage of Tertiary Education,Urban regions,Disagree,0.16649,538,21602,0.15232,0.17926
36,36,2003,Second Stage of Tertiary Education,Urban regions,Strongly disagree,0.02714,75,21602,0.02233,0.03397
37,37,2003,Second Stage of Tertiary Education,Rural regions,Strongly agree,0.39292,459,21602,0.3676,0.41845
38,38,2003,Second Stage of Tertiary Education,Rural regions,Agree,0.49271,614,21602,0.45343,0.52753
39,39,2003,Second Stage of Tertiary Education,Rural regions,Disagree,0.11438,162,21602,0.0996,0.13251
40,40,2008,Pre-primary Level,Urban regions,Strongly agree,0.47019,90,18726,0.38469,0.55024
41,41,2008,Pre-primary Level,Urban regions,Agree,0.52981,118,18726,0.45017,0.62158
42,42,2008,Pre-primary Level,Rural regions,Strongly agree,0.37483,41,18726,0.2907,0.46236
43,43,2008,Pre-primary Level,Rural regions,Agree,0.62517,60,18726,0.48725,0.80344
44,44,2008,Primary Level,Urban regions,Strongly agree,0.6637,73,18726,0.53909,0.77731
45,45,2008,Primary Level,Urban regions,Agree,0.3363,47,18726,0.25816,0.42882
46,46,2008,Primary Level,Rural regions,Strongly agree,1.0,31,18726,0.73853,1.24758
47,47,2008,Lower Secondary Level,Urban regions,Strongly agree,0.57998,734,18726,0.54826,0.61178
48,48,2008,Lower Secondary Level,Urban regions,Agree,0.34505,458,18726,0.3232,0.37012
49,49,2008,Lower Secondary Level,Urban regions,Disagree,0.07497,104,18726,0.06264,0.08795
50,50,2008,Lower Secondary Level,Rural regions,Strongly agree,0.49168,339,18726,0.45403,0.5283
51,51,2008,Lower Secondary Level,Rural regions,Agree,0.42374,274,18726,0.38098,0.45903
52,52,2008,Lower Secondary Level,Rural regions,Disagree,0.08458,55,18726,0.06977,0.10361
