year,migback,pgisced97,plh0194,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,No migration background,No answer / don't know,Strongly agree,0.49215,81,152,0.41241,0.57189
2003,No migration background,No answer / don't know,Agree,0.37982,71,152,0.30240,0.45723
2003,No migration background,Pre-primary Level,Strongly agree,0.38376,187,487,0.34052,0.42699
2003,No migration background,Pre-primary Level,Agree,0.46508,231,487,0.42074,0.50943
2003,No migration background,Pre-primary Level,Disagree,0.13907,69,487,0.10831,0.16983
2003,No migration background,Primary Level,Strongly agree,0.63300,55,55,0.50445,0.76156
2003,No migration background,Lower Secondary Level,Strongly agree,0.54489,1010,1855,0.52223,0.56756
2003,No migration background,Lower Secondary Level,Agree,0.37440,711,1855,0.35237,0.39643
2003,No migration background,Lower Secondary Level,Disagree,0.06636,134,1855,0.05503,0.07769
2003,No migration background,Upper Secondary Level,Strongly agree,0.47159,4566,9771,0.46169,0.48149
2003,No migration background,Upper Secondary Level,Agree,0.42268,4209,9771,0.41289,0.43248
2003,No migration background,Upper Secondary Level,Disagree,0.09118,852,9771,0.08547,0.09688
2003,No migration background,Upper Secondary Level,Strongly disagree,0.01455,144,9771,0.01218,0.01693
2003,No migration background,Post-secondary Non-tertiary Level,Strongly agree,0.38398,345,868,0.35160,0.41635
2003,No migration background,Post-secondary Non-tertiary Level,Agree,0.46733,419,868,0.43412,0.50055
2003,No migration background,Post-secondary Non-tertiary Level,Disagree,0.13128,104,868,0.10880,0.15376
2003,No migration background,First Stage of Tertiary Education,Strongly agree,0.45200,642,1502,0.42682,0.47718
2003,No migration background,First Stage of Tertiary Education,Agree,0.43198,680,1502,0.40692,0.45704
2003,No migration background,First Stage of Tertiary Education,Disagree,0.09349,146,1502,0.07876,0.10822
2003,No migration background,First Stage of Tertiary Education,Strongly disagree,0.02253,34,1502,0.01502,0.03003
2003,No migration background,Second Stage of Tertiary Education,Strongly agree,0.34772,1267,3911,0.33279,0.36264
2003,No migration background,Second Stage of Tertiary Education,Agree,0.46873,1912,3911,0.45309,0.48437
2003,No migration background,Second Stage of Tertiary Education,Disagree,0.15793,647,3911,0.14650,0.16936
2003,No migration background,Second Stage of Tertiary Education,Strongly disagree,0.02562,85,3911,0.02067,0.03058
2003,Direct migration background,Primary Level,Strongly agree,0.51512,87,149,0.43460,0.59563
2003,Direct migration background,Primary Level,Agree,0.37741,62,149,0.29931,0.45550
2003,Direct migration background,Lower Secondary Level,Strongly agree,0.46704,324,649,0.42863,0.50546
2003,Direct migration background,Lower Secondary Level,Agree,0.42088,272,649,0.38287,0.45889
2003,Direct migration background,Lower Secondary Level,Disagree,0.09830,53,649,0.07538,0.12122
2003,Direct migration background,Upper Secondary Level,Strongly agree,0.53290,522,949,0.50114,0.56466
2003,Direct migration background,Upper Secondary Level,Agree,0.38005,354,949,0.34915,0.41095
2003,Direct migration background,Upper Secondary Level,Disagree,0.07391,73,949,0.05726,0.09057
2003,Direct migration background,Post-secondary Non-tertiary Level,Strongly agree,0.49646,108,196,0.42629,0.56664
2003,Direct migration background,Post-secondary Non-tertiary Level,Agree,0.37128,88,196,0.30347,0.43910
2003,Direct migration background,First Stage of Tertiary Education,Strongly agree,0.45533,64,124,0.36732,0.54334
2003,Direct migration background,First Stage of Tertiary Education,Agree,0.41842,60,124,0.33124,0.50560
2003,Direct migration background,Second Stage of Tertiary Education,Strongly agree,0.38744,134,351,0.33640,0.43848
2003,Direct migration background,Second Stage of Tertiary Education,Agree,0.47333,178,351,0.42102,0.52564
2003,Direct migration background,Second Stage of Tertiary Education,Disagree,0.09818,39,351,0.06701,0.12936
2003,Indirect migration background,Pre-primary Level,Strongly agree,0.48214,34,34,0.31165,0.65262
2003,Indirect migration background,Lower Secondary Level,Strongly agree,0.41810,89,166,0.34284,0.49337
2003,Indirect migration background,Lower Secondary Level,Agree,0.41980,77,166,0.34449,0.49510
2003,Indirect migration background,Upper Secondary Level,Strongly agree,0.47634,142,299,0.41963,0.53304
2003,Indirect migration background,Upper Secondary Level,Agree,0.44737,157,299,0.39091,0.50382
2003,Indirect migration background,Second Stage of Tertiary Education,Agree,0.57111,35,35,0.40475,0.73747
2008,No migration background,No answer / don't know,Strongly agree,0.36584,86,230,0.30345,0.42823
2008,No migration background,No answer / don't know,Agree,0.48170,109,230,0.41698,0.54641
2008,No migration background,No answer / don't know,Disagree,0.13112,35,230,0.08740,0.17483
2008,No migration background,Pre-primary Level,Strongly agree,0.33501,96,287,0.28031,0.38971
2008,No migration background,Pre-primary Level,Agree,0.53360,154,287,0.47578,0.59141
2008,No migration background,Pre-primary Level,Disagree,0.12160,37,287,0.08372,0.15948
2008,No migration background,Primary Level,Strongly agree,0.61973,44,44,0.47463,0.76483
2008,No migration background,Lower Secondary Level,Strongly agree,0.53185,741,1419,0.50588,0.55782
2008,No migration background,Lower Secondary Level,Agree,0.36114,526,1419,0.33614,0.38614
2008,No migration background,Lower Secondary Level,Disagree,0.08340,120,1419,0.06900,0.09779
2008,No migration background,Lower Secondary Level,Strongly disagree,0.02361,32,1419,0.01571,0.03152
2008,No migration background,Upper Secondary Level,Strongly agree,0.45964,3923,8668,0.44914,0.47013
2008,No migration background,Upper Secondary Level,Agree,0.43151,3815,8668,0.42109,0.44194
2008,No migration background,Upper Secondary Level,Disagree,0.09184,785,8668,0.08576,0.09792
2008,No migration background,Upper Secondary Level,Strongly disagree,0.01701,145,8668,0.01429,0.01973
2008,No migration background,Post-secondary Non-tertiary Level,Strongly agree,0.37057,314,847,0.33802,0.40311
2008,No migration background,Post-secondary Non-tertiary Level,Agree,0.52432,446,847,0.49067,0.55797
2008,No migration background,Post-secondary Non-tertiary Level,Disagree,0.10052,87,847,0.08025,0.12078
2008,No migration background,First Stage of Tertiary Education,Strongly agree,0.40898,504,1247,0.38168,0.43628
2008,No migration background,First Stage of Tertiary Education,Agree,0.47837,594,1247,0.45063,0.50610
2008,No migration background,First Stage of Tertiary Education,Disagree,0.10329,149,1247,0.08639,0.12019
2008,No migration background,Second Stage of Tertiary Education,Strongly agree,0.29869,1182,3788,0.28411,0.31326
2008,No migration background,Second Stage of Tertiary Education,Agree,0.50693,1878,3788,0.49101,0.52285
2008,No migration background,Second Stage of Tertiary Education,Disagree,0.17114,638,3788,0.15914,0.18313
2008,No migration background,Second Stage of Tertiary Education,Strongly disagree,0.02324,90,3788,0.01845,0.02804
2008,Direct migration background,Primary Level,Strongly agree,0.60916,56,93,0.50946,0.70887
2008,Direct migration background,Primary Level,Agree,0.32177,37,93,0.22631,0.41724
2008,Direct migration background,Lower Secondary Level,Strongly agree,0.55957,244,420,0.51204,0.60711
2008,Direct migration background,Lower Secondary Level,Agree,0.36341,145,420,0.31735,0.40946
2008,Direct migration background,Lower Secondary Level,Disagree,0.06235,31,420,0.03920,0.08550
2008,Direct migration background,Upper Secondary Level,Strongly agree,0.50602,364,702,0.46901,0.54303
2008,Direct migration background,Upper Secondary Level,Agree,0.39774,276,702,0.36150,0.43397
2008,Direct migration background,Upper Secondary Level,Disagree,0.08163,62,702,0.06136,0.10189
2008,Direct migration background,Post-secondary Non-tertiary Level,Strongly agree,0.40172,82,168,0.32736,0.47607
2008,Direct migration background,Post-secondary Non-tertiary Level,Agree,0.50087,86,168,0.42503,0.57670
2008,Direct migration background,First Stage of Tertiary Education,Strongly agree,0.45062,50,105,0.35499,0.54625
2008,Direct migration background,First Stage of Tertiary Education,Agree,0.43342,55,105,0.33818,0.52866
2008,Direct migration background,Second Stage of Tertiary Education,Strongly agree,0.34718,107,302,0.29339,0.40096
2008,Direct migration background,Second Stage of Tertiary Education,Agree,0.47706,149,302,0.42063,0.53348
2008,Direct migration background,Second Stage of Tertiary Education,Disagree,0.15746,46,302,0.11631,0.19861
2008,Indirect migration background,Pre-primary Level,Strongly agree,0.64702,31,31,0.47601,0.81803
2008,Indirect migration background,Lower Secondary Level,Strongly agree,0.54984,88,149,0.46968,0.62999
2008,Indirect migration background,Lower Secondary Level,Agree,0.38250,61,149,0.30420,0.46080
2008,Indirect migration background,Upper Secondary Level,Strongly agree,0.44139,150,317,0.38664,0.49614
2008,Indirect migration background,Upper Secondary Level,Agree,0.46561,134,317,0.41061,0.52061
2008,Indirect migration background,Upper Secondary Level,Disagree,0.08389,33,317,0.05332,0.11445
2008,Indirect migration background,Second Stage of Tertiary Education,Agree,0.50931,52,52,0.37210,0.64651
2013,No migration background,No answer / don't know,Strongly agree,0.34795,125,326,0.29617,0.39974
2013,No migration background,No answer / don't know,Agree,0.50704,165,326,0.45269,0.56140
2013,No migration background,No answer / don't know,Disagree,0.13771,36,326,0.10025,0.17518
2013,No migration background,Pre-primary Level,Strongly agree,0.39012,119,323,0.33685,0.44340
2013,No migration background,Pre-primary Level,Agree,0.54675,167,323,0.49237,0.60112
2013,No migration background,Pre-primary Level,Disagree,0.05849,37,323,0.03286,0.08412
2013,No migration background,Primary Level,Strongly agree,0.61676,112,164,0.54213,0.69140
2013,No migration background,Primary Level,Agree,0.30032,52,164,0.22995,0.37069
2013,No migration background,Lower Secondary Level,Strongly agree,0.53855,1017,1826,0.51568,0.56142
2013,No migration background,Lower Secondary Level,Agree,0.39216,698,1826,0.36976,0.41456
2013,No migration background,Lower Secondary Level,Disagree,0.06391,111,1826,0.05269,0.07513
2013,No migration background,Upper Secondary Level,Strongly agree,0.47222,5073,10880,0.46284,0.48160
2013,No migration background,Upper Secondary Level,Agree,0.42430,4768,10880,0.41501,0.43359
2013,No migration background,Upper Secondary Level,Disagree,0.08959,916,10880,0.08422,0.09496
2013,No migration background,Upper Secondary Level,Strongly disagree,0.01389,123,10880,0.01169,0.01609
2013,No migration background,Post-secondary Non-tertiary Level,Strongly agree,0.35743,448,1364,0.33198,0.38287
2013,No migration background,Post-secondary Non-tertiary Level,Agree,0.50786,748,1364,0.48132,0.53440
2013,No migration background,Post-secondary Non-tertiary Level,Disagree,0.12172,168,1364,0.10436,0.13907
2013,No migration background,First Stage of Tertiary Education,Strongly agree,0.40407,587,1490,0.37915,0.42900
2013,No migration background,First Stage of Tertiary Education,Agree,0.45032,719,1490,0.42505,0.47559
