year,pgisced97,sampreg,plh0194,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,No answer / don't know,West,Strongly agree,0.49341,82,156,0.41471,0.57212
2003,No answer / don't know,West,Agree,0.39146,74,156,0.31462,0.46830
2003,No answer / don't know,East,Strongly agree,0.62209,34,34,0.45665,0.78752
2003,Pre-primary Level,West,Strongly agree,0.36131,172,446,0.31667,0.40594
2003,Pre-primary Level,West,Agree,0.48427,208,446,0.43783,0.53070
2003,Pre-primary Level,West,Disagree,0.14518,66,446,0.11245,0.17791
2003,Pre-primary Level,East,Strongly agree,0.48588,72,143,0.40367,0.56808
2003,Pre-primary Level,East,Agree,0.37582,71,143,0.29615,0.45548
2003,Primary Level,West,Strongly agree,0.54950,137,225,0.48434,0.61465
2003,Primary Level,West,Agree,0.34799,88,225,0.28561,0.41037
2003,Lower Secondary Level,West,Strongly agree,0.51777,1197,2282,0.49727,0.53828
2003,Lower Secondary Level,West,Agree,0.38794,904,2282,0.36794,0.40793
2003,Lower Secondary Level,West,Disagree,0.07965,181,2282,0.06854,0.09077
2003,Lower Secondary Level,East,Strongly agree,0.54341,226,382,0.49339,0.59342
2003,Lower Secondary Level,East,Agree,0.38069,156,382,0.33193,0.42944
2003,Upper Secondary Level,West,Strongly agree,0.46817,3812,8258,0.45741,0.47894
2003,Upper Secondary Level,West,Agree,0.42762,3610,8258,0.41695,0.43829
2003,Upper Secondary Level,West,Disagree,0.09057,726,8258,0.08438,0.09676
2003,Upper Secondary Level,West,Strongly disagree,0.01364,110,8258,0.01114,0.01615
2003,Upper Secondary Level,East,Strongly agree,0.51326,1418,2800,0.49474,0.53177
2003,Upper Secondary Level,East,Agree,0.38687,1110,2800,0.36882,0.40491
2003,Upper Secondary Level,East,Disagree,0.08316,220,2800,0.07293,0.09339
2003,Upper Secondary Level,East,Strongly disagree,0.01671,52,2800,0.01196,0.02146
2003,Post-secondary Non-tertiary Level,West,Strongly agree,0.41317,410,990,0.38248,0.44386
2003,Post-secondary Non-tertiary Level,West,Agree,0.44666,465,990,0.41567,0.47764
2003,Post-secondary Non-tertiary Level,West,Disagree,0.12282,115,990,0.10237,0.14328
2003,Post-secondary Non-tertiary Level,East,Strongly agree,0.38100,59,118,0.29300,0.46900
2003,Post-secondary Non-tertiary Level,East,Agree,0.41054,59,118,0.32140,0.49968
2003,First Stage of Tertiary Education,West,Strongly agree,0.43607,508,1200,0.40800,0.46414
2003,First Stage of Tertiary Education,West,Agree,0.43436,559,1200,0.40630,0.46242
2003,First Stage of Tertiary Education,West,Disagree,0.10451,133,1200,0.08719,0.12183
2003,First Stage of Tertiary Education,East,Strongly agree,0.49986,215,411,0.45146,0.54826
2003,First Stage of Tertiary Education,East,Agree,0.41433,196,411,0.36665,0.46201
2003,Second Stage of Tertiary Education,West,Strongly agree,0.32935,914,3052,0.31267,0.34602
2003,Second Stage of Tertiary Education,West,Agree,0.48234,1530,3052,0.46461,0.50007
2003,Second Stage of Tertiary Education,West,Disagree,0.15925,528,3052,0.14627,0.17224
2003,Second Stage of Tertiary Education,West,Strongly disagree,0.02906,80,3052,0.02310,0.03503
2003,Second Stage of Tertiary Education,East,Strongly agree,0.41313,499,1266,0.38599,0.44026
2003,Second Stage of Tertiary Education,East,Agree,0.43578,595,1266,0.40846,0.46311
2003,Second Stage of Tertiary Education,East,Disagree,0.12886,172,1266,0.11040,0.14733
2008,No answer / don't know,West,Strongly agree,0.45465,110,248,0.39255,0.51675
2008,No answer / don't know,West,Agree,0.44358,107,248,0.38162,0.50554
2008,No answer / don't know,West,Disagree,0.08913,31,248,0.05360,0.12467
2008,No answer / don't know,East,Agree,0.45029,39,39,0.29211,0.60848
2008,Pre-primary Level,West,Strongly agree,0.42862,104,269,0.36937,0.48787
2008,Pre-primary Level,West,Agree,0.47044,134,269,0.41068,0.53020
2008,Pre-primary Level,West,Disagree,0.09284,31,269,0.05809,0.12758
2008,Pre-primary Level,East,Agree,0.60585,44,44,0.45979,0.75191
2008,Primary Level,West,Strongly agree,0.60364,92,148,0.52457,0.68272
2008,Primary Level,West,Agree,0.28890,56,148,0.21563,0.36218
2008,Lower Secondary Level,West,Strongly agree,0.53499,905,1669,0.51105,0.55892
2008,Lower Secondary Level,West,Agree,0.36911,629,1669,0.34595,0.39227
2008,Lower Secondary Level,West,Disagree,0.07713,135,1669,0.06433,0.08994
2008,Lower Secondary Level,East,Strongly agree,0.57771,168,271,0.51880,0.63663
2008,Lower Secondary Level,East,Agree,0.31693,103,271,0.26143,0.37243
2008,Upper Secondary Level,West,Strongly agree,0.45444,3231,7199,0.44294,0.46595
2008,Upper Secondary Level,West,Agree,0.43939,3220,7199,0.42793,0.45086
2008,Upper Secondary Level,West,Disagree,0.09078,644,7199,0.08414,0.09742
2008,Upper Secondary Level,West,Strongly disagree,0.01538,104,7199,0.01254,0.01823
2008,Upper Secondary Level,East,Strongly agree,0.49826,1206,2498,0.47864,0.51787
2008,Upper Secondary Level,East,Agree,0.39115,1005,2498,0.37201,0.41029
