year,bula_h,regtyp,plh0194,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,Schleswig-Holstein,Urban regions,Strongly agree,0.32270,88,276,0.26744,0.37796
2003,Schleswig-Holstein,Urban regions,Agree,0.43676,126,276,0.37814,0.49538
2003,Schleswig-Holstein,Urban regions,Disagree,0.21947,62,276,0.17055,0.26839
2003,Schleswig-Holstein,Rural regions,Strongly agree,0.41009,145,368,0.35976,0.46041
2003,Schleswig-Holstein,Rural regions,Agree,0.43473,171,368,0.38401,0.48545
2003,Schleswig-Holstein,Rural regions,Disagree,0.13666,52,368,0.10152,0.17180
2003,Hamburg,Urban regions,Strongly agree,0.46028,120,259,0.39947,0.52110
2003,Hamburg,Urban regions,Agree,0.42427,139,259,0.36396,0.48457
2003,Lower Saxony,Urban regions,Strongly agree,0.43752,418,901,0.40511,0.46993
2003,Lower Saxony,Urban regions,Agree,0.43647,389,901,0.40407,0.46887
2003,Lower Saxony,Urban regions,Disagree,0.11187,94,901,0.09127,0.13246
2003,Lower Saxony,Rural regions,Strongly agree,0.45787,424,968,0.42647,0.48927
2003,Lower Saxony,Rural regions,Agree,0.45055,467,968,0.41919,0.48191
2003,Lower Saxony,Rural regions,Disagree,0.07013,77,968,0.05403,0.08622
2003,Bremen,Urban regions,Strongly agree,0.54773,88,143,0.46586,0.62959
2003,Bremen,Urban regions,Agree,0.30820,55,143,0.23225,0.38415
2003,North Rhine-Westphalia,Urban regions,Strongly agree,0.47797,2100,4523,0.46341,0.49253
2003,North Rhine-Westphalia,Urban regions,Agree,0.40677,1896,4523,0.39246,0.42109
2003,North Rhine-Westphalia,Urban regions,Disagree,0.09953,460,4523,0.09080,0.10825
2003,North Rhine-Westphalia,Urban regions,Strongly disagree,0.01573,67,4523,0.01210,0.01936
2003,North Rhine-Westphalia,Rural regions,Strongly agree,0.72559,72,72,0.62179,0.82938
2003,Hesse,Urban regions,Strongly agree,0.45736,532,1203,0.42920,0.48552
2003,Hesse,Urban regions,Agree,0.40355,532,1203,0.37581,0.43128
