year,migback,quintil_oecd,plh0194,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,No migration background,1st Quintile,Strongly agree,0.50758,1251,2420,0.48765,0.52750
2003,No migration background,1st Quintile,Agree,0.38225,919,2420,0.36288,0.40161
2003,No migration background,1st Quintile,Disagree,0.08692,197,2420,0.07570,0.09815
2003,No migration background,1st Quintile,Strongly disagree,0.02325,53,2420,0.01725,0.02926
2003,No migration background,2nd Quintile,Strongly agree,0.50834,1557,3085,0.49069,0.52598
2003,No migration background,2nd Quintile,Agree,0.39754,1234,3085,0.38027,0.41481
2003,No migration background,2nd Quintile,Disagree,0.07700,242,3085,0.06759,0.08641
2003,No migration background,2nd Quintile,Strongly disagree,0.01712,52,3085,0.01255,0.02170
2003,No migration background,3rd Quintile,Strongly agree,0.46833,1604,3442,0.45166,0.48501
2003,No migration background,3rd Quintile,Agree,0.41494,1456,3442,0.39848,0.43140
2003,No migration background,3rd Quintile,Disagree,0.09990,331,3442,0.08988,0.10992
2003,No migration background,3rd Quintile,Strongly disagree,0.01683,51,3442,0.01253,0.02112
2003,No migration background,4th Quintile,Strongly agree,0.43330,1651,3910,0.41777,0.44884
2003,No migration background,4th Quintile,Agree,0.45547,1820,3910,0.43985,0.47108
2003,No migration background,4th Quintile,Disagree,0.10169,397,3910,0.09221,0.11116
2003,No migration background,4th Quintile,Strongly disagree,0.00954,42,3910,0.00650,0.01259
2003,No migration background,5th Quintile,Strongly agree,0.38313,2089,5837,0.37065,0.39560
2003,No migration background,5th Quintile,Agree,0.46373,2830,5837,0.45094,0.47653
2003,No migration background,5th Quintile,Disagree,0.13378,805,5837,0.12505,0.14251
2003,No migration background,5th Quintile,Strongly disagree,0.01936,113,5837,0.01583,0.02290
2003,Direct migration background,1st Quintile,Strongly agree,0.45334,375,769,0.41813,0.48854
2003,Direct migration background,1st Quintile,Agree,0.45447,331,769,0.41926,0.48969
2003,Direct migration background,1st Quintile,Disagree,0.07143,63,769,0.05322,0.08965
2003,Direct migration background,2nd Quintile,Strongly agree,0.55695,338,597,0.51707,0.59683
2003,Direct migration background,2nd Quintile,Agree,0.33014,213,597,0.29238,0.36789
2003,Direct migration background,2nd Quintile,Disagree,0.09350,46,597,0.07012,0.11687
2003,Direct migration background,3rd Quintile,Strongly agree,0.48274,210,448,0.43642,0.52907
2003,Direct migration background,3rd Quintile,Agree,0.42798,203,448,0.38211,0.47385
2003,Direct migration background,3rd Quintile,Disagree,0.07804,35,448,0.05318,0.10291
2003,Direct migration background,4th Quintile,Strongly agree,0.48766,215,403,0.43880,0.53652
2003,Direct migration background,4th Quintile,Agree,0.41085,155,403,0.36276,0.45894
2003,Direct migration background,4th Quintile,Disagree,0.08978,33,403,0.06183,0.11772
2003,Direct migration background,5th Quintile,Strongly agree,0.38801,140,332,0.33551,0.44050
2003,Direct migration background,5th Quintile,Agree,0.42443,149,332,0.37118,0.47768
2003,Direct migration background,5th Quintile,Disagree,0.14482,43,332,0.10691,0.18274
2003,Indirect migration background,1st Quintile,Strongly agree,0.50775,81,164,0.43100,0.58450
2003,Indirect migration background,1st Quintile,Agree,0.40855,83,164,0.33309,0.48402
2003,Indirect migration background,2nd Quintile,Strongly agree,0.40992,72,126,0.32370,0.49614
2003,Indirect migration background,2nd Quintile,Agree,0.38457,54,126,0.29928,0.46985
2003,Indirect migration background,3rd Quintile,Strongly agree,0.37899,65,137,0.29745,0.46052
2003,Indirect migration background,3rd Quintile,Agree,0.49896,72,137,0.41492,0.58299
2003,Indirect migration background,4th Quintile,Strongly agree,0.52326,63,122,0.43427,0.61226
2003,Indirect migration background,4th Quintile,Agree,0.39147,59,122,0.30450,0.47843
2003,Indirect migration background,5th Quintile,Strongly agree,0.36333,54,126,0.27901,0.44764
2003,Indirect migration background,5th Quintile,Agree,0.42895,72,126,0.34219,0.51572
