year,migback,plh0194,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,No migration background,Strongly agree,0.45425,8153,18698,0.44711,0.46138
2003,No migration background,Agree,0.42679,8260,18698,0.41970,0.43388
2003,No migration background,Disagree,0.10203,1974,18698,0.09769,0.10637
2003,No migration background,Strongly disagree,0.01693,311,18698,0.01508,0.01878
2003,Direct migration background,Strongly agree,0.48189,1278,2594,0.46266,0.50113
2003,Direct migration background,Agree,0.41010,1051,2594,0.39117,0.42903
2003,Direct migration background,Disagree,0.08823,220,2594,0.07731,0.09915
2003,Direct migration background,Strongly disagree,0.01978,45,2594,0.01442,0.02513
2003,Indirect migration background,Strongly agree,0.44134,335,752,0.40582,0.47685
2003,Indirect migration background,Agree,0.42055,340,752,0.38525,0.45586
2003,Indirect migration background,Disagree,0.11376,77,752,0.09105,0.13647
2008,No migration background,Strongly agree,0.42647,6890,16589,0.41894,0.43399
2008,No migration background,Agree,0.44804,7545,16589,0.44048,0.45561
2008,No migration background,Disagree,0.10798,1858,16589,0.10326,0.11271
2008,No migration background,Strongly disagree,0.01751,296,16589,0.01551,0.01950
2008,Direct migration background,Strongly agree,0.48746,926,1868,0.46479,0.51013
2008,Direct migration background,Agree,0.40972,765,1868,0.38741,0.43203
2008,Direct migration background,Disagree,0.08959,177,1868,0.07663,0.10254
2008,Indirect migration background,Strongly agree,0.47029,354,756,0.43469,0.50589
2008,Indirect migration background,Agree,0.42992,328,756,0.39461,0.46524
2008,Indirect migration background,Disagree,0.08729,74,756,0.06715,0.10742
2013,No migration background,Strongly agree,0.42798,8826,21499,0.42137,0.43460
2013,No migration background,Agree,0.44872,9971,21499,0.44207,0.45537
2013,No migration background,Disagree,0.10865,2401,21499,0.10449,0.11281
2013,No migration background,Strongly disagree,0.01464,301,21499,0.01303,0.01624
2013,Direct migration background,Strongly agree,0.43005,1284,2792,0.41168,0.44842
2013,Direct migration background,Agree,0.43504,1208,2792,0.41665,0.45343
2013,Direct migration background,Disagree,0.11876,264,2792,0.10676,0.13077
2013,Direct migration background,Strongly disagree,0.01614,36,2792,0.01147,0.02082
2013,Indirect migration background,Strongly agree,0.38653,471,1094,0.35766,0.41540
2013,Indirect migration background,Agree,0.47992,517,1094,0.45030,0.50954
2013,Indirect migration background,Disagree,0.12263,106,1094,0.10318,0.14208
2018,No migration background,Strongly agree,0.38533,7370,19345,0.37847,0.39218
2018,No migration background,Agree,0.46319,8871,19345,0.45617,0.47022
2018,No migration background,Disagree,0.13393,2738,19345,0.12913,0.13872
2018,No migration background,Strongly disagree,0.01756,366,19345,0.01571,0.01941
2018,Direct migration background,Strongly agree,0.47912,4429,7712,0.46797,0.49027
2018,Direct migration background,Agree,0.38469,2498,7712,0.37383,0.39555
2018,Direct migration background,Disagree,0.11571,620,7712,0.10857,0.12285
2018,Direct migration background,Strongly disagree,0.02048,165,7712,0.01732,0.02364
2018,Indirect migration background,Strongly agree,0.42504,743,1577,0.40063,0.44944
2018,Indirect migration background,Agree,0.41042,630,1577,0.38613,0.43471
2018,Indirect migration background,Disagree,0.15054,204,1577,0.13288,0.16819
