"plh0194","year","bildungsniveau","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Stimme voll zu","2003","(noch) kein Abschluss","männlich","179","0.423740053612259","0.376197443775148","0.47128266344937"
"Stimme voll zu","2003","(noch) kein Abschluss","weiblich","213","0.477236064245879","0.432175510034928","0.522296618456829"
"Stimme voll zu","2003","Hauptschule","männlich","2061","0.504679086118063","0.489296014696422","0.520062157539703"
"Stimme voll zu","2003","Hauptschule","weiblich","2279","0.524430604571445","0.5095830751904","0.539278133952489"
"Stimme voll zu","2003","Realschule","männlich","1079","0.438999726689874","0.419424752080727","0.458574701299021"
"Stimme voll zu","2003","Realschule","weiblich","1534","0.467559755931697","0.450538981062866","0.484580530800528"
"Stimme voll zu","2003","(Fach-)Abitur","männlich","376","0.351896605695062","0.323713423925129","0.380079787464995"
"Stimme voll zu","2003","(Fach-)Abitur","weiblich","508","0.403002912206752","0.376318911509342","0.429686912904163"
"Stimme voll zu","2003","AkademikerIn","männlich","773","0.332776156851305","0.314129061287241","0.351423252415369"
"Stimme voll zu","2003","AkademikerIn","weiblich","640","0.37432647804271","0.352496853896894","0.396156102188526"
"Stimme eher zu","2003","(noch) kein Abschluss","männlich","181","0.444170593729303","0.396365992061885","0.491975195396721"
"Stimme eher zu","2003","(noch) kein Abschluss","weiblich","201","0.404702595724278","0.3604221400806","0.448983051367956"
"Stimme eher zu","2003","Hauptschule","männlich","1617","0.395710592654174","0.38066520443565","0.410755980872697"
"Stimme eher zu","2003","Hauptschule","weiblich","1670","0.377914351116967","0.363499007021707","0.392329695212226"
"Stimme eher zu","2003","Realschule","männlich","1141","0.458163497380957","0.438510358715408","0.477816636046505"
"Stimme eher zu","2003","Realschule","weiblich","1449","0.434664165880268","0.417753702627031","0.451574629133506"
"Stimme eher zu","2003","(Fach-)Abitur","männlich","533","0.462412343840755","0.432988480944628","0.491836206736881"
"Stimme eher zu","2003","(Fach-)Abitur","weiblich","629","0.481004692084521","0.453823586537563","0.508185797631478"
"Stimme eher zu","2003","AkademikerIn","männlich","1216","0.490196622181246","0.470413910186047","0.509979334176444"
"Stimme eher zu","2003","AkademikerIn","weiblich","909","0.443972765312661","0.421561143096986","0.466384387528335"
"Lehne eher ab","2003","(noch) kein Abschluss","männlich","49","0.112881583361288","0.082435853714905","0.143327313007671"
"Lehne eher ab","2003","(noch) kein Abschluss","weiblich","54","0.114631549303177","0.0858912561342648","0.143371842472088"
"Lehne eher ab","2003","Hauptschule","männlich","323","0.0841283987800727","0.0755879502906477","0.0926688472694976"
"Lehne eher ab","2003","Hauptschule","weiblich","336","0.0827654467008273","0.0745738612667828","0.0909570321348719"
"Lehne eher ab","2003","Realschule","männlich","206","0.0847184354696888","0.0737346038410927","0.0957022670982848"
"Lehne eher ab","2003","Realschule","weiblich","272","0.0830697942581133","0.0736549089011808","0.0924846796150458"
"Lehne eher ab","2003","(Fach-)Abitur","männlich","168","0.168976372358072","0.146861725336817","0.191091019379326"
"Lehne eher ab","2003","(Fach-)Abitur","weiblich","139","0.0962763324978483","0.0802295361149775","0.112323128880719"
"Lehne eher ab","2003","AkademikerIn","männlich","396","0.148721476742452","0.13464084955314","0.162802103931763"
"Lehne eher ab","2003","AkademikerIn","weiblich","304","0.15562925456212","0.139277690367224","0.171980818757016"
"Lehne voll ab","2003","(noch) kein Abschluss","männlich","6","","",""
"Lehne voll ab","2003","(noch) kein Abschluss","weiblich","4","","",""
"Lehne voll ab","2003","Hauptschule","männlich","57","0.015481922447691","0.0116833854481752","0.0192804594472067"
"Lehne voll ab","2003","Hauptschule","weiblich","61","0.0148895976107613","0.0112888957499336","0.0184902994715889"
"Lehne voll ab","2003","Realschule","männlich","43","0.0181183404594809","0.0128572432284782","0.0233794376904836"
"Lehne voll ab","2003","Realschule","weiblich","46","0.0147062839299214","0.0105998989889026","0.0188126688709402"
"Lehne voll ab","2003","(Fach-)Abitur","männlich","26","","",""
"Lehne voll ab","2003","(Fach-)Abitur","weiblich","22","","",""
"Lehne voll ab","2003","AkademikerIn","männlich","68","0.0283057442249971","0.0217427590444191","0.0348687294055751"
"Lehne voll ab","2003","AkademikerIn","weiblich","35","0.0260715020825095","0.0188837405588488","0.0332592636061703"
"Stimme voll zu","2004","(noch) kein Abschluss","männlich","","","",""
"Stimme voll zu","2004","(noch) kein Abschluss","weiblich","","","",""
"Stimme voll zu","2004","Hauptschule","männlich","","","",""
"Stimme voll zu","2004","Hauptschule","weiblich","","","",""
"Stimme voll zu","2004","Realschule","männlich","","","",""
"Stimme voll zu","2004","Realschule","weiblich","","","",""
"Stimme voll zu","2004","(Fach-)Abitur","männlich","","","",""
