year,quintil_oecd,sampreg,plh0194,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,1st Quintile,West,Strongly agree,0.37677,1169,2357,0.35720,0.39634
2003,1st Quintile,West,Agree,0.31559,953,2357,0.29682,0.33436
2003,1st Quintile,West,Disagree,0.06076,193,2357,0.05111,0.07040
2003,1st Quintile,West,Strongly disagree,0.01596,42,2357,0.01090,0.02102
2003,1st Quintile,East,Strongly agree,0.41331,538,1001,0.38279,0.44384
2003,1st Quintile,East,Agree,0.29633,380,1001,0.26803,0.32463
2003,1st Quintile,East,Disagree,0.07829,83,1001,0.06164,0.09494
2003,2nd Quintile,West,Strongly agree,0.39346,1309,2539,0.37445,0.41247
2003,2nd Quintile,West,Agree,0.29737,971,2539,0.27958,0.31515
2003,2nd Quintile,West,Disagree,0.06750,213,2539,0.05774,0.07727
2003,2nd Quintile,West,Strongly disagree,0.01554,46,2539,0.01072,0.02035
2003,2nd Quintile,East,Strongly agree,0.45086,658,1281,0.42360,0.47811
2003,2nd Quintile,East,Agree,0.33588,530,1281,0.31000,0.36175
2003,2nd Quintile,East,Disagree,0.05831,93,1281,0.04547,0.07115
2003,3rd Quintile,West,Strongly agree,0.36062,1272,2849,0.34298,0.37826
2003,3rd Quintile,West,Agree,0.34300,1265,2849,0.32557,0.36044
2003,3rd Quintile,West,Disagree,0.07944,277,2849,0.06950,0.08937
2003,3rd Quintile,West,Strongly disagree,0.01125,35,2849,0.00738,0.01513
2003,3rd Quintile,East,Strongly agree,0.46097,607,1176,0.43247,0.48947
2003,3rd Quintile,East,Agree,0.33411,466,1176,0.30714,0.36108
2003,3rd Quintile,East,Disagree,0.08235,103,1176,0.06663,0.09807
2003,4th Quintile,West,Strongly agree,0.37479,1499,3464,0.35866,0.39091
2003,4th Quintile,West,Agree,0.38264,1581,3464,0.36645,0.39883
2003,4th Quintile,West,Disagree,0.08628,349,3464,0.07693,0.09564
2003,4th Quintile,West,Strongly disagree,0.00791,35,3464,0.00496,0.01086
2003,4th Quintile,East,Strongly agree,0.39724,430,976,0.36652,0.42795
2003,4th Quintile,East,Agree,0.40449,453,976,0.37369,0.43530
2003,4th Quintile,East,Disagree,0.08291,93,976,0.06560,0.10022
2003,5th Quintile,West,Strongly agree,0.34193,1982,5516,0.32941,0.35445
2003,5th Quintile,West,Agree,0.41326,2667,5516,0.40026,0.42625
2003,5th Quintile,West,Disagree,0.12118,751,5516,0.11257,0.12980
