,Unnamed: 0,year,pgisced97,quintil_oecd,plh0194,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2003,Pre-primary Level,1st Quintile,Strongly agree,0.47687,47,21286,0.38838,0.55778
1,1,2003,Pre-primary Level,1st Quintile,Agree,0.52313,36,21286,0.42905,0.62941
2,2,2003,Pre-primary Level,2nd Quintile,Strongly agree,0.40307,45,21286,0.33483,0.47192
3,3,2003,Pre-primary Level,2nd Quintile,Agree,0.59693,51,21286,0.49178,0.70806
4,4,2003,Pre-primary Level,3rd Quintile,Strongly agree,0.48131,39,21286,0.3861,0.57575
5,5,2003,Pre-primary Level,3rd Quintile,Agree,0.51869,50,21286,0.38816,0.6662
6,6,2003,Pre-primary Level,4th Quintile,Strongly agree,0.48473,52,21286,0.36957,0.58321
7,7,2003,Pre-primary Level,4th Quintile,Agree,0.51527,61,21286,0.3987,0.64063
8,8,2003,Pre-primary Level,5th Quintile,Strongly agree,0.43432,61,21286,0.33425,0.53211
9,9,2003,Pre-primary Level,5th Quintile,Agree,0.56568,81,21286,0.44553,0.70044
10,10,2003,Primary Level,1st Quintile,Strongly agree,0.63048,74,21286,0.53157,0.74672
11,11,2003,Primary Level,1st Quintile,Agree,0.36952,47,21286,0.30159,0.43676
12,12,2003,Primary Level,2nd Quintile,Strongly agree,1.0,42,21286,0.81871,1.21582
13,13,2003,Lower Secondary Level,1st Quintile,Strongly agree,0.52442,439,21286,0.48761,0.55367
14,14,2003,Lower Secondary Level,1st Quintile,Agree,0.40211,325,21286,0.37502,0.43229
15,15,2003,Lower Secondary Level,1st Quintile,Disagree,0.07347,59,21286,0.05863,0.08673
16,16,2003,Lower Secondary Level,2nd Quintile,Strongly agree,0.55776,378,21286,0.52341,0.59901
17,17,2003,Lower Secondary Level,2nd Quintile,Agree,0.36794,253,21286,0.3371,0.39901
18,18,2003,Lower Secondary Level,2nd Quintile,Disagree,0.0743,49,21286,0.06461,0.08615
19,19,2003,Lower Secondary Level,3rd Quintile,Strongly agree,0.54707,269,21286,0.50407,0.59638
20,20,2003,Lower Secondary Level,3rd Quintile,Agree,0.37308,195,21286,0.33497,0.41285
21,21,2003,Lower Secondary Level,3rd Quintile,Disagree,0.07986,34,21286,0.06487,0.09358
22,22,2003,Lower Secondary Level,4th Quintile,Strongly agree,0.49473,192,21286,0.44344,0.54069
23,23,2003,Lower Secondary Level,4th Quintile,Agree,0.40503,166,21286,0.36421,0.4524
24,24,2003,Lower Secondary Level,4th Quintile,Disagree,0.10024,43,21286,0.07231,0.12877
25,25,2003,Lower Secondary Level,5th Quintile,Strongly agree,0.50778,145,21286,0.42218,0.57379
26,26,2003,Lower Secondary Level,5th Quintile,Agree,0.49222,121,21286,0.43515,0.57143
27,27,2003,Upper Secondary Level,1st Quintile,Strongly agree,0.52347,908,21286,0.50147,0.54575
28,28,2003,Upper Secondary Level,1st Quintile,Agree,0.37252,648,21286,0.34864,0.39225
29,29,2003,Upper Secondary Level,1st Quintile,Disagree,0.08248,133,21286,0.0736,0.09294
30,30,2003,Upper Secondary Level,1st Quintile,Strongly disagree,0.02153,35,21286,0.0165,0.02616
31,31,2003,Upper Secondary Level,2nd Quintile,Strongly agree,0.49956,1128,21286,0.48239,0.51904
32,32,2003,Upper Secondary Level,2nd Quintile,Agree,0.40157,913,21286,0.38612,0.41944
33,33,2003,Upper Secondary Level,2nd Quintile,Disagree,0.0842,180,21286,0.07465,0.09254
34,34,2003,Upper Secondary Level,2nd Quintile,Strongly disagree,0.01468,36,21286,0.01177,0.01817
35,35,2003,Upper Secondary Level,3rd Quintile,Strongly agree,0.47432,1131,21286,0.45822,0.48991
36,36,2003,Upper Secondary Level,3rd Quintile,Agree,0.42792,1019,21286,0.40742,0.44518
37,37,2003,Upper Secondary Level,3rd Quintile,Disagree,0.08503,190,21286,0.07761,0.09647
38,38,2003,Upper Secondary Level,3rd Quintile,Strongly disagree,0.01273,32,21286,0.01012,0.01591
39,39,2003,Upper Secondary Level,4th Quintile,Strongly agree,0.45869,1055,21286,0.44146,0.47974
40,40,2003,Upper Secondary Level,4th Quintile,Agree,0.45355,1019,21286,0.43467,0.472
41,41,2003,Upper Secondary Level,4th Quintile,Disagree,0.08776,188,21286,0.0767,0.09657
42,42,2003,Upper Secondary Level,5th Quintile,Strongly agree,0.4338,1006,21286,0.41345,0.4571
43,43,2003,Upper Secondary Level,5th Quintile,Agree,0.44003,1119,21286,0.41705,0.46315
44,44,2003,Upper Secondary Level,5th Quintile,Disagree,0.10932,254,21286,0.09711,0.12112
45,45,2003,Upper Secondary Level,5th Quintile,Strongly disagree,0.01686,41,21286,0.01308,0.02177
46,46,2003,Post-secondary Non-tertiary Level,1st Quintile,Strongly agree,0.46221,65,21286,0.39653,0.52408
47,47,2003,Post-secondary Non-tertiary Level,1st Quintile,Agree,0.53779,70,21286,0.44563,0.61505
48,48,2003,Post-secondary Non-tertiary Level,2nd Quintile,Strongly agree,0.57221,78,21286,0.47327,0.6799
49,49,2003,Post-secondary Non-tertiary Level,2nd Quintile,Agree,0.42779,57,21286,0.35368,0.50745
50,50,2003,Post-secondary Non-tertiary Level,3rd Quintile,Strongly agree,0.41228,75,21286,0.35508,0.46035
51,51,2003,Post-secondary Non-tertiary Level,3rd Quintile,Agree,0.44323,89,21286,0.36015,0.53062
52,52,2003,Post-secondary Non-tertiary Level,3rd Quintile,Disagree,0.14448,32,21286,0.10014,0.19673
53,53,2003,Post-secondary Non-tertiary Level,4th Quintile,Strongly agree,0.45717,107,21286,0.39505,0.52768
54,54,2003,Post-secondary Non-tertiary Level,4th Quintile,Agree,0.54283,116,21286,0.44551,0.62299
55,55,2003,Post-secondary Non-tertiary Level,5th Quintile,Strongly agree,0.40231,145,21286,0.34575,0.45067
56,56,2003,Post-secondary Non-tertiary Level,5th Quintile,Agree,0.47216,193,21286,0.42141,0.54972
57,57,2003,Post-secondary Non-tertiary Level,5th Quintile,Disagree,0.12554,42,21286,0.08982,0.15862
58,58,2003,First Stage of Tertiary Education,1st Quintile,Strongly agree,0.58465,76,21286,0.51394,0.66359
59,59,2003,First Stage of Tertiary Education,1st Quintile,Agree,0.41535,60,21286,0.34724,0.48846
60,60,2003,First Stage of Tertiary Education,2nd Quintile,Strongly agree,0.51112,114,21286,0.44181,0.57927
61,61,2003,First Stage of Tertiary Education,2nd Quintile,Agree,0.48888,107,21286,0.4147,0.55435
62,62,2003,First Stage of Tertiary Education,3rd Quintile,Strongly agree,0.57736,165,21286,0.51737,0.64222
63,63,2003,First Stage of Tertiary Education,3rd Quintile,Agree,0.42264,134,21286,0.37099,0.46891
64,64,2003,First Stage of Tertiary Education,4th Quintile,Strongly agree,0.42688,187,21286,0.37738,0.48803
65,65,2003,First Stage of Tertiary Education,4th Quintile,Agree,0.4812,207,21286,0.42788,0.54249
66,66,2003,First Stage of Tertiary Education,4th Quintile,Disagree,0.09192,44,21286,0.07302,0.11944
67,67,2003,First Stage of Tertiary Education,5th Quintile,Strongly agree,0.40537,182,21286,0.34466,0.46088
68,68,2003,First Stage of Tertiary Education,5th Quintile,Agree,0.4618,247,21286,0.411,0.51609
69,69,2003,First Stage of Tertiary Education,5th Quintile,Disagree,0.13283,57,21286,0.09981,0.16863
70,70,2003,Second Stage of Tertiary Education,1st Quintile,Strongly agree,0.39908,83,21286,0.34009,0.46734
71,71,2003,Second Stage of Tertiary Education,1st Quintile,Agree,0.60092,93,21286,0.5253,0.67855
72,72,2003,Second Stage of Tertiary Education,2nd Quintile,Strongly agree,0.56779,126,21286,0.51067,0.65103
73,73,2003,Second Stage of Tertiary Education,2nd Quintile,Agree,0.43221,114,21286,0.37705,0.48606
74,74,2003,Second Stage of Tertiary Education,3rd Quintile,Strongly agree,0.4123,206,21286,0.37247,0.44844
75,75,2003,Second Stage of Tertiary Education,3rd Quintile,Agree,0.44757,230,21286,0.40705,0.49148
76,76,2003,Second Stage of Tertiary Education,3rd Quintile,Disagree,0.14013,73,21286,0.11829,0.16308
77,77,2003,Second Stage of Tertiary Education,4th Quintile,Strongly agree,0.37652,291,21286,0.34015,0.41693
78,78,2003,Second Stage of Tertiary Education,4th Quintile,Agree,0.49415,422,21286,0.4586,0.5315
79,79,2003,Second Stage of Tertiary Education,4th Quintile,Disagree,0.12933,105,21286,0.10765,0.15235
80,80,2003,Second Stage of Tertiary Education,5th Quintile,Strongly agree,0.30404,707,21286,0.28587,0.32587
81,81,2003,Second Stage of Tertiary Education,5th Quintile,Agree,0.48288,1266,21286,0.45301,0.5097
82,82,2003,Second Stage of Tertiary Education,5th Quintile,Disagree,0.18339,468,21286,0.16739,0.20149
83,83,2003,Second Stage of Tertiary Education,5th Quintile,Strongly disagree,0.02969,64,21286,0.02225,0.03656
84,84,2008,Pre-primary Level,1st Quintile,Strongly agree,1.0,31,18340,0.80801,1.20379
85,85,2008,Pre-primary Level,3rd Quintile,Strongly agree,0.43821,32,18340,0.28947,0.58116
86,86,2008,Pre-primary Level,3rd Quintile,Agree,0.56179,43,18340,0.43035,0.70339
87,87,2008,Pre-primary Level,4th Quintile,Agree,1.0,39,18340,0.69233,1.37405
88,88,2008,Pre-primary Level,5th Quintile,Agree,1.0,46,18340,0.71266,1.39649
89,89,2008,Primary Level,1st Quintile,Strongly agree,0.68314,59,18340,0.57065,0.8242
90,90,2008,Primary Level,1st Quintile,Agree,0.31686,34,18340,0.23792,0.38214
91,91,2008,Lower Secondary Level,1st Quintile,Strongly agree,0.58898,365,18340,0.54944,0.63272
92,92,2008,Lower Secondary Level,1st Quintile,Agree,0.35969,216,18340,0.32789,0.39333
93,93,2008,Lower Secondary Level,1st Quintile,Disagree,0.05133,33,18340,0.037,0.06394
