year,plh0194,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,Strongly agree,0.45740,9766,22059,0.45083,0.46398
2003,Agree,0.42446,9651,22059,0.41794,0.43098
2003,Disagree,0.10061,2271,22059,0.09664,0.10458
2003,Strongly disagree,0.01752,371,22059,0.01579,0.01925
2008,Strongly agree,0.43626,8170,19247,0.42925,0.44326
2008,Agree,0.44233,8638,19247,0.43531,0.44935
2008,Disagree,0.10468,2109,19247,0.10036,0.10901
2008,Strongly disagree,0.01673,330,19247,0.01492,0.01854
2013,Strongly agree,0.42697,10581,25397,0.42088,0.43305
2013,Agree,0.44841,11696,25397,0.44230,0.45453
2013,Disagree,0.10996,2771,25397,0.10611,0.11380
2013,Strongly disagree,0.01466,349,25397,0.01319,0.01614
2018,Strongly agree,0.40228,12542,28655,0.39660,0.40796
2018,Agree,0.44788,11999,28655,0.44212,0.45364
2018,Disagree,0.13203,3562,28655,0.12811,0.13594
2018,Strongly disagree,0.01781,552,28655,0.01628,0.01934
