"plh0194","year","age_gr","bildungsniveau","n","percent","lower_confidence","upper_confidence"
"Stimme voll zu","2003","17-34","(noch) kein Abschluss","276","0.420761996044304","0.383183611672106","0.458340380416502"
"Stimme voll zu","2003","17-34","Hauptschule","652","0.505501151278451","0.477817952418589","0.533184350138312"
"Stimme voll zu","2003","17-34","Realschule","850","0.432312680321628","0.409936986285474","0.454688374357781"
"Stimme voll zu","2003","17-34","(Fach-)Abitur","409","0.338856470653577","0.312511785302327","0.365201156004827"
"Stimme voll zu","2003","17-34","AkademikerIn","156","0.279117337395357","0.241965544704138","0.316269130086577"
"Stimme voll zu","2003","35-65","(noch) kein Abschluss","86","0.530117235328546","0.452540723364359","0.607693747292733"
"Stimme voll zu","2003","35-65","Hauptschule","2393","0.509771460009762","0.495537110764506","0.524005809255017"
"Stimme voll zu","2003","35-65","Realschule","1546","0.452010501036194","0.435439190650242","0.468581811422145"
"Stimme voll zu","2003","35-65","(Fach-)Abitur","396","0.395454828036084","0.365285521511756","0.425624134560413"
"Stimme voll zu","2003","35-65","AkademikerIn","970","0.328658546140681","0.312403990237634","0.344913102043728"
"Stimme voll zu","2003","66 +","(noch) kein Abschluss","30","0.471438999621495","0.350085662428184","0.592792336814806"
"Stimme voll zu","2003","66 +","Hauptschule","1295","0.527295935067513","0.507375844426878","0.547216025708148"
"Stimme voll zu","2003","66 +","Realschule","217","0.536386549488549","0.488808260632323","0.583964838344776"
"Stimme voll zu","2003","66 +","(Fach-)Abitur","79","0.5069308347556","0.427451435941449","0.586410233569752"
"Stimme voll zu","2003","66 +","AkademikerIn","287","0.503407448511334","0.46246906414705","0.544345832875617"
"Stimme eher zu","2003","17-34","(noch) kein Abschluss","292","0.432983497675161","0.395267565301958","0.470699430048363"
"Stimme eher zu","2003","17-34","Hauptschule","508","0.415893806538549","0.388603419963578","0.44318419311352"
"Stimme eher zu","2003","17-34","Realschule","864","0.466207944379501","0.443675992301704","0.488739896457297"
"Stimme eher zu","2003","17-34","(Fach-)Abitur","622","0.486820056948229","0.459000108751504","0.514640005144954"
"Stimme eher zu","2003","17-34","AkademikerIn","298","0.545877431361781","0.504640324326952","0.587114538396609"
"Stimme eher zu","2003","35-65","(noch) kein Abschluss","59","0.381419019369747","0.305918666252716","0.456919372486777"
"Stimme eher zu","2003","35-65","Hauptschule","1901","0.388812348379041","0.374931760081745","0.402692936676337"
"Stimme eher zu","2003","35-65","Realschule","1570","0.44943396013578","0.432871146161028","0.465996774110532"
"Stimme eher zu","2003","35-65","(Fach-)Abitur","483","0.47661327755206","0.445795811458969","0.50743074364515"
