"m11104","year","migback","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Fast nie oder nie","1984","kein Migrationshintergrund","Westdeutschland","5160","0.628450884880674","0.61819090297017","0.638710866791178"
"Fast nie oder nie","1984","kein Migrationshintergrund","Ostdeutschland","","","",""
"Fast nie oder nie","1984","direkter Migrationshintergrund","Westdeutschland","2435","","",""
"Fast nie oder nie","1984","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Fast nie oder nie","1984","indirekter Migrationshintergrund","Westdeutschland","59","0.570911825179346","0.484145565394856","0.657678084963835"
"Fast nie oder nie","1984","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Fast nie oder nie","1984","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Fast nie oder nie","1984","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Mehrmals im Jahr","1984","kein Migrationshintergrund","Westdeutschland","1642","","",""
"Mehrmals im Jahr","1984","kein Migrationshintergrund","Ostdeutschland","","","",""
"Mehrmals im Jahr","1984","direkter Migrationshintergrund","Westdeutschland","542","0.160962651945648","0.148473292224895","0.173452011666401"
"Mehrmals im Jahr","1984","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Mehrmals im Jahr","1984","indirekter Migrationshintergrund","Westdeutschland","24","","",""
"Mehrmals im Jahr","1984","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Mehrmals im Jahr","1984","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Mehrmals im Jahr","1984","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Mindestens einmal im Monat","1984","kein Migrationshintergrund","Westdeutschland","1719","","",""
"Mindestens einmal im Monat","1984","kein Migrationshintergrund","Ostdeutschland","","","",""
"Mindestens einmal im Monat","1984","direkter Migrationshintergrund","Westdeutschland","349","0.120413650214953","0.1093534224653","0.131473877964606"
"Mindestens einmal im Monat","1984","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Mindestens einmal im Monat","1984","indirekter Migrationshintergrund","Westdeutschland","42","0.265346604071009","0.187946579834094","0.342746628307924"
"Mindestens einmal im Monat","1984","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Mindestens einmal im Monat","1984","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Mindestens einmal im Monat","1984","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Mindestens einmal die Woche","1984","kein Migrationshintergrund","Westdeutschland","","","",""
"Mindestens einmal die Woche","1984","kein Migrationshintergrund","Ostdeutschland","","","",""
"Mindestens einmal die Woche","1984","direkter Migrationshintergrund","Westdeutschland","","","",""
"Mindestens einmal die Woche","1984","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Mindestens einmal die Woche","1984","indirekter Migrationshintergrund","Westdeutschland","","","",""
"Mindestens einmal die Woche","1984","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Mindestens einmal die Woche","1984","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Mindestens einmal die Woche","1984","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Fast nie oder nie","1985","kein Migrationshintergrund","Westdeutschland","4322","0.575714212430101","0.564797027101781","0.58663139775842"
"Fast nie oder nie","1985","kein Migrationshintergrund","Ostdeutschland","","","",""
"Fast nie oder nie","1985","direkter Migrationshintergrund","Westdeutschland","2083","","",""
"Fast nie oder nie","1985","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Fast nie oder nie","1985","indirekter Migrationshintergrund","Westdeutschland","52","0.437332588557792","0.354267294085424","0.52039788303016"
"Fast nie oder nie","1985","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Fast nie oder nie","1985","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Fast nie oder nie","1985","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Mehrmals im Jahr","1985","kein Migrationshintergrund","Westdeutschland","1104","","",""
"Mehrmals im Jahr","1985","kein Migrationshintergrund","Ostdeutschland","","","",""
"Mehrmals im Jahr","1985","direkter Migrationshintergrund","Westdeutschland","300","0.104649440748569","0.0934661991657675","0.115832682331371"
