"m11104","year","bildungsniveau","migback","n","percent","lower_confidence_percent","upper_confidence_percent"
"Fast nie oder nie","1984","(noch) kein Abschluss","kein Migrationshintergrund","91","0.409661827488977","0.345547210274214","0.473776444703741"
"Fast nie oder nie","1984","(noch) kein Abschluss","direkter Migrationshintergrund","866","0.827052555092113","0.803944466036256","0.850160644147969"
"Fast nie oder nie","1984","(noch) kein Abschluss","indirekter Migrationshintergrund","7","0.629113242564417","0.376084911939905","0.88214157318893"
"Fast nie oder nie","1984","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","1984","Hauptschule","kein Migrationshintergrund","3782","0.726937994135965","0.714984942053618","0.738891046218311"
"Fast nie oder nie","1984","Hauptschule","direkter Migrationshintergrund","1228","","",""
"Fast nie oder nie","1984","Hauptschule","indirekter Migrationshintergrund","41","0.658414466030216","0.548872316192522","0.76795661586791"
"Fast nie oder nie","1984","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","1984","Realschule","kein Migrationshintergrund","785","0.477870542629553","0.454146702157333","0.501594383101773"
"Fast nie oder nie","1984","Realschule","direkter Migrationshintergrund","74","0.60350506156142","0.520988620418044","0.686021502704797"
"Fast nie oder nie","1984","Realschule","indirekter Migrationshintergrund","9","0.506630056486583","0.321447150410784","0.691812962562381"
"Fast nie oder nie","1984","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","1984","(Fach-)Abitur","kein Migrationshintergrund","232","","",""
"Fast nie oder nie","1984","(Fach-)Abitur","direkter Migrationshintergrund","153","","",""
"Fast nie oder nie","1984","(Fach-)Abitur","indirekter Migrationshintergrund","1","","",""
"Fast nie oder nie","1984","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","1984","AkademikerIn","kein Migrationshintergrund","263","","",""
"Fast nie oder nie","1984","AkademikerIn","direkter Migrationshintergrund","65","0.580759066027078","0.492103817967934","0.669414314086222"
"Fast nie oder nie","1984","AkademikerIn","indirekter Migrationshintergrund","1","","",""
"Fast nie oder nie","1984","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","1984","(noch) kein Abschluss","kein Migrationshintergrund","46","0.202354907846667","0.149976102218419","0.254733713474914"
"Mehrmals im Jahr","1984","(noch) kein Abschluss","direkter Migrationshintergrund","110","","",""
"Mehrmals im Jahr","1984","(noch) kein Abschluss","indirekter Migrationshintergrund","4","0.227537646434351","0.00792903523772967","0.447146257630971"
"Mehrmals im Jahr","1984","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","1984","Hauptschule","kein Migrationshintergrund","806","0.140156140889297","0.13084258870956","0.149469693069033"
"Mehrmals im Jahr","1984","Hauptschule","direkter Migrationshintergrund","289","","",""
"Mehrmals im Jahr","1984","Hauptschule","indirekter Migrationshintergrund","12","","",""
"Mehrmals im Jahr","1984","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","1984","Realschule","kein Migrationshintergrund","428","0.240289255416301","0.219996917899256","0.260581592933346"
"Mehrmals im Jahr","1984","Realschule","direkter Migrationshintergrund","32","0.185710219892962","0.120112521609679","0.251307918176246"
"Mehrmals im Jahr","1984","Realschule","indirekter Migrationshintergrund","4","0.0462492301911815","-0.0315434582040657","0.124041918586429"
"Mehrmals im Jahr","1984","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","1984","(Fach-)Abitur","kein Migrationshintergrund","169","","",""
