"m11104","year","migback","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Fast nie oder nie","1985","kein Migrationshintergrund","Staedtischer Raum","3171","0.563523831689884","0.550864646146138","0.576183017233629"
"Fast nie oder nie","1985","kein Migrationshintergrund","Laendlicher Raum","1151","","",""
"Fast nie oder nie","1985","direkter Migrationshintergrund","Staedtischer Raum","1857","","",""
"Fast nie oder nie","1985","direkter Migrationshintergrund","Laendlicher Raum","226","","",""
"Fast nie oder nie","1985","indirekter Migrationshintergrund","Staedtischer Raum","43","0.415664954779218","0.327117255340813","0.504212654217623"
"Fast nie oder nie","1985","indirekter Migrationshintergrund","Laendlicher Raum","9","0.53299977481313","0.302519429349497","0.763480120276763"
"Fast nie oder nie","1985","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Fast nie oder nie","1985","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Mehrmals im Jahr","1985","kein Migrationshintergrund","Staedtischer Raum","857","0.135118457432057","0.126392662398569","0.143844252465544"
"Mehrmals im Jahr","1985","kein Migrationshintergrund","Laendlicher Raum","247","","",""
"Mehrmals im Jahr","1985","direkter Migrationshintergrund","Staedtischer Raum","253","","",""
"Mehrmals im Jahr","1985","direkter Migrationshintergrund","Laendlicher Raum","47","0.130420453280385","0.0951896907151361","0.165651215845635"
"Mehrmals im Jahr","1985","indirekter Migrationshintergrund","Staedtischer Raum","26","","",""
"Mehrmals im Jahr","1985","indirekter Migrationshintergrund","Laendlicher Raum","1","","",""
"Mehrmals im Jahr","1985","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Mehrmals im Jahr","1985","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Mindestens einmal im Monat","1985","kein Migrationshintergrund","Staedtischer Raum","311","0.0492264043851207","0.0437042700519359","0.0547485387183055"
"Mindestens einmal im Monat","1985","kein Migrationshintergrund","Laendlicher Raum","109","","",""
"Mindestens einmal im Monat","1985","direkter Migrationshintergrund","Staedtischer Raum","92","0.0323852053360911","0.0254832833258251","0.0392871273463571"
"Mindestens einmal im Monat","1985","direkter Migrationshintergrund","Laendlicher Raum","18","","",""
"Mindestens einmal im Monat","1985","indirekter Migrationshintergrund","Staedtischer Raum","8","0.063155068266172","0.0194519353959781","0.106858201136366"
"Mindestens einmal im Monat","1985","indirekter Migrationshintergrund","Laendlicher Raum","2","","",""
"Mindestens einmal im Monat","1985","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Mindestens einmal im Monat","1985","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Mindestens einmal die Woche","1985","kein Migrationshintergrund","Staedtischer Raum","1557","","",""
"Mindestens einmal die Woche","1985","kein Migrationshintergrund","Laendlicher Raum","470","0.225769741467469","0.207340277892731","0.244199205042207"
"Mindestens einmal die Woche","1985","direkter Migrationshintergrund","Staedtischer Raum","325","0.162238017165486","0.147863869263311","0.176612165067662"
"Mindestens einmal die Woche","1985","direkter Migrationshintergrund","Laendlicher Raum","60","0.239534275870751","0.194884612553563","0.284183939187939"
"Mindestens einmal die Woche","1985","indirekter Migrationshintergrund","Staedtischer Raum","42","0.338402164218402","0.253388602013122","0.423415726423682"
"Mindestens einmal die Woche","1985","indirekter Migrationshintergrund","Laendlicher Raum","6","0.298715894931091","0.0872754799769488","0.510156309885233"
"Mindestens einmal die Woche","1985","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Mindestens einmal die Woche","1985","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
