"m11104","year","bula_h","migback","n","percent","lower_confidence_percent","upper_confidence_percent"
"Fast nie oder nie","1984","Schleswig-Holstein","kein Migrationshintergrund","189","","",""
"Fast nie oder nie","1984","Schleswig-Holstein","direkter Migrationshintergrund","29","","",""
"Fast nie oder nie","1984","Schleswig-Holstein","indirekter Migrationshintergrund","2","","",""
"Fast nie oder nie","1984","Schleswig-Holstein","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","1984","Hamburg","kein Migrationshintergrund","125","","",""
"Fast nie oder nie","1984","Hamburg","direkter Migrationshintergrund","65","0.660322975452403","0.561372463507786","0.75927348739702"
"Fast nie oder nie","1984","Hamburg","indirekter Migrationshintergrund","1","","",""
"Fast nie oder nie","1984","Hamburg","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","1984","Niedersachsen","kein Migrationshintergrund","597","0.6193317383606","0.589312472796086","0.649351003925114"
"Fast nie oder nie","1984","Niedersachsen","direkter Migrationshintergrund","148","","",""
"Fast nie oder nie","1984","Niedersachsen","indirekter Migrationshintergrund","2","","",""
"Fast nie oder nie","1984","Niedersachsen","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","1984","Bremen","kein Migrationshintergrund","70","0.727765815507807","0.639640190811119","0.815891440204494"
"Fast nie oder nie","1984","Bremen","direkter Migrationshintergrund","28","","",""
"Fast nie oder nie","1984","Bremen","indirekter Migrationshintergrund","","","",""
"Fast nie oder nie","1984","Bremen","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","1984","Nordrhein-Westfalen","kein Migrationshintergrund","1352","","",""
"Fast nie oder nie","1984","Nordrhein-Westfalen","direkter Migrationshintergrund","684","0.702428250390358","0.673154718101737","0.731701782678978"
"Fast nie oder nie","1984","Nordrhein-Westfalen","indirekter Migrationshintergrund","18","","",""
"Fast nie oder nie","1984","Nordrhein-Westfalen","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","1984","Hessen","kein Migrationshintergrund","453","0.620451242160122","0.585927742054418","0.654974742265826"
"Fast nie oder nie","1984","Hessen","direkter Migrationshintergrund","335","0.768313915700016","0.730048276247739","0.806579555152294"
"Fast nie oder nie","1984","Hessen","indirekter Migrationshintergrund","4","0.374596566880516","0.100742310790697","0.648450822970335"
"Fast nie oder nie","1984","Hessen","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","1984","Rheinland-Pfalz,Saarland","kein Migrationshintergrund","449","0.668040906760416","0.632954502978501","0.703127310542332"
"Fast nie oder nie","1984","Rheinland-Pfalz,Saarland","direkter Migrationshintergrund","107","","",""
"Fast nie oder nie","1984","Rheinland-Pfalz,Saarland","indirekter Migrationshintergrund","3","","",""
"Fast nie oder nie","1984","Rheinland-Pfalz,Saarland","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","1984","Baden-Wuerttemberg","kein Migrationshintergrund","846","0.658525190752933","0.632963010357133","0.684087371148732"
"Fast nie oder nie","1984","Baden-Wuerttemberg","direkter Migrationshintergrund","653","0.731976275740454","0.702441998917484","0.761510552563424"
"Fast nie oder nie","1984","Baden-Wuerttemberg","indirekter Migrationshintergrund","14","","",""
"Fast nie oder nie","1984","Baden-Wuerttemberg","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","1984","Bayern","kein Migrationshintergrund","917","0.604522550976758","0.580397862898556","0.62864723905496"
"Fast nie oder nie","1984","Bayern","direkter Migrationshintergrund","310","0.661824041628504","0.617366433136454","0.706281650120553"
"Fast nie oder nie","1984","Bayern","indirekter Migrationshintergrund","13","","",""
"Fast nie oder nie","1984","Bayern","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","1984","Saarland","kein Migrationshintergrund","","","",""
"Fast nie oder nie","1984","Saarland","direkter Migrationshintergrund","","","",""
"Fast nie oder nie","1984","Saarland","indirekter Migrationshintergrund","","","",""
"Fast nie oder nie","1984","Saarland","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","1984","Berlin","kein Migrationshintergrund","162","","",""
"Fast nie oder nie","1984","Berlin","direkter Migrationshintergrund","76","0.725702898953344","0.644511666433685","0.806894131473003"
"Fast nie oder nie","1984","Berlin","indirekter Migrationshintergrund","2","","",""
"Fast nie oder nie","1984","Berlin","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","1984","Brandenburg","kein Migrationshintergrund","","","",""
"Fast nie oder nie","1984","Brandenburg","direkter Migrationshintergrund","","","",""
"Fast nie oder nie","1984","Brandenburg","indirekter Migrationshintergrund","","","",""
"Fast nie oder nie","1984","Brandenburg","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","1984","Mecklenburg-Vorpommern","kein Migrationshintergrund","","","",""
"Fast nie oder nie","1984","Mecklenburg-Vorpommern","direkter Migrationshintergrund","","","",""
"Fast nie oder nie","1984","Mecklenburg-Vorpommern","indirekter Migrationshintergrund","","","",""
"Fast nie oder nie","1984","Mecklenburg-Vorpommern","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","1984","Sachsen","kein Migrationshintergrund","","","",""
"Fast nie oder nie","1984","Sachsen","direkter Migrationshintergrund","","","",""
"Fast nie oder nie","1984","Sachsen","indirekter Migrationshintergrund","","","",""
"Fast nie oder nie","1984","Sachsen","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","1984","Sachsen-Anhalt","kein Migrationshintergrund","","","",""
"Fast nie oder nie","1984","Sachsen-Anhalt","direkter Migrationshintergrund","","","",""
"Fast nie oder nie","1984","Sachsen-Anhalt","indirekter Migrationshintergrund","","","",""
"Fast nie oder nie","1984","Sachsen-Anhalt","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","1984","Thueringen","kein Migrationshintergrund","","","",""
"Fast nie oder nie","1984","Thueringen","direkter Migrationshintergrund","","","",""
"Fast nie oder nie","1984","Thueringen","indirekter Migrationshintergrund","","","",""
"Fast nie oder nie","1984","Thueringen","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","1984","Schleswig-Holstein","kein Migrationshintergrund","62","0.178574457689255","0.137864335675046","0.219284579703464"
"Mehrmals im Jahr","1984","Schleswig-Holstein","direkter Migrationshintergrund","8","0.168477521590514","0.0524860455921949","0.284468997588833"
"Mehrmals im Jahr","1984","Schleswig-Holstein","indirekter Migrationshintergrund","","","",""
"Mehrmals im Jahr","1984","Schleswig-Holstein","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","1984","Hamburg","kein Migrationshintergrund","39","0.169993873788246","0.119667169774853","0.220320577801639"
"Mehrmals im Jahr","1984","Hamburg","direkter Migrationshintergrund","17","","",""
"Mehrmals im Jahr","1984","Hamburg","indirekter Migrationshintergrund","","","",""
"Mehrmals im Jahr","1984","Hamburg","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","1984","Niedersachsen","kein Migrationshintergrund","198","","",""
"Mehrmals im Jahr","1984","Niedersachsen","direkter Migrationshintergrund","23","","",""
"Mehrmals im Jahr","1984","Niedersachsen","indirekter Migrationshintergrund","","","",""
"Mehrmals im Jahr","1984","Niedersachsen","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","1984","Bremen","kein Migrationshintergrund","13","","",""
"Mehrmals im Jahr","1984","Bremen","direkter Migrationshintergrund","2","","",""
"Mehrmals im Jahr","1984","Bremen","indirekter Migrationshintergrund","","","",""
"Mehrmals im Jahr","1984","Bremen","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","1984","Nordrhein-Westfalen","kein Migrationshintergrund","428","0.179720648084643","0.163784786925448","0.195656509243838"
"Mehrmals im Jahr","1984","Nordrhein-Westfalen","direkter Migrationshintergrund","164","","",""
"Mehrmals im Jahr","1984","Nordrhein-Westfalen","indirekter Migrationshintergrund","8","0.0978710784001226","0.00339588652076836","0.192346270279477"
"Mehrmals im Jahr","1984","Nordrhein-Westfalen","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","1984","Hessen","kein Migrationshintergrund","134","","",""
"Mehrmals im Jahr","1984","Hessen","direkter Migrationshintergrund","77","0.120906970578675","0.0913382360059479","0.150475705151402"
"Mehrmals im Jahr","1984","Hessen","indirekter Migrationshintergrund","3","","",""
"Mehrmals im Jahr","1984","Hessen","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","1984","Rheinland-Pfalz,Saarland","kein Migrationshintergrund","107","","",""
"Mehrmals im Jahr","1984","Rheinland-Pfalz,Saarland","direkter Migrationshintergrund","20","","",""
"Mehrmals im Jahr","1984","Rheinland-Pfalz,Saarland","indirekter Migrationshintergrund","1","","",""
"Mehrmals im Jahr","1984","Rheinland-Pfalz,Saarland","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","1984","Baden-Wuerttemberg","kein Migrationshintergrund","260","","",""
"Mehrmals im Jahr","1984","Baden-Wuerttemberg","direkter Migrationshintergrund","120","","",""
"Mehrmals im Jahr","1984","Baden-Wuerttemberg","indirekter Migrationshintergrund","5","0.189709385171751","0.0470126934004582","0.332406076943045"
"Mehrmals im Jahr","1984","Baden-Wuerttemberg","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","1984","Bayern","kein Migrationshintergrund","345","0.201873423985039","0.182068642624921","0.221678205345157"
"Mehrmals im Jahr","1984","Bayern","direkter Migrationshintergrund","75","0.173886499974945","0.138269588637179","0.209503411312711"
"Mehrmals im Jahr","1984","Bayern","indirekter Migrationshintergrund","7","0.266031811229937","0.0961813144783045","0.43588230798157"
"Mehrmals im Jahr","1984","Bayern","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","1984","Saarland","kein Migrationshintergrund","","","",""
"Mehrmals im Jahr","1984","Saarland","direkter Migrationshintergrund","","","",""
"Mehrmals im Jahr","1984","Saarland","indirekter Migrationshintergrund","","","",""
"Mehrmals im Jahr","1984","Saarland","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","1984","Berlin","kein Migrationshintergrund","56","0.186908237416953","0.141489100743444","0.232327374090462"
"Mehrmals im Jahr","1984","Berlin","direkter Migrationshintergrund","36","0.254611483103018","0.175334075762529","0.333888890443507"
"Mehrmals im Jahr","1984","Berlin","indirekter Migrationshintergrund","","","",""
"Mehrmals im Jahr","1984","Berlin","Migrationshintergrund - n. w. differenzierbar","","","",""
