"m11104","year","age_gr","migback","n","percent","lower_confidence_percent","upper_confidence_percent"
"Fast nie oder nie","1984","17-34","kein Migrationshintergrund","1308","","",""
"Fast nie oder nie","1984","17-34","direkter Migrationshintergrund","807","0.575618235146468","0.549465527173075","0.60177094311986"
"Fast nie oder nie","1984","17-34","indirekter Migrationshintergrund","38","0.430365031621861","0.333803485012785","0.526926578230937"
"Fast nie oder nie","1984","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","1984","35-65","kein Migrationshintergrund","2803","","",""
"Fast nie oder nie","1984","35-65","direkter Migrationshintergrund","1595","","",""
"Fast nie oder nie","1984","35-65","indirekter Migrationshintergrund","18","","",""
"Fast nie oder nie","1984","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","1984","66 +","kein Migrationshintergrund","1049","","",""
"Fast nie oder nie","1984","66 +","direkter Migrationshintergrund","33","0.951797075213115","0.880835549080959","1.02275860134527"
"Fast nie oder nie","1984","66 +","indirekter Migrationshintergrund","3","","",""
"Fast nie oder nie","1984","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","1984","17-34","kein Migrationshintergrund","867","0.278634577246815","0.262814242368752","0.294454912124879"
"Mehrmals im Jahr","1984","17-34","direkter Migrationshintergrund","331","0.245980658375988","0.223192314819125","0.268769001932851"
"Mehrmals im Jahr","1984","17-34","indirekter Migrationshintergrund","23","","",""
"Mehrmals im Jahr","1984","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","1984","35-65","kein Migrationshintergrund","711","0.161359825203215","0.150301532591206","0.172418117815225"
"Mehrmals im Jahr","1984","35-65","direkter Migrationshintergrund","210","","",""
"Mehrmals im Jahr","1984","35-65","indirekter Migrationshintergrund","1","","",""
"Mehrmals im Jahr","1984","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","1984","66 +","kein Migrationshintergrund","64","0.0518280545448915","0.0392064397950017","0.0644496692947813"
"Mehrmals im Jahr","1984","66 +","direkter Migrationshintergrund","1","","",""
"Mehrmals im Jahr","1984","66 +","indirekter Migrationshintergrund","","","",""
"Mehrmals im Jahr","1984","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","1984","17-34","kein Migrationshintergrund","910","0.301683059508774","0.285486519147408","0.317879599870141"
"Mindestens einmal im Monat","1984","17-34","direkter Migrationshintergrund","234","","",""
"Mindestens einmal im Monat","1984","17-34","indirekter Migrationshintergrund","40","0.373333805976828","0.27900285851778","0.467664753435876"
"Mindestens einmal im Monat","1984","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","1984","35-65","kein Migrationshintergrund","737","0.168176335902573","0.156932859384014","0.179419812421132"
"Mindestens einmal im Monat","1984","35-65","direkter Migrationshintergrund","114","","",""
"Mindestens einmal im Monat","1984","35-65","indirekter Migrationshintergrund","2","","",""
"Mindestens einmal im Monat","1984","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","1984","66 +","kein Migrationshintergrund","72","0.0595823009896987","0.0461048441894342","0.0730597577899633"
"Mindestens einmal im Monat","1984","66 +","direkter Migrationshintergrund","1","","",""
"Mindestens einmal im Monat","1984","66 +","indirekter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","1984","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","1984","17-34","kein Migrationshintergrund","","","",""
"Mindestens einmal die Woche","1984","17-34","direkter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","1984","17-34","indirekter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","1984","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","1984","35-65","kein Migrationshintergrund","","","",""
"Mindestens einmal die Woche","1984","35-65","direkter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","1984","35-65","indirekter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","1984","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","1984","66 +","kein Migrationshintergrund","","","",""
"Mindestens einmal die Woche","1984","66 +","direkter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","1984","66 +","indirekter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","1984","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","1985","17-34","kein Migrationshintergrund","980","0.3317960463383","0.314611400471567","0.348980692205034"
"Fast nie oder nie","1985","17-34","direkter Migrationshintergrund","642","0.525559637303941","0.496483617711106","0.554635656896776"
"Fast nie oder nie","1985","17-34","indirekter Migrationshintergrund","37","0.287921960707615","0.206224552505641","0.369619368909588"
"Fast nie oder nie","1985","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","1985","35-65","kein Migrationshintergrund","2426","","",""
"Fast nie oder nie","1985","35-65","direkter Migrationshintergrund","1410","","",""
"Fast nie oder nie","1985","35-65","indirekter Migrationshintergrund","12","","",""
"Fast nie oder nie","1985","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","1985","66 +","kein Migrationshintergrund","916","0.884166484799188","0.864716665819939","0.903616303778436"
"Fast nie oder nie","1985","66 +","direkter Migrationshintergrund","31","0.846417146394753","0.728640161204756","0.96419413158475"
"Fast nie oder nie","1985","66 +","indirekter Migrationshintergrund","3","","",""
"Fast nie oder nie","1985","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","1985","17-34","kein Migrationshintergrund","603","0.210502864472802","0.195624515280637","0.225381213664967"
"Mehrmals im Jahr","1985","17-34","direkter Migrationshintergrund","181","","",""
"Mehrmals im Jahr","1985","17-34","indirekter Migrationshintergrund","25","","",""
"Mehrmals im Jahr","1985","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","1985","35-65","kein Migrationshintergrund","475","0.114179728043226","0.104260637976921","0.124098818109531"
"Mehrmals im Jahr","1985","35-65","direkter Migrationshintergrund","117","","",""
"Mehrmals im Jahr","1985","35-65","indirekter Migrationshintergrund","2","","",""
"Mehrmals im Jahr","1985","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","1985","66 +","kein Migrationshintergrund","26","","",""
"Mehrmals im Jahr","1985","66 +","direkter Migrationshintergrund","2","","",""
"Mehrmals im Jahr","1985","66 +","indirekter Migrationshintergrund","","","",""
"Mehrmals im Jahr","1985","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","1985","17-34","kein Migrationshintergrund","215","","",""
"Mindestens einmal im Monat","1985","17-34","direkter Migrationshintergrund","76","0.0645719223221435","0.0502612448245953","0.0788825998196918"
"Mindestens einmal im Monat","1985","17-34","indirekter Migrationshintergrund","10","","",""
"Mindestens einmal im Monat","1985","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","1985","35-65","kein Migrationshintergrund","187","","",""
"Mindestens einmal im Monat","1985","35-65","direkter Migrationshintergrund","34","0.0246334955499491","0.0172845674215467","0.0319824236783515"
"Mindestens einmal im Monat","1985","35-65","indirekter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","1985","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","1985","66 +","kein Migrationshintergrund","18","","",""
"Mindestens einmal im Monat","1985","66 +","direkter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","1985","66 +","indirekter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","1985","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","1985","17-34","kein Migrationshintergrund","1086","","",""
"Mindestens einmal die Woche","1985","17-34","direkter Migrationshintergrund","234","","",""
"Mindestens einmal die Woche","1985","17-34","indirekter Migrationshintergrund","46","0.466842990154474","0.376826915595383","0.556859064713566"
"Mindestens einmal die Woche","1985","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","1985","35-65","kein Migrationshintergrund","861","0.214789509590666","0.201980837608362","0.22759818157297"
"Mindestens einmal die Woche","1985","35-65","direkter Migrationshintergrund","148","","",""
"Mindestens einmal die Woche","1985","35-65","indirekter Migrationshintergrund","2","","",""
"Mindestens einmal die Woche","1985","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","1985","66 +","kein Migrationshintergrund","80","0.074999474657476","0.0589916793714775","0.0910072699434745"
"Mindestens einmal die Woche","1985","66 +","direkter Migrationshintergrund","3","","",""
"Mindestens einmal die Woche","1985","66 +","indirekter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","1985","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","1986","17-34","kein Migrationshintergrund","946","0.325232381520896","0.30800630070788","0.342458462333912"
"Fast nie oder nie","1986","17-34","direkter Migrationshintergrund","587","0.499026015239307","0.469384036571404","0.528667993907209"
"Fast nie oder nie","1986","17-34","indirekter Migrationshintergrund","42","0.315124824401308","0.235265903842513","0.394983744960102"
"Fast nie oder nie","1986","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","1986","35-65","kein Migrationshintergrund","2251","","",""
"Fast nie oder nie","1986","35-65","direkter Migrationshintergrund","1358","","",""
"Fast nie oder nie","1986","35-65","indirekter Migrationshintergrund","13","","",""
"Fast nie oder nie","1986","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","1986","66 +","kein Migrationshintergrund","857","0.89711584714936","0.877897723573186","0.916333970725534"
"Fast nie oder nie","1986","66 +","direkter Migrationshintergrund","41","0.875003637600694","0.782405198177974","0.967602077023414"
"Fast nie oder nie","1986","66 +","indirekter Migrationshintergrund","2","","",""
"Fast nie oder nie","1986","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","1986","17-34","kein Migrationshintergrund","556","0.19970879060758","0.185008189674394","0.214409391540766"
"Mehrmals im Jahr","1986","17-34","direkter Migrationshintergrund","145","","",""
"Mehrmals im Jahr","1986","17-34","indirekter Migrationshintergrund","21","","",""
"Mehrmals im Jahr","1986","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","1986","35-65","kein Migrationshintergrund","410","0.106826123840858","0.0968932384769803","0.116759009204735"
"Mehrmals im Jahr","1986","35-65","direkter Migrationshintergrund","122","","",""
"Mehrmals im Jahr","1986","35-65","indirekter Migrationshintergrund","3","","",""
"Mehrmals im Jahr","1986","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","1986","66 +","kein Migrationshintergrund","13","","",""
"Mehrmals im Jahr","1986","66 +","direkter Migrationshintergrund","4","0.0407340696406644","-0.0146134880816403","0.0960816273629692"
"Mehrmals im Jahr","1986","66 +","indirekter Migrationshintergrund","","","",""
"Mehrmals im Jahr","1986","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","1986","17-34","kein Migrationshintergrund","218","","",""
"Mindestens einmal im Monat","1986","17-34","direkter Migrationshintergrund","73","0.0801083352182632","0.0640150315881286","0.0962016388483979"
"Mindestens einmal im Monat","1986","17-34","indirekter Migrationshintergrund","11","","",""
"Mindestens einmal im Monat","1986","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","1986","35-65","kein Migrationshintergrund","194","","",""
"Mindestens einmal im Monat","1986","35-65","direkter Migrationshintergrund","49","0.0389558157301022","0.0296366774989104","0.0482749539612941"
"Mindestens einmal im Monat","1986","35-65","indirekter Migrationshintergrund","1","","",""
"Mindestens einmal im Monat","1986","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","1986","66 +","kein Migrationshintergrund","18","","",""
"Mindestens einmal im Monat","1986","66 +","direkter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","1986","66 +","indirekter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","1986","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","1986","17-34","kein Migrationshintergrund","1121","","",""
"Mindestens einmal die Woche","1986","17-34","direkter Migrationshintergrund","288","","",""
"Mindestens einmal die Woche","1986","17-34","indirekter Migrationshintergrund","56","0.447262458896172","0.361791786706908","0.532733131085436"
"Mindestens einmal die Woche","1986","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","1986","35-65","kein Migrationshintergrund","860","0.225454347971415","0.212016754451675","0.238891941491155"
"Mindestens einmal die Woche","1986","35-65","direkter Migrationshintergrund","127","","",""
"Mindestens einmal die Woche","1986","35-65","indirekter Migrationshintergrund","4","0.243316347952801","0.059797250823882","0.42683544508172"
"Mindestens einmal die Woche","1986","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","1986","66 +","kein Migrationshintergrund","72","0.0716548897866607","0.0553397755960847","0.0879700039772367"
"Mindestens einmal die Woche","1986","66 +","direkter Migrationshintergrund","4","0.0842622927586412","0.00648510505065678","0.162039480466626"
"Mindestens einmal die Woche","1986","66 +","indirekter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","1986","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","1987","17-34","kein Migrationshintergrund","","","",""
"Fast nie oder nie","1987","17-34","direkter Migrationshintergrund","","","",""
"Fast nie oder nie","1987","17-34","indirekter Migrationshintergrund","","","",""
"Fast nie oder nie","1987","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","1987","35-65","kein Migrationshintergrund","","","",""
"Fast nie oder nie","1987","35-65","direkter Migrationshintergrund","","","",""
