year,pgisced97,ple0098_v5,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1999,Pre-primary Level,No,0.71207,245,245,0.65525,0.76888
1999,Primary Level,No,0.97765,416,416,0.96343,0.99187
1999,Lower Secondary Level,Yes,0.04521,96,2339,0.03679,0.05363
1999,Lower Secondary Level,No,0.90664,2243,2339,0.89485,0.91843
1999,Upper Secondary Level,Yes,0.08383,498,6349,0.07701,0.09065
1999,Upper Secondary Level,No,0.81884,5851,6349,0.80937,0.82832
1999,Post-secondary Non-tertiary Level,Yes,0.14737,55,454,0.11472,0.18001
1999,Post-secondary Non-tertiary Level,No,0.74618,399,454,0.70611,0.78626
1999,First Stage of Tertiary Education,Yes,0.08071,70,690,0.06037,0.10105
1999,First Stage of Tertiary Education,No,0.73596,620,690,0.70304,0.76887
1999,Second Stage of Tertiary Education,Yes,0.10985,172,1514,0.09410,0.12561
1999,Second Stage of Tertiary Education,No,0.61899,1342,1514,0.59451,0.64346
2000,Pre-primary Level,No,0.75796,384,384,0.71507,0.80086
2000,Primary Level,No,0.96819,391,391,0.95078,0.98561
2000,Lower Secondary Level,Yes,0.03914,122,3421,0.03264,0.04564
2000,Lower Secondary Level,No,0.91881,3299,3421,0.90966,0.92797
2000,Upper Secondary Level,Yes,0.08377,996,11681,0.07874,0.08879
2000,Upper Secondary Level,No,0.82564,10685,11681,0.81876,0.83253
2000,Post-secondary Non-tertiary Level,Yes,0.11711,121,1006,0.09723,0.13699
2000,Post-secondary Non-tertiary Level,No,0.76991,885,1006,0.74389,0.79593
2000,First Stage of Tertiary Education,Yes,0.09271,176,1644,0.07869,0.10674
2000,First Stage of Tertiary Education,No,0.78023,1468,1644,0.76021,0.80025
2000,Second Stage of Tertiary Education,Yes,0.12298,422,2747,0.11069,0.13526
2000,Second Stage of Tertiary Education,No,0.57880,2325,2747,0.56034,0.59727
2001,Pre-primary Level,No,0.74235,411,411,0.70001,0.78468
2001,Primary Level,No,0.97164,304,304,0.95295,0.99033
2001,Lower Secondary Level,Yes,0.03052,96,2972,0.02433,0.03671
2001,Lower Secondary Level,No,0.92986,2876,2972,0.92068,0.93904
2001,Upper Secondary Level,Yes,0.08679,919,10566,0.08142,0.09216
2001,Upper Secondary Level,No,0.82207,9647,10566,0.81478,0.82936
2001,Post-secondary Non-tertiary Level,Yes,0.12909,129,963,0.10790,0.15028
2001,Post-secondary Non-tertiary Level,No,0.75807,834,963,0.73101,0.78513
2001,First Stage of Tertiary Education,Yes,0.10077,160,1466,0.08536,0.11619
2001,First Stage of Tertiary Education,No,0.76502,1306,1466,0.74331,0.78673
2001,Second Stage of Tertiary Education,Yes,0.12074,380,2558,0.10811,0.13337
2001,Second Stage of Tertiary Education,No,0.57991,2178,2558,0.56077,0.59904
2002,Pre-primary Level,Yes,0.04729,40,491,0.02850,0.06609
2002,Pre-primary Level,No,0.80718,451,491,0.77225,0.84211
2002,Primary Level,No,0.96466,278,278,0.94291,0.98640
